GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001EA,B25072_001MA,B25072_002MA,B25072_002EA,B25072_003EA,B25072_003MA,B25072_004EA,B25072_004MA,B25072_005EA,B25072_005MA,B25072_006MA,B25072_006EA,B25072_007MA,B25072_007EA,B25072_008EA,B25072_008MA,B25072_009EA,B25072_009MA,B25072_010EA,B25072_010MA,B25072_011MA,B25072_011EA,B25072_012MA,B25072_012EA,B25072_013EA,B25072_013MA,B25072_014EA,B25072_014MA,B25072_015EA,B25072_015MA,B25072_016MA,B25072_016EA,B25072_017MA,B25072_017EA,B25072_018EA,B25072_018MA,B25072_019EA,B25072_019MA,B25072_020EA,B25072_020MA,B25072_021MA,B25072_021EA,B25072_022MA,B25072_022EA,B25072_023EA,B25072_023MA,B25072_024EA,B25072_024MA,B25072_025EA,B25072_025MA,B25072_026EA,B25072_026MA,B25072_027EA,B25072_027MA,B25072_028EA,B25072_028MA,B25072_029EA,B25072_029MA,state
0400000US01,542306,10228,67469,3936,8625,1836,4657,1179,4671,1321,5375,1305,36877,3189,7264,1482,137264,6211,32323,3730,14393,2322,12473,2121,10934,1969,52357,3733,14784,2058,270294,7397,58471,4257,29663,2756,27302,3536,21165,2658,97348,5618,36345,3356,67279,3573,11175,1465,5357,1130,6102,1167,5395,1065,23696,2338,15554,2127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,91825,3849,12869,1709,1521,587,1804,663,1470,659,1327,617,5835,1288,912,421,25893,2102,5575,1238,3183,895,3450,1095,2433,932,7833,1307,3419,908,46704,3041,13708,1832,4975,1067,4254,978,2709,678,14539,2317,6519,1350,6359,1162,1042,491,480,326,640,341,996,506,2458,769,743,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,811112,13574,99000,5083,14493,2728,9834,1790,9033,1988,8672,1664,50952,3450,6016,1301,217612,7202,49782,4348,30300,3159,22852,3067,21007,2766,80457,5827,13214,2011,404262,10018,92026,4787,48219,3663,43793,3612,35623,3426,152556,7204,32045,3190,90238,4676,12124,1839,7639,1332,10134,1881,7818,1469,41096,3574,11427,1604,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,363334,8761,49443,3823,5269,1192,4835,1378,5881,1370,4661,1190,24711,3087,4086,898,87738,4915,23705,3058,9084,1565,8389,1532,5582,1205,33546,3226,7432,1397,179256,7275,45834,4576,21347,2515,18602,2371,13654,2024,56464,4499,23355,2802,46897,2949,6511,1258,4276,853,5799,1194,3843,797,15042,1895,11426,1484,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5503300,25377,418888,10089,39822,3635,36858,3261,34562,3303,34489,3394,244227,8635,28930,2547,1454808,15981,305562,10164,192550,8355,171887,7761,137034,6788,600516,12295,47259,4095,2980937,23857,596966,12603,343169,9358,323022,8884,263004,8504,1312946,20506,141830,7354,648667,9267,73790,3702,43213,3378,76565,4516,58974,3207,342845,7623,53280,3470,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,667793,12023,95338,5400,10357,1827,10274,1850,10004,1542,8101,1524,51907,4274,4695,1224,193724,6473,44098,3197,29324,2922,23934,2761,18918,2475,67961,4543,9489,1467,309369,8341,77539,3961,37170,3427,33132,2482,25271,2856,115989,5408,20268,1913,69362,3479,9514,1370,5164,921,8665,1432,5504,968,33598,2587,6917,996,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,435192,8295,33662,2489,4200,1136,2879,970,2563,866,2820,797,19630,2332,1570,803,110054,5006,26453,2824,15039,2072,12805,2071,7707,1486,43805,3378,4245,968,217753,6565,49852,3853,26015,2922,23637,2478,17959,2160,88585,3972,11705,1634,73723,3877,8265,1435,6696,1167,11309,1683,7999,1443,31324,2575,8130,1615,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88881,3899,11347,1900,1525,684,1550,893,463,421,1347,706,4976,1311,1486,640,24112,2453,4288,1154,3346,1156,2825,818,3018,945,9440,1577,1195,518,41320,3167,8308,1694,5134,1276,5036,1320,3948,1103,16266,2161,2628,804,12102,1268,1900,534,817,339,1552,486,920,401,5349,1007,1564,484,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,145195,4932,14647,1860,1122,567,1174,593,1040,485,943,426,8744,1541,1624,817,44860,2739,10326,1470,8312,1206,5084,1249,4031,1038,15589,1951,1518,709,66407,3576,19014,2121,7656,1541,6638,1337,5694,1433,23326,2576,4079,1178,19281,1654,3959,872,1076,494,1646,534,1584,518,9033,1307,1983,690,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2240938,20709,204179,8122,18229,2372,16629,2285,17426,2457,17227,2634,114463,6672,20205,2688,553408,11832,86676,4562,70749,4792,65248,4675,51532,4207,243353,9441,35850,3465,1171163,17658,198012,9713,132582,6574,119913,6485,103820,6017,532694,13664,84142,5000,312188,6836,35121,2774,23834,2418,32169,2828,28066,2827,155678,6354,37320,3369,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
