GEO_ID,C24010H_001E,C24010H_001M,C24010H_002E,C24010H_002M,C24010H_003E,C24010H_003M,C24010H_004E,C24010H_004M,C24010H_005E,C24010H_005M,C24010H_006E,C24010H_006M,C24010H_007E,C24010H_007M,C24010H_008E,C24010H_008M,C24010H_009E,C24010H_009M,C24010H_010E,C24010H_010M,C24010H_011E,C24010H_011M,C24010H_012E,C24010H_012M,C24010H_013E,C24010H_013M,NAME,C24010H_001EA,C24010H_001MA,C24010H_002MA,C24010H_002EA,C24010H_003EA,C24010H_003MA,C24010H_004MA,C24010H_004EA,C24010H_005EA,C24010H_005MA,C24010H_006EA,C24010H_006MA,C24010H_007MA,C24010H_007EA,C24010H_008MA,C24010H_008EA,C24010H_009MA,C24010H_009EA,C24010H_010MA,C24010H_010EA,C24010H_011EA,C24010H_011MA,C24010H_012MA,C24010H_012EA,C24010H_013MA,C24010H_013EA,state
0400000US01,1395779,12732,757526,8461,243043,6984,88160,5210,127451,5806,142562,5976,156310,7237,638253,9065,252418,7318,106372,5720,239479,7637,5498,1045,34486,3407,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,236378,4811,129160,3151,43455,3002,17372,2009,18210,2338,30596,2754,19527,2278,107218,3201,49823,2925,17808,2013,34891,2886,805,506,3891,1084,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1663165,13714,881543,9128,350837,8907,121964,6843,191392,6378,116447,6931,100903,5652,781622,9649,339809,7553,134264,5913,279205,7721,4605,1340,23739,3211,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,959603,10477,501219,7368,142539,5371,61974,4501,82499,5224,103473,4961,110734,6379,458384,7200,176982,5817,89828,5377,157953,6351,3305,935,30316,3261,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7040904,31897,3756185,22370,1750960,19905,410357,11015,736511,14046,488506,11213,369851,11152,3284719,22939,1597680,18172,497730,10927,1090933,17246,19719,2446,78657,4474,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1830184,12551,964148,7628,413893,7566,111394,5298,184159,7398,145154,5287,109548,5207,866036,9233,406291,8858,143430,6121,279536,7955,8271,1565,28508,2671,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1295392,8316,670514,6493,280442,6633,84278,4627,121511,4496,98970,5111,85313,4787,624878,5999,300370,7314,103110,4567,199083,6841,3850,990,18465,1922,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,283505,5629,142257,3735,52085,2901,20029,2274,25879,2706,25834,2527,18430,2189,141248,3846,61874,3658,24618,2097,48412,3062,1120,649,5224,1328,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,138186,2895,70843,1851,57117,2414,3673,1073,8534,1351,964,436,555,306,67343,2256,52687,2499,3934,1171,10354,1654,52,89,316,267,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4686327,24014,2436987,15678,884681,16047,369107,10849,511978,15436,388569,12144,282652,10171,2249340,17368,916003,13855,418072,10845,826111,13706,17023,2648,72131,4261,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
