GEO_ID,C12002I_001E,C12002I_001M,C12002I_002E,C12002I_002M,C12002I_003E,C12002I_003M,C12002I_004E,C12002I_004M,C12002I_005E,C12002I_005M,C12002I_006E,C12002I_006M,NAME,C12002I_001EA,C12002I_001MA,C12002I_002EA,C12002I_002MA,C12002I_003MA,C12002I_003EA,C12002I_004MA,C12002I_004EA,C12002I_005EA,C12002I_005MA,C12002I_006MA,C12002I_006EA,state
0400000US01,123231,2193,52131,3460,58219,3766,3254,1170,2283,806,7344,1366,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27565,1529,10052,1212,13454,1308,881,382,250,209,2928,823,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1311735,678,532151,9954,584237,12661,35060,3487,38735,3018,121552,7590,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,119479,2333,48230,3151,58732,3642,3129,1195,2426,872,6962,1564,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10124283,971,4351500,25179,4434019,32874,321115,11019,320023,8285,697626,14981,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,725673,1271,279671,7635,325228,8384,24881,3326,25417,2640,70476,4517,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,346793,585,164292,5089,130805,5967,12312,2309,7769,1208,31615,3149,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50533,373,22387,2210,21792,2417,1763,949,1080,456,3511,1024,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44697,-555555555,25310,2168,14504,2000,1061,491,829,313,2993,891,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3330589,2902,1152381,13790,1494279,18379,124893,8698,161576,6545,397460,12213,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,581060,2951,234039,8452,286700,8091,16487,2364,9997,2273,33837,3327,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
