GEO_ID,C19101A_001E,C19101A_001M,C19101A_002E,C19101A_002M,C19101A_003E,C19101A_003M,C19101A_004E,C19101A_004M,C19101A_005E,C19101A_005M,C19101A_006E,C19101A_006M,C19101A_007E,C19101A_007M,C19101A_008E,C19101A_008M,C19101A_009E,C19101A_009M,C19101A_010E,C19101A_010M,C19101A_011E,C19101A_011M,NAME,C19101A_001MA,C19101A_001EA,C19101A_002MA,C19101A_002EA,C19101A_003MA,C19101A_003EA,C19101A_004MA,C19101A_004EA,C19101A_005MA,C19101A_005EA,C19101A_006MA,C19101A_006EA,C19101A_007MA,C19101A_007EA,C19101A_008EA,C19101A_008MA,C19101A_009MA,C19101A_009EA,C19101A_010EA,C19101A_010MA,C19101A_011MA,C19101A_011EA,state
0400000US01,898158,9802,42355,3551,29307,2920,83009,4455,93418,4545,138345,6050,187671,6865,124795,5463,124286,4691,43370,2982,31602,2694,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,127506,3738,2432,880,1724,625,4901,1020,7981,1378,12565,1585,23776,2320,21062,2229,30810,2541,12394,1896,9861,1299,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1290382,12372,62122,5018,45379,3763,113301,5872,134296,6254,192857,7335,268497,7961,174100,7280,185755,6742,59180,3511,54895,3190,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,620472,7995,29260,2795,22253,2450,69872,4603,78048,4592,102241,4749,132312,5105,79960,3957,69587,3193,20872,2227,16067,1919,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5553548,24507,215481,8224,154025,6611,440961,11055,458020,10742,694674,13836,972475,14766,758025,12083,965887,15346,430211,8590,463789,10228,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1084019,11915,39008,3350,24077,2421,71475,4145,83676,4808,136791,5436,210383,6601,171228,5602,201109,6408,76540,4053,69732,3539,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,725461,8928,15137,2441,12635,1935,29989,2764,41265,3196,72490,4129,123110,5189,118374,5049,157393,5462,69732,3338,85336,4253,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,161710,4170,3111,856,2754,892,9057,1862,12406,1657,22023,2052,33689,2460,26974,2208,31650,2460,10965,1238,9081,1130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37456,2071,746,368,57,92,1101,637,850,403,1228,545,3238,829,2471,678,6862,1185,6653,1126,14250,1260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3645416,22467,164294,6701,120031,6429,326522,11065,388761,10592,568537,10634,760619,14073,494161,12039,486662,11294,164188,6449,171641,7104,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1549354,13478,62059,3819,41245,2885,125930,5616,147109,7091,211587,6707,315380,8599,220147,7900,247502,7489,92874,4982,85521,4028,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,88559,3020,2220,575,2591,878,4758,1143,5912,1349,11092,1683,14946,1839,16450,2120,17983,1893,6007,1240,6600,1135,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,377250,6799,16206,2018,14791,1827,32906,2809,45199,2982,62403,3718,90614,4346,54540,2997,39736,2811,11795,1513,9060,1505,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2378586,13758,68003,4492,50093,3658,153931,5887,198433,6128,302107,7030,470013,10195,381879,8141,430963,8891,164082,5260,159082,4979,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1458416,10288,60725,4106,43280,3565,122073,4895,153918,4608,236019,6512,328688,8932,222493,6138,198490,6259,50603,3267,42127,2446,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,748236,7334,21546,1741,19510,1692,55405,3261,70452,3271,115430,4802,180901,4815,122918,4018,111333,4316,29050,2254,21691,1506,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,638110,8008,21276,2466,15893,1723,48830,3305,58929,3540,93166,3882,143936,4972,102651,4730,100501,4532,28849,2026,24079,1699,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
