GEO_ID,B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,NAME,B20017H_001MA,B20017H_001EA,B20017H_002EA,B20017H_002MA,B20017H_003EA,B20017H_003MA,B20017H_004MA,B20017H_004EA,B20017H_005MA,B20017H_005EA,B20017H_006MA,B20017H_006EA,B20017H_007EA,B20017H_007MA,state
0400000US01,29414,663,36063,575,46838,619,11313,372,22496,475,33842,1198,8714,364,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40136,1277,50067,2695,61415,718,20561,1083,30265,1422,45744,1530,12718,1144,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32077,276,38415,1002,51180,342,11647,368,27313,602,40337,428,10572,351,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25883,368,31538,416,41122,438,10079,522,20815,410,30664,532,8525,389,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,40474,190,48627,843,66144,555,15133,328,32134,219,50670,280,12653,313,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,33533,670,40438,458,54688,1356,11736,362,28170,760,41864,465,10924,248,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40999,350,50448,424,65276,903,12065,433,32153,488,49668,1215,12292,366,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35175,982,40965,913,51690,893,11660,926,30246,1086,41263,1119,9746,680,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57251,2498,66483,3506,81449,2659,17331,5004,50368,2072,66331,3019,10413,2307,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30265,147,34568,665,47214,463,11254,195,25785,223,36826,277,10667,152,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31771,202,39597,807,50891,346,11269,326,25873,406,37768,742,9680,270,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,35342,1471,41414,990,52687,4123,16741,4151,28956,2380,40776,974,11704,1121,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24282,639,30323,515,42811,1618,10371,550,19486,852,30850,626,9085,480,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,32999,472,41594,242,55656,511,11848,247,26352,218,40978,297,10606,160,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27949,414,35058,439,46142,415,10434,306,21814,253,33086,653,9535,280,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,28141,489,33877,887,43916,808,8870,392,22539,428,34341,658,8613,316,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29554,651,36000,561,46733,726,9915,553,22878,663,34002,998,8891,385,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,26189,366,31391,379,41973,397,10117,407,21597,300,32003,300,9138,342,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,31666,322,41006,496,51015,420,12009,532,23706,569,34103,1189,9250,434,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26997,442,31787,522,43961,1989,11431,517,22910,734,34094,1371,10513,446,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42538,641,51558,530,65576,1061,11560,362,35359,674,50604,490,11818,326,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,38498,569,45990,605,61048,408,11937,321,31627,348,48374,892,12175,269,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,27198,221,33873,646,50386,260,10357,235,21766,219,36830,391,9594,216,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,32129,190,39289,640,51197,273,11242,289,26938,365,40433,293,10930,174,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,29689,925,35142,888,42856,1456,11072,604,23785,984,32148,521,8891,649,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,27743,408,32367,353,44563,885,10444,305,22966,513,33674,656,9257,287,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24300,778,30423,699,41483,625,10393,560,20135,658,30241,863,9547,631,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,28208,655,34827,952,44504,999,9341,655,22345,356,33447,827,8976,456,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,34278,1371,40563,878,52365,1339,15672,924,28524,1642,40983,486,11501,582,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,32331,537,40336,746,51866,497,11772,612,26379,633,40109,748,11706,474,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,43159,841,52447,581,69379,1430,13062,1002,35008,725,50774,396,13081,546,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,31657,710,40117,1220,50496,1213,11583,781,24744,1141,40671,661,10302,620,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,37037,215,44099,738,57610,796,12024,213,30969,186,45465,356,11788,173,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,30157,196,34609,724,45615,397,10651,296,25103,371,36014,351,10259,269,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,28202,871,35227,815,42911,1384,10328,715,22146,616,31308,441,10002,633,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,28827,375,35294,328,47046,295,10183,242,22715,343,35899,274,9662,200,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,27323,416,33938,1176,42564,1188,10425,497,21487,363,31871,414,8382,443,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,27079,352,32485,1099,48840,1330,11472,400,22577,481,36431,463,10536,293,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,30661,161,37240,264,49488,522,10618,232,24240,311,37187,328,9704,208,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,33388,1338,39381,1773,53552,2641,11635,709,29294,1421,42236,1040,11468,594,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,30000,490,35838,489,46546,692,10428,423,24060,744,35179,536,9130,440,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,26871,522,31565,492,38800,1260,8626,816,22306,648,31078,501,7667,616,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,27114,262,32016,276,43506,1007,10340,294,22305,294,32483,582,9047,305,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,35706,237,42408,340,54492,924,11334,221,28396,528,40832,237,9606,231,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,27767,755,37185,526,50237,456,10668,448,19971,669,34631,935,8210,384,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,27505,799,31550,661,42932,1649,9712,822,23287,1097,36103,1022,9903,769,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,36968,365,45121,626,57595,1585,10598,317,29515,784,42998,766,10161,266,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,33885,700,41808,378,56829,823,13220,757,26905,445,41420,366,11293,221,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,25787,491,32061,524,42468,1155,10331,638,20762,494,29619,1074,8172,513,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,30151,153,35795,319,46795,369,10585,264,24567,338,36169,288,10431,181,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,30473,856,40331,1395,51341,942,11400,1014,23101,730,34119,2950,8763,807,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,20430,7804,26900,15637,36875,23273,14287,7846,12248,3610,24877,5210,8758,2667,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
