GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001EA,B25007_001MA,B25007_002MA,B25007_002EA,B25007_003EA,B25007_003MA,B25007_004MA,B25007_004EA,B25007_005EA,B25007_005MA,B25007_006EA,B25007_006MA,B25007_007EA,B25007_007MA,B25007_008EA,B25007_008MA,B25007_009EA,B25007_009MA,B25007_010MA,B25007_010EA,B25007_011EA,B25007_011MA,B25007_012EA,B25007_012MA,B25007_013MA,B25007_013EA,B25007_014EA,B25007_014MA,B25007_015EA,B25007_015MA,B25007_016EA,B25007_016MA,B25007_017MA,B25007_017EA,B25007_018MA,B25007_018EA,B25007_019EA,B25007_019MA,B25007_020EA,B25007_020MA,B25007_021EA,B25007_021MA,state
0400000US01,1815152,10938,1272846,12811,16743,2225,129041,5078,207229,6133,281265,5967,143527,5158,140687,5257,202456,3925,117709,3507,34189,2378,542306,10228,67469,3936,137264,6211,114577,4519,92322,4992,35573,3021,27822,2311,32660,2345,24184,2349,10435,1443,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,162785,3878,2019,726,18266,1871,30860,1822,44743,1869,22856,2233,18145,1697,17565,1304,7159,1024,1172,397,91825,3849,12869,1709,25893,2102,17672,1976,17779,1820,6576,1050,4677,936,3653,832,1825,713,881,390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1522938,13309,17577,2218,158032,5292,249408,7317,324426,6662,162870,6111,166781,5746,249684,4353,146749,4550,47411,3172,811112,13574,99000,5083,217612,7202,175680,6952,136167,5847,53235,4179,39180,3513,45412,3560,26309,2218,18517,2017,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,751568,9191,9932,1706,79827,3754,120343,4780,162024,4223,81549,3620,81101,3694,123450,2918,71577,3032,21765,1877,363334,8761,49443,3823,87738,4915,76214,4851,60917,3654,22857,2126,19268,2470,21219,2089,15638,1658,10040,1449,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,6903175,27402,46455,3216,553120,10756,1215387,13978,1711969,15785,807797,11381,756145,9925,965412,10390,602823,9493,244067,6598,5503300,25377,418888,10089,1454808,15981,1287820,14099,1036202,17207,370721,8218,286194,8152,326776,8046,208932,6051,112959,4956,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1292792,11248,15757,2375,150446,5443,248318,6011,310541,5443,156855,4969,133700,5025,161623,3310,87516,3055,28036,2067,667793,12023,95338,5400,193724,6473,134824,6277,107052,5021,39561,2949,27932,2674,30842,2327,22105,2061,16415,1623,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,923617,8286,3964,945,73409,3576,166746,4773,240944,4704,105416,4185,96524,3456,123640,2894,77067,3389,35907,2645,435192,8295,33662,2489,110054,5006,83905,4197,80264,3850,28507,2725,25077,2381,31819,2310,24069,2028,17835,2414,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,239884,4113,1690,741,21872,1894,41734,2294,55058,2585,28296,2172,25639,2493,37291,1584,22264,1468,6040,856,88881,3899,11347,1900,24112,2453,16920,2200,15499,2203,5229,1202,3672,946,6388,912,3673,805,2041,609,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,107193,3924,138,145,13775,1811,21301,1827,21144,1894,10371,1312,11620,1383,14680,1415,9530,869,4634,708,145195,4932,14647,1860,44860,2739,27171,2234,21463,1992,9930,1419,7843,1255,10554,1291,6078,1069,2649,768,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,4794130,25332,37273,3832,336695,10101,721489,11725,1037037,12385,510447,7801,521964,9588,868083,10333,565471,9396,195671,6619,2240938,20709,204179,8122,553408,11832,477443,12291,419784,10445,157261,6399,116675,6208,145745,4885,100595,4708,65848,3815,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
