GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,NAME,B25102_001MA,B25102_001EA,B25102_002MA,B25102_002EA,B25102_003MA,B25102_003EA,B25102_004EA,B25102_004MA,B25102_005MA,B25102_005EA,B25102_006EA,B25102_006MA,B25102_007EA,B25102_007MA,B25102_008EA,B25102_008MA,B25102_009EA,B25102_009MA,B25102_010EA,B25102_010MA,B25102_011MA,B25102_011EA,B25102_012MA,B25102_012EA,B25102_013EA,B25102_013MA,B25102_014MA,B25102_014EA,B25102_015EA,B25102_015MA,state
0400000US01,1272846,12811,774408,11811,474787,10814,145526,5394,32058,2580,29010,2762,22512,1907,70515,3704,498438,9912,284679,7681,53900,3396,11726,1529,9322,1368,8538,1298,130273,4980,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,112659,3658,5192,1015,10650,1453,9807,1378,21570,1865,56074,2954,9366,1137,50126,2618,7260,1341,6054,1086,3019,782,6710,1303,13172,1697,13911,1099,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,1065003,11608,148357,5570,380806,9072,195030,6377,202286,6403,118306,6125,20218,2506,457935,8752,138863,5461,114179,3819,58905,3628,53360,2795,43494,2980,49134,3025,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,433218,8521,230876,5849,105272,4960,30438,2675,26195,2458,20114,2151,20323,2149,318350,6991,198124,5128,56672,3333,13582,1785,9813,1370,7449,1062,32710,2544,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,5183554,27183,255416,7746,657652,10827,482791,9597,950699,15962,2789602,20104,47394,3692,1719621,18951,341637,6754,402676,9633,169423,5452,252458,6766,436614,9576,116813,4780,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,974765,10769,150781,5720,329455,7757,167652,6026,177995,5596,140199,5440,8683,1214,318027,6814,89435,4687,101704,3758,46588,2876,39993,2553,32904,2294,7403,1364,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,660057,8447,9285,1326,13164,1822,11761,1508,60937,3565,562855,8196,2055,590,263560,6166,9774,1503,9914,1543,4958,897,26803,2538,209586,5926,2525,583,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,170847,3770,38780,2530,61976,3578,26691,2218,24026,2073,14909,1500,4465,1135,69037,2701,30950,1905,16901,1770,5071,946,5865,1082,4870,789,5380,856,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,82658,3696,9821,1146,13987,1560,8327,1161,11471,1594,35341,2612,3711,978,24535,1627,6977,1188,5287,994,2670,739,1819,594,6826,1048,956,405,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,3064955,23728,433085,9435,691641,11728,388751,10843,593813,12597,887464,13280,70201,4103,1729175,14629,464205,10476,362577,8515,176730,6671,233654,6641,329932,8681,162077,6377,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2304165,17073,1639846,15202,301502,8239,428573,9412,252029,6681,308330,8601,324655,7567,24757,2725,664319,10312,293781,7767,141562,5535,56572,3273,65612,3580,70968,3460,35824,2699,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,258533,5422,175138,5017,42257,3007,48430,3120,25202,2053,30675,2299,20996,1772,7578,1363,83395,3201,23538,1840,20779,2094,12836,1311,13890,1439,10659,1334,1693,505,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
