GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001MA,C21001H_001EA,C21001H_002MA,C21001H_002EA,C21001H_003EA,C21001H_003MA,C21001H_004MA,C21001H_004EA,C21001H_005EA,C21001H_005MA,C21001H_006EA,C21001H_006MA,C21001H_007EA,C21001H_007MA,C21001H_008MA,C21001H_008EA,C21001H_009MA,C21001H_009EA,C21001H_010EA,C21001H_010MA,C21001H_011EA,C21001H_011MA,C21001H_012MA,C21001H_012EA,C21001H_013MA,C21001H_013EA,C21001H_014MA,C21001H_014EA,C21001H_015MA,C21001H_015EA,state
0400000US01,2522048,1501,1212784,1355,984121,1481,153616,6440,830505,6552,228663,426,133907,2994,94756,2963,1309264,564,1008921,683,14240,1894,994681,1981,300343,335,3622,785,296721,853,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,344974,1844,178465,1593,158103,1604,36121,2767,121982,3110,20362,178,13727,931,6635,917,166509,545,146196,564,5553,1274,140643,1461,20313,207,500,265,19813,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3013673,2341,1472180,2087,1134561,2098,205147,6595,929414,6903,337619,214,199884,4491,137735,4495,1541493,1071,1146215,1045,22495,2288,1123720,2567,395278,236,5435,1141,389843,1120,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1706431,1931,824894,1526,660889,1533,110720,4765,550169,4775,164005,88,88190,2647,75815,2649,881537,759,672838,764,8987,1869,663851,1977,208699,126,3113,967,205586,970,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12329456,6949,6065804,5235,4898186,5295,613464,11910,4284722,13195,1167618,760,656353,6365,511265,6353,6263652,3467,4788495,3228,61089,3904,4727406,5102,1475157,1009,22815,2028,1452342,2272,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2794647,2985,1375487,2464,1168117,2422,173177,6493,994940,6780,207370,401,126189,2855,81181,2781,1419160,1766,1160208,1690,21671,2715,1138537,3004,258952,378,4053,868,254899,921,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2039256,3033,974575,1737,786860,1723,87979,4366,698881,4712,187715,186,103940,2785,83775,2759,1064681,1572,808373,1408,5623,882,802750,1659,256308,503,2520,725,253788,865,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,476227,775,226773,636,179470,628,26349,2252,153121,2298,47303,92,27270,1418,20033,1410,249454,362,189452,342,2480,701,186972,821,60002,122,725,380,59277,398,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,190617,564,93296,513,83125,502,5345,1155,77780,1176,10171,65,4051,670,6120,669,97321,304,86234,304,443,289,85791,417,11087,292,0,292,11087,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9029865,8031,4372141,4781,3227415,4451,549849,9561,2677566,10671,1144726,1094,692377,8542,452349,8577,4657724,4445,3280091,4055,62830,4568,3217261,5852,1377633,923,21702,2772,1355931,2957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4217968,3087,2035117,2729,1697655,2685,247294,7698,1450361,8083,337462,326,189992,4374,147470,4374,2182851,1285,1745379,1233,24388,2910,1720991,3031,437472,353,4167,918,433305,919,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,249514,3300,128890,2846,104866,2853,23032,3108,81834,2747,24024,92,14773,1142,9251,1135,120624,1071,96703,1068,4354,1200,92349,1380,23921,154,609,371,23312,343,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,987953,871,486237,883,400690,869,58821,3305,341869,3450,85547,94,49660,2129,35887,2124,501716,289,401947,250,6131,1286,395816,1232,99769,128,2086,606,97683,615,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
