GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001EA,C17021_001MA,C17021_002MA,C17021_002EA,C17021_003EA,C17021_003MA,C17021_004MA,C17021_004EA,C17021_005MA,C17021_005EA,C17021_006MA,C17021_006EA,C17021_007EA,C17021_007MA,C17021_008EA,C17021_008MA,C17021_009EA,C17021_009MA,C17021_010MA,C17021_010EA,C17021_011EA,C17021_011MA,C17021_012EA,C17021_012MA,C17021_013EA,C17021_013MA,C17021_014EA,C17021_014MA,C17021_015MA,C17021_015EA,state
0400000US01,4666970,2567,888290,22673,687061,22387,224979,15121,462082,20738,68811,9683,393271,17270,201229,8060,3778680,22820,3268062,25252,2508882,32426,759180,24841,196348,13219,562832,23832,510618,11776,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696822,1573,69279,6120,48649,5060,16327,3196,32322,3876,7709,1880,24613,3692,20630,2771,627543,6406,522846,8959,410408,12933,112438,8395,40055,5491,72383,7372,104697,6046,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6272686,3673,1094249,33633,843796,31896,370756,20644,473040,23813,109034,10977,364006,23022,250453,10187,5178437,33939,4386428,35953,3362798,42919,1023630,30777,336885,23619,686745,23650,792009,13684,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2839798,2045,534898,16599,409753,16104,149068,11073,260685,14364,47182,7238,213503,12585,125145,6736,2304900,16402,1994363,17583,1563324,19973,431039,15939,121175,9399,309864,13739,310537,8992,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36593372,8519,5783043,74336,4511748,73507,2099561,45612,2412187,59618,592350,31818,1819837,46244,1271295,22938,30810329,75605,26629423,79285,20039068,93475,6590355,74851,2186950,46880,4403405,65428,4180906,35426,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934178,2454,659786,23009,454496,20770,188336,14850,266160,16235,61388,9269,204772,12843,205290,8913,4274392,23309,3562946,23939,2860003,27595,702943,21976,231867,15028,471076,20587,711446,14616,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3466977,2302,350145,15842,235272,14439,71870,8788,163402,11911,24771,5208,138631,11097,114873,6484,3116832,15723,2633774,18092,2038508,25002,595266,21230,161383,13050,433883,20804,483058,11371,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,874321,1107,103427,8098,73196,7990,24226,5318,48970,6595,10690,3271,38280,5603,30231,3438,770894,8103,660572,10376,502080,13914,158492,11408,39326,5631,119166,10845,110322,6246,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,570953,564,109423,7577,64601,6490,8611,2526,55990,5866,5440,2568,50550,6023,44822,3542,461530,7527,291922,9970,175015,8211,116907,8951,24256,4056,92651,8775,169608,6469,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18436788,6230,3047343,41603,2221214,39209,866682,33256,1354532,37093,274492,18708,1080040,32794,826129,17719,15389445,41453,12943158,44262,9687628,59284,3255530,55447,898652,30332,2356878,45895,2446287,25467,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
