GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002EA,B15002H_002MA,B15002H_003MA,B15002H_003EA,B15002H_004MA,B15002H_004EA,B15002H_005EA,B15002H_005MA,B15002H_006MA,B15002H_006EA,B15002H_007EA,B15002H_007MA,B15002H_008EA,B15002H_008MA,B15002H_009MA,B15002H_009EA,B15002H_010EA,B15002H_010MA,B15002H_011EA,B15002H_011MA,B15002H_012MA,B15002H_012EA,B15002H_013EA,B15002H_013MA,B15002H_014EA,B15002H_014MA,B15002H_015MA,B15002H_015EA,B15002H_016EA,B15002H_016MA,B15002H_017EA,B15002H_017MA,B15002H_018MA,B15002H_018EA,B15002H_019MA,B15002H_019EA,state
0400000US01,2242013,2242,1076145,1480,57785,3829,110361,4719,258844,7125,72164,4215,236557,6925,67888,3887,175365,6025,97181,4442,1165868,1259,52417,3795,117681,6137,299348,8625,64878,3921,260047,7265,96726,4763,176861,6302,97910,4270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,316631,946,167899,678,2154,631,7368,1487,35183,2790,8280,1271,49617,2945,12828,1667,32323,2823,20146,2113,148732,506,1062,551,5223,984,24743,2088,4727,1117,46311,2636,14983,1686,34514,2511,17169,2072,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2722084,1848,1326208,1437,20288,2288,70769,4378,244029,8618,63513,4839,372544,8583,108690,4827,287543,7543,158832,6613,1395876,1160,20860,2545,68101,5199,305921,8991,41411,3646,420134,9130,127892,5586,262642,7021,148915,5579,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1513457,3326,730516,1858,39587,2537,70013,3883,207905,5549,47274,3156,168347,6317,39170,3164,107736,4735,50484,3185,782941,2581,35825,2760,70239,4165,227194,6206,48689,3341,182725,5052,58026,3480,107392,4595,52851,3812,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11130961,4721,5472825,2896,91095,5336,268799,8623,919704,14251,150752,7261,1377480,15721,444395,10618,1326430,18573,894170,13505,5658136,2985,111667,6257,254820,7556,1061813,12977,92577,4794,1488504,20714,537842,12239,1327601,14412,783312,11919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2500740,2486,1229250,1652,14423,1896,46062,3432,212882,6144,52314,3442,279737,7857,93125,4820,335036,7723,195671,6226,1271490,1598,12425,1768,42959,3524,235317,6332,33291,2812,303818,6838,111680,5090,348699,7690,183301,5915,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1841062,2230,875515,993,22598,2328,46324,3033,214577,6754,28298,2505,151380,5207,55819,3584,202228,5935,154291,5657,965547,1452,24614,2469,44123,3333,242875,7302,22559,2025,174077,5740,83805,4381,208223,5560,165271,5572,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,424379,244,202001,143,4934,1065,15107,1578,58385,3089,8313,1269,40442,2650,13833,1626,35497,2493,25490,2339,222378,199,5034,1183,15572,2062,68660,3246,6692,1177,43750,2910,18869,2096,40676,2818,23125,1958,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,154732,294,78475,233,67,111,261,209,2812,998,413,264,5183,1275,1911,747,28990,2210,38838,1980,76257,173,40,67,166,193,2410,814,65,105,5925,1300,1602,765,30495,1841,35554,2198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8214424,6850,3966430,4012,103639,6110,290033,9540,940723,14972,215579,7973,871527,11928,316407,8871,764560,11961,463962,10051,4247994,3517,90502,5120,272107,8738,1197795,14310,155018,6393,988712,12461,403465,10331,750215,12549,390180,7696,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3762681,3412,1815930,2633,68570,4185,158461,7155,406391,9335,113085,5216,371966,9126,108219,5587,383238,9225,206000,6735,1946751,2214,66026,3595,147738,6096,487023,10614,97213,5043,414247,10536,143205,5805,376747,8039,214552,6789,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,239096,739,128734,380,1979,809,2884,819,22975,2328,3363,953,31557,2518,11753,2093,32125,2405,22098,2080,110362,542,1006,400,3722,830,17008,2029,2299,826,28943,2763,11335,1553,28197,2381,17852,2152,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,866909,905,426858,901,8247,1300,27965,2713,100746,4521,25780,2270,110219,4620,35902,2802,76903,4132,41096,3219,440051,527,7114,1148,28151,2744,106131,4195,19468,1967,131753,5081,39627,2571,77709,4306,30098,2222,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5801337,1480,2790911,791,63957,4030,151572,5864,680630,11571,114381,4557,599281,11080,197824,6640,610897,9665,372369,8180,3010426,1047,80923,3954,151170,5692,775307,11889,87964,4207,661166,9964,249637,6786,629530,10637,374729,7928,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3594150,1691,1732622,1310,60950,3749,142990,5883,545938,8210,93545,5091,353696,7978,120439,5204,270905,6930,144159,5151,1861528,918,55730,3620,148307,4917,602652,7576,83453,4064,390918,8792,154597,5438,274822,6515,151049,4638,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1853424,1736,896076,1340,26273,2065,47313,2935,279889,6530,41315,2956,191285,5201,83496,3478,154141,5522,72364,3700,957348,818,25275,1864,42798,2547,286901,6809,31292,2009,217605,5412,109020,3645,172737,5616,71720,4056,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1522457,1448,735216,932,17906,2284,40120,2454,179053,5447,35121,2555,178617,5027,48957,3414,150585,4845,84857,3485,787241,1070,19244,2346,39845,2775,186987,5342,25994,2011,200814,5904,66494,3418,164573,5660,83290,4257,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2581377,2333,1240015,1736,102253,4558,129402,4439,361085,7926,91002,4677,236552,7836,64771,4136,161694,5180,93256,4044,1341362,1424,93866,3673,128988,5146,363091,8155,86344,3309,275255,7835,111322,5224,162126,5390,120370,4698,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1892807,2136,916767,1637,51267,3430,85525,5066,261130,6899,57649,3372,195789,6870,39072,3048,151390,6313,74945,4001,976040,1104,42109,2872,86958,4405,284236,7388,51953,3367,205851,6540,60929,4090,166025,5736,77979,4335,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
