GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001EA,B12002F_001MA,B12002F_002MA,B12002F_002EA,B12002F_003EA,B12002F_003MA,B12002F_004EA,B12002F_004MA,B12002F_005EA,B12002F_005MA,B12002F_006MA,B12002F_006EA,B12002F_007EA,B12002F_007MA,B12002F_008MA,B12002F_008EA,B12002F_009EA,B12002F_009MA,B12002F_010EA,B12002F_010MA,B12002F_011EA,B12002F_011MA,B12002F_012EA,B12002F_012MA,B12002F_013MA,B12002F_013EA,state
0400000US01,35123,4676,21209,3279,9629,2025,9126,1965,1132,719,24,33,1298,779,13914,2207,3763,1272,7867,1667,798,678,592,634,894,498,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5424,1487,2542,1066,1151,747,1129,540,0,246,0,246,262,268,2882,808,320,203,1525,575,128,182,37,67,872,577,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,296344,15931,147187,8736,64031,5542,66412,5750,3220,1069,1943,788,11581,2177,149157,8714,53105,5093,66873,5514,5688,1400,6849,1454,16642,2382,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42262,4516,21663,2955,8496,1989,11913,1668,403,299,196,207,655,441,20599,2303,8057,1731,10548,1562,517,527,800,589,677,476,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3585203,49234,1825747,29893,875627,17911,793962,17506,45968,4032,16561,2558,93629,5914,1759456,23787,727332,15277,754157,15694,72232,5246,76510,4140,129225,6705,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,197053,10151,104660,5852,43441,4223,47593,4364,3411,1316,728,351,9487,1782,92393,5639,33274,3169,42929,4063,4217,1160,3892,1124,8081,1474,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143415,8135,72395,4977,40257,4082,25025,2740,1542,794,536,397,5035,1437,71020,4410,34557,3416,22145,2545,3502,1127,2649,868,8167,1693,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11938,2701,6166,1537,2438,945,3131,973,353,366,0,265,244,195,5772,1661,2721,1047,2259,791,196,256,234,308,362,386,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13376,2813,7684,1798,4612,1300,2692,870,68,117,0,292,312,241,5692,1528,2784,1196,2293,838,101,120,108,124,406,364,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,383536,20087,202797,12827,93129,7664,84842,7553,6503,1761,2281,959,16042,2463,180739,10038,63672,5332,76598,5579,9940,2108,7647,1640,22882,2836,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
