GEO_ID,B21005_001E,B21005_001M,B21005_002E,B21005_002M,B21005_003E,B21005_003M,B21005_004E,B21005_004M,B21005_005E,B21005_005M,B21005_006E,B21005_006M,B21005_007E,B21005_007M,B21005_008E,B21005_008M,B21005_009E,B21005_009M,B21005_010E,B21005_010M,B21005_011E,B21005_011M,B21005_012E,B21005_012M,B21005_013E,B21005_013M,B21005_014E,B21005_014M,B21005_015E,B21005_015M,B21005_016E,B21005_016M,B21005_017E,B21005_017M,B21005_018E,B21005_018M,B21005_019E,B21005_019M,B21005_020E,B21005_020M,B21005_021E,B21005_021M,B21005_022E,B21005_022M,B21005_023E,B21005_023M,B21005_024E,B21005_024M,B21005_025E,B21005_025M,B21005_026E,B21005_026M,B21005_027E,B21005_027M,B21005_028E,B21005_028M,B21005_029E,B21005_029M,B21005_030E,B21005_030M,B21005_031E,B21005_031M,B21005_032E,B21005_032M,B21005_033E,B21005_033M,B21005_034E,B21005_034M,NAME,B21005_001MA,B21005_001EA,B21005_002EA,B21005_002MA,B21005_003EA,B21005_003MA,B21005_004EA,B21005_004MA,B21005_005MA,B21005_005EA,B21005_006MA,B21005_006EA,B21005_007MA,B21005_007EA,B21005_008MA,B21005_008EA,B21005_009EA,B21005_009MA,B21005_010MA,B21005_010EA,B21005_011MA,B21005_011EA,B21005_012MA,B21005_012EA,B21005_013MA,B21005_013EA,B21005_014EA,B21005_014MA,B21005_015EA,B21005_015MA,B21005_016MA,B21005_016EA,B21005_017MA,B21005_017EA,B21005_018EA,B21005_018MA,B21005_019EA,B21005_019MA,B21005_020EA,B21005_020MA,B21005_021MA,B21005_021EA,B21005_022MA,B21005_022EA,B21005_023EA,B21005_023MA,B21005_024EA,B21005_024MA,B21005_025EA,B21005_025MA,B21005_026EA,B21005_026MA,B21005_027EA,B21005_027MA,B21005_028MA,B21005_028EA,B21005_029MA,B21005_029EA,B21005_030EA,B21005_030MA,B21005_031EA,B21005_031MA,B21005_032MA,B21005_032EA,B21005_033MA,B21005_033EA,B21005_034EA,B21005_034MA,state
0400000US01,2976638,3865,1081857,5282,32189,4356,28137,3955,25964,3647,2173,815,4052,1118,1049668,6243,762053,8481,630935,9892,131118,5327,287615,8245,1303183,5328,108291,5594,89613,4794,82756,4347,6857,1451,18678,2462,1194892,7838,908966,12305,822027,11947,86939,6208,285926,8571,591598,2673,105921,4520,63914,3745,59483,3693,4431,861,42007,3032,485677,5331,271500,6443,254986,6420,16514,1792,214177,5881,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,454100,2208,164099,2309,11779,1920,10215,1912,8564,1743,1651,1006,1564,676,152320,2821,115816,3767,99849,3581,15967,1586,36504,2723,202228,1879,24640,2861,22489,2801,21293,2663,1196,504,2151,623,177588,2992,144887,3650,135749,3704,9138,1411,32701,2253,87773,1230,18754,1360,13296,1341,11945,1335,1351,546,5458,970,69019,1641,47101,2391,43466,2577,3635,772,21918,2078,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3875883,2737,1479756,3626,41184,3934,33393,3693,29748,3357,3645,1215,7791,1431,1438572,5201,1049175,10348,894795,11265,154380,7442,389397,10469,1662867,3415,132531,5805,111600,5355,101012,5198,10588,1782,20931,2752,1530336,7609,1207625,11286,1087139,13172,120486,6222,322711,10787,733260,1441,127351,4887,77596,4185,69789,3810,7807,1464,49755,3383,605909,4711,372124,7282,340274,7218,31850,3055,233785,6697,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1783691,3532,655096,5484,19726,2086,16905,1885,15609,1810,1296,483,2821,987,635370,6270,471582,8691,405101,8137,66481,4640,163788,6884,774318,4841,65643,4305,52398,3675,48916,3562,3482,876,13245,2092,708675,5956,548225,8097,509442,7955,38783,3453,160450,5303,354277,2020,65730,3628,35641,2673,32565,2572,3076,899,30089,2555,288547,4510,171022,4519,163468,4709,7554,1415,117525,4441,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23639079,5691,9157992,6571,183191,7310,152341,6692,128128,6551,24213,2586,30850,2998,8974801,9401,6600289,26675,5531833,28571,1068456,17777,2374512,26119,10413976,5396,450728,11853,378957,10228,339708,9632,39249,3197,71771,4521,9963248,13602,8023034,26878,7182603,28639,840431,15448,1940214,23116,4067111,3468,452906,9999,287669,7894,258838,7452,28831,2017,165237,6271,3614205,11024,2331273,14360,2091612,15535,239661,7381,1282932,13014,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3238206,3597,1197597,3913,34745,3590,28839,3168,25856,3049,2983,1053,5906,1349,1162852,5426,931725,8541,812299,8738,119426,5727,231127,7255,1437171,3849,110245,5168,96914,4879,90137,4597,6777,1169,13331,2166,1326926,5936,1107941,8149,1025535,9593,82406,5708,218985,6384,603438,1916,99647,4036,65684,3815,60143,3624,5541,1099,33963,2704,503791,4569,347005,5901,316789,6596,30216,2628,156786,5269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2245832,1659,743035,2344,11882,2364,10071,2365,8837,2272,1234,725,1811,787,731153,3410,574071,7308,497680,8161,76391,4626,157082,6441,1057688,2384,45997,3284,40293,3016,36519,2960,3774,975,5704,1368,1011691,4006,860734,6863,785982,6988,74752,5312,150957,6252,445109,1222,55108,2966,39285,2553,35340,2313,3945,997,15823,1976,390001,3141,285189,4468,262020,4768,23169,2086,104812,3774,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,561366,1143,201072,1390,4113,945,3525,903,3019,915,506,305,588,466,196959,1670,146882,3978,127658,4342,19224,2512,50077,3751,248691,1280,21799,2655,18768,2337,17118,2139,1650,664,3031,1075,226892,2763,185193,4175,172721,4854,12472,1777,41699,3197,111603,715,16563,1594,10184,1413,9727,1364,457,236,6379,1061,95040,1703,62199,2554,57716,2507,4483,1089,32841,2551,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,430927,729,210507,483,2271,703,1855,681,1792,676,63,105,416,307,208236,865,149991,3535,127866,3545,22125,2489,58245,3294,156186,496,8303,1528,7460,1497,6679,1398,781,458,843,406,147883,1695,122794,2665,109042,2811,13752,2208,25089,2355,64234,480,7686,1448,4562,1088,4173,1054,389,358,3124,1119,56548,1547,37677,1730,34121,1834,3556,921,18871,1895,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11515933,6580,3997039,8289,107895,6030,92600,5460,76433,5018,16167,2634,15295,2017,3889144,10154,2882682,19288,2390877,19407,491805,12555,1006462,17368,5164013,7595,381760,9752,326399,8996,289299,8938,37100,3155,55361,4864,4782253,11848,3882927,17946,3453071,17174,429856,12204,899326,16626,2354881,4082,352277,9243,213122,7296,186856,7133,26266,2442,139155,6198,2002604,9155,1239498,12752,1101303,12055,138195,5698,763106,11058,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
