GEO_ID,C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,NAME,C15002F_001EA,C15002F_001MA,C15002F_002EA,C15002F_002MA,C15002F_003EA,C15002F_003MA,C15002F_004MA,C15002F_004EA,C15002F_005MA,C15002F_005EA,C15002F_006EA,C15002F_006MA,C15002F_007MA,C15002F_007EA,C15002F_008EA,C15002F_008MA,C15002F_009EA,C15002F_009MA,C15002F_010EA,C15002F_010MA,C15002F_011MA,C15002F_011EA,state
0400000US01,26693,3548,16348,2870,9499,2330,3839,1119,1483,782,1527,790,10345,1553,4502,1145,1741,643,2502,905,1600,645,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4350,1149,1762,694,789,516,285,194,302,221,386,353,2588,763,803,570,472,290,719,386,594,402,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,218406,11917,108307,6724,40532,3378,33680,3680,25809,3659,8286,1604,110099,6508,39705,3406,31233,3376,29822,3232,9339,1913,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30943,3169,15696,2041,9161,1389,2804,897,1862,765,1869,1093,15247,1733,8924,1441,2489,1027,2662,877,1172,726,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2665685,39001,1348431,23541,628840,14592,352199,12219,266797,8825,100595,5203,1317254,19064,588979,14339,321122,10975,286418,9484,120735,6874,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,153408,8205,81449,4980,34126,3710,22269,2756,19118,2836,5936,1261,71959,4451,29151,3148,19595,2421,16142,2197,7071,1438,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,108376,6496,53805,4022,22935,2812,18467,2710,7524,1943,4879,1482,54571,3569,19529,2116,18138,2057,10446,1749,6458,1630,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9428,2050,5101,1260,2316,1097,1369,543,1087,654,329,299,4327,1097,2289,866,760,468,751,541,527,419,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9197,1840,4904,1193,1881,995,1487,767,516,331,1020,626,4293,1020,944,510,1007,583,975,567,1367,775,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,289662,14961,152285,9663,58368,6692,43861,4647,29580,4128,20476,2740,137377,7622,39844,3955,35400,3871,37497,3889,24636,2978,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
