GEO_ID,C23022_001E,C23022_001M,C23022_002E,C23022_002M,C23022_003E,C23022_003M,C23022_004E,C23022_004M,C23022_005E,C23022_005M,C23022_006E,C23022_006M,C23022_007E,C23022_007M,C23022_008E,C23022_008M,C23022_009E,C23022_009M,C23022_010E,C23022_010M,C23022_011E,C23022_011M,NAME,C23022_001MA,C23022_001EA,C23022_002MA,C23022_002EA,C23022_003EA,C23022_003MA,C23022_004MA,C23022_004EA,C23022_005EA,C23022_005MA,C23022_006EA,C23022_006MA,C23022_007MA,C23022_007EA,C23022_008MA,C23022_008EA,C23022_009EA,C23022_009MA,C23022_010EA,C23022_010MA,C23022_011EA,C23022_011MA,state
0400000US01,3127581,4909,1531942,4291,1137684,8162,766797,10697,370887,8743,394258,9663,1595639,3541,1050473,11341,597437,8585,453036,8904,545166,10766,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,493642,1863,258977,1473,224432,2767,132200,4330,92232,4045,34545,2779,234665,1352,178609,3704,92474,4074,86135,3589,56056,3436,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4076945,4989,2044517,3936,1552599,10696,1019028,12602,533571,11109,491918,10696,2032428,3636,1356633,11424,772566,12575,584067,10871,675795,12246,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1870595,4337,925406,4066,700638,6870,473012,7550,227626,7627,224768,6807,945189,3406,648911,7934,378813,7726,270098,8236,296278,7482,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24890032,11201,12526637,8746,9557746,22867,6172868,29080,3384878,24495,2968891,24213,12363395,9023,8165307,32489,4416166,31595,3749141,33527,4198088,34398,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3404038,4733,1724398,3989,1450925,8200,948966,9679,501959,9065,273473,8823,1679640,3352,1257933,9764,691328,10349,566605,8972,421707,10486,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2354624,3066,1159668,2447,956898,6544,636401,9225,320497,8398,202770,6920,1194956,2574,904275,6898,492164,7874,412111,8027,290681,7193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,587316,1433,285797,1632,221909,3229,148975,4435,72934,4102,63888,3478,301519,1555,220361,4618,133301,4732,87060,3662,81158,4693,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,446007,1077,213070,1063,161555,3526,111239,3473,50316,3292,51515,3552,232937,966,169666,4009,110278,3806,59388,3910,63271,3957,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12054783,8924,5955938,7613,4404616,17395,2921007,21568,1483609,19488,1551322,16280,6098845,7189,4138786,22314,2450246,20635,1688540,19865,1960059,23794,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
