GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002EA,B27001G_002MA,B27001G_003EA,B27001G_003MA,B27001G_004EA,B27001G_004MA,B27001G_005MA,B27001G_005EA,B27001G_006MA,B27001G_006EA,B27001G_007MA,B27001G_007EA,B27001G_008MA,B27001G_008EA,B27001G_009MA,B27001G_009EA,B27001G_010MA,B27001G_010EA,B27001G_011MA,B27001G_011EA,B27001G_012MA,B27001G_012EA,B27001G_013MA,B27001G_013EA,B27001G_014MA,B27001G_014EA,B27001G_015EA,B27001G_015MA,B27001G_016MA,B27001G_016EA,B27001G_017EA,B27001G_017MA,B27001G_018MA,B27001G_018EA,B27001G_019MA,B27001G_019EA,B27001G_020EA,B27001G_020MA,B27001G_021MA,B27001G_021EA,B27001G_022EA,B27001G_022MA,B27001G_023MA,B27001G_023EA,B27001G_024EA,B27001G_024MA,B27001G_025EA,B27001G_025MA,B27001G_026EA,B27001G_026MA,B27001G_027MA,B27001G_027EA,B27001G_028MA,B27001G_028EA,state
0400000US01,63876,4371,13329,2007,12852,2029,477,262,18250,2696,17068,2627,1182,612,8004,1525,5043,1118,2961,1138,5176,1202,3156,965,2020,739,4817,1083,3515,965,1302,587,6147,1270,4185,842,1962,783,3957,925,3402,912,555,301,2633,618,2633,618,0,273,1563,572,1563,572,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48798,4248,8481,1324,7392,1206,1089,618,15820,2550,13421,2421,2399,983,5495,1017,3330,887,2165,710,7227,1324,4521,1151,2706,957,4172,1003,2810,841,1362,662,4375,938,2863,824,1512,588,2186,624,1729,504,457,290,669,334,669,334,0,246,373,236,373,236,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167933,10037,36346,4198,33201,4035,3145,1344,51370,4866,46771,4654,4599,1469,19149,2573,13305,2095,5844,1625,20904,3038,16378,2513,4526,1402,15534,2043,11377,1817,4157,1167,10501,1816,9028,1755,1473,658,7642,1261,6813,1078,829,485,4047,919,4047,919,0,305,2440,799,2373,801,67,112,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48593,4174,9062,1618,8500,1526,562,468,14650,2265,13731,2259,919,448,5125,1381,3271,1244,1854,786,4365,1217,3119,1044,1246,768,4413,1080,2574,840,1839,883,4152,1099,2850,904,1302,571,4083,986,3388,872,695,509,2130,660,2130,660,0,273,613,340,613,340,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1548628,32093,259803,10355,250698,10065,9105,1757,433234,14877,408123,14675,25111,3152,194284,8535,141044,6923,53240,4790,195237,7420,143406,6771,51831,4440,154110,5891,124407,5477,29703,2900,145992,6419,117000,5672,28992,2675,88284,5226,72431,4718,15853,1847,46088,3209,44957,3198,1131,575,31596,2878,31294,2865,302,258,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,168093,8544,30025,2607,27862,2560,2163,871,52981,4432,49455,4432,3526,1042,19912,2391,14071,2124,5841,1164,19952,2890,14472,2322,5480,1342,17910,2138,15233,1913,2677,825,12678,1823,9902,1582,2776,866,9049,1542,7860,1416,1189,592,3783,845,3743,848,40,67,1803,528,1803,528,0,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,89314,6287,18038,2450,17649,2403,389,265,28511,2989,27406,3106,1105,928,10473,1906,7152,1309,3321,1225,9401,1888,7971,1774,1430,641,8400,1762,7344,1642,1056,519,7335,1418,6506,1380,829,461,4501,951,3706,880,795,415,1618,579,1618,579,0,281,1037,490,1037,490,0,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22909,3453,5389,1709,4874,1479,515,819,6700,1463,6432,1428,268,290,2259,719,2029,717,230,211,2542,924,2144,821,398,362,1589,620,1334,607,255,197,1843,712,1843,712,0,265,1417,561,1298,571,119,146,561,318,561,318,0,265,609,449,609,449,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11614,2001,2009,638,2009,638,0,292,1221,592,1169,575,52,87,1021,576,1021,576,0,292,2648,843,2438,820,210,213,1653,565,1606,559,47,76,1070,400,983,352,87,145,957,423,957,423,0,292,279,263,279,263,0,292,756,509,756,509,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,400212,15997,67746,5559,62776,5197,4970,1639,109189,7190,97594,7502,11595,2293,49825,4618,32928,3419,16897,3011,40566,3818,27176,3235,13390,2456,40514,3927,28212,3057,12302,2196,39861,3205,27738,2855,12123,1676,28231,2676,22621,2208,5610,1449,14288,2023,13798,1934,490,379,9992,1587,9741,1619,251,324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
