GEO_ID,B15002C_001E,B15002C_001M,B15002C_002E,B15002C_002M,B15002C_003E,B15002C_003M,B15002C_004E,B15002C_004M,B15002C_005E,B15002C_005M,B15002C_006E,B15002C_006M,B15002C_007E,B15002C_007M,B15002C_008E,B15002C_008M,B15002C_009E,B15002C_009M,B15002C_010E,B15002C_010M,B15002C_011E,B15002C_011M,B15002C_012E,B15002C_012M,B15002C_013E,B15002C_013M,B15002C_014E,B15002C_014M,B15002C_015E,B15002C_015M,B15002C_016E,B15002C_016M,B15002C_017E,B15002C_017M,B15002C_018E,B15002C_018M,B15002C_019E,B15002C_019M,NAME,B15002C_001MA,B15002C_001EA,B15002C_002EA,B15002C_002MA,B15002C_003MA,B15002C_003EA,B15002C_004EA,B15002C_004MA,B15002C_005EA,B15002C_005MA,B15002C_006MA,B15002C_006EA,B15002C_007EA,B15002C_007MA,B15002C_008MA,B15002C_008EA,B15002C_009EA,B15002C_009MA,B15002C_010MA,B15002C_010EA,B15002C_011EA,B15002C_011MA,B15002C_012MA,B15002C_012EA,B15002C_013EA,B15002C_013MA,B15002C_014MA,B15002C_014EA,B15002C_015MA,B15002C_015EA,B15002C_016EA,B15002C_016MA,B15002C_017EA,B15002C_017MA,B15002C_018MA,B15002C_018EA,B15002C_019EA,B15002C_019MA,state
0400000US01,16356,2076,7687,1411,728,430,1269,596,1647,587,619,300,1386,537,452,291,1075,512,511,326,8669,1243,742,492,1648,596,2176,759,924,538,1317,503,784,391,570,377,508,330,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55227,2146,26068,1643,1677,402,3527,831,10479,1406,2562,507,5637,982,816,320,981,490,389,360,29159,1471,2229,442,3968,896,6571,907,3099,856,8887,1055,1551,736,2213,836,641,335,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,155332,3757,73034,2326,7029,1029,11969,1605,23513,2074,4956,1010,16806,2289,4353,1015,3307,922,1101,608,82298,2363,9606,1279,12077,1772,19372,2215,3123,857,21956,1873,8430,1390,4902,1114,2832,752,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11895,1788,5116,1057,290,233,395,265,1288,558,323,226,1437,828,403,285,645,466,335,328,6779,1432,154,154,743,475,1915,747,124,192,2393,819,707,462,459,324,284,266,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,177242,6985,85317,4195,9364,1428,14037,1911,16655,2030,4344,995,23111,2285,6145,1193,7535,1347,4126,895,91925,4749,9169,1458,12109,2040,17450,2168,4640,1135,28274,2473,7285,1236,8452,1648,4546,1063,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31580,3380,16432,1917,976,530,2776,851,3716,961,1489,610,3955,1000,1077,418,1534,605,909,376,15148,2113,1168,664,1220,564,3449,902,1158,475,4417,1078,1784,726,1296,524,656,315,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43479,4441,22080,2894,4553,1716,2245,801,3845,1197,1480,690,4910,1482,1923,779,1969,681,1155,557,21399,2929,2316,794,1407,656,5135,1263,1698,784,5451,1423,1771,803,2333,1121,1288,599,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
