GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,NAME,B27001D_001MA,B27001D_001EA,B27001D_002EA,B27001D_002MA,B27001D_003MA,B27001D_003EA,B27001D_004EA,B27001D_004MA,B27001D_005EA,B27001D_005MA,B27001D_006MA,B27001D_006EA,B27001D_007EA,B27001D_007MA,B27001D_008MA,B27001D_008EA,B27001D_009EA,B27001D_009MA,B27001D_010MA,B27001D_010EA,B27001D_011EA,B27001D_011MA,B27001D_012MA,B27001D_012EA,B27001D_013MA,B27001D_013EA,B27001D_014EA,B27001D_014MA,B27001D_015EA,B27001D_015MA,B27001D_016EA,B27001D_016MA,B27001D_017MA,B27001D_017EA,B27001D_018MA,B27001D_018EA,B27001D_019EA,B27001D_019MA,B27001D_020EA,B27001D_020MA,B27001D_021EA,B27001D_021MA,B27001D_022EA,B27001D_022MA,B27001D_023MA,B27001D_023EA,B27001D_024EA,B27001D_024MA,B27001D_025MA,B27001D_025EA,B27001D_026EA,B27001D_026MA,B27001D_027EA,B27001D_027MA,B27001D_028MA,B27001D_028EA,state
0400000US01,52418,2761,5391,1175,4905,1129,486,475,7604,1604,6279,1426,1325,819,5609,1283,3661,940,1948,868,11862,1516,7852,1478,4010,1089,7617,1443,5374,1431,2243,903,6608,1338,5156,1255,1452,615,4424,954,3510,871,914,495,2303,676,2125,629,178,293,1000,468,1000,468,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38701,3282,3358,854,2984,834,374,244,6953,1307,5693,1337,1260,607,3490,813,1595,558,1895,535,4329,1038,3053,778,1276,607,5853,836,3797,839,2056,793,5832,665,4077,654,1755,714,5954,822,4039,889,1915,791,1756,578,1338,437,418,362,1176,435,1136,422,40,69,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172127,5003,12100,2005,11333,1930,767,604,24070,2360,21926,2351,2144,987,17029,1381,12778,1484,4251,1386,31045,1877,28492,2004,2553,1067,31010,1298,26972,1651,4038,1205,24117,1485,20088,1676,4029,1462,17944,1144,16278,1323,1666,838,9831,1110,8695,1195,1136,745,4981,595,4749,653,232,266,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33163,2157,1216,729,1110,712,106,134,6989,1290,6202,1267,787,496,4420,1276,2799,887,1621,859,5995,1268,5229,1317,766,448,5185,986,4627,934,558,380,5000,1017,3837,1067,1163,1089,3047,762,2560,736,487,420,1048,733,1048,733,0,273,263,240,263,240,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4874265,15577,320136,6278,305943,6415,14193,2236,688608,9388,635707,10018,52901,5086,479045,5683,357160,7917,121885,6009,745753,5359,594800,8010,150953,6282,783582,4328,663330,7891,120252,6896,724642,4095,595495,6499,129147,5673,569567,3578,454745,5979,114822,5525,317077,2338,303985,3296,13092,2347,245855,2681,241926,2826,3929,966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,132764,4159,10224,1457,9391,1535,833,622,20393,1969,17973,1799,2420,1134,13435,1879,9921,1781,3514,953,21922,1639,17125,1443,4797,1224,25493,2034,21055,2033,4438,1132,18044,1691,15015,1835,3029,912,13213,1295,10668,1358,2545,758,5577,999,5372,997,205,194,4463,980,4206,924,257,269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,133737,2649,12773,1152,12583,1233,190,241,20683,1529,19751,1477,932,612,12484,1168,10230,1284,2254,825,27363,1531,24023,1976,3340,1255,25397,1104,20831,1706,4566,1448,16944,831,14605,946,2339,760,10283,728,8298,996,1985,828,5465,1068,3845,1160,1620,833,2345,766,2345,766,0,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27449,1333,2715,486,2616,489,99,106,3348,592,2922,540,426,371,2702,237,2204,613,498,549,5613,628,4952,645,661,440,5003,562,4704,537,299,250,3367,602,2886,688,481,410,2458,352,2218,418,240,262,1498,401,1498,401,0,265,745,378,667,365,78,130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21271,962,534,228,457,242,77,129,1282,353,1046,425,236,337,3688,499,3113,577,575,507,7996,648,7354,677,642,446,3915,613,3643,636,272,223,1358,469,1125,428,233,204,1189,458,893,427,296,280,830,423,830,423,0,292,479,304,363,247,116,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450561,7364,30974,2127,27650,2256,3324,1144,65744,3492,55578,3297,10166,1710,47972,2474,28358,2848,19614,2775,69112,2965,46038,3575,23074,3064,78643,3235,57287,3576,21356,2245,66727,2427,48314,2862,18413,2370,49514,2017,37853,2099,11661,1774,29685,2181,26943,2204,2742,832,12190,1686,11551,1650,639,459,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
