GEO_ID,C18106_001E,C18106_001M,C18106_002E,C18106_002M,C18106_003E,C18106_003M,C18106_004E,C18106_004M,C18106_005E,C18106_005M,C18106_006E,C18106_006M,C18106_007E,C18106_007M,C18106_008E,C18106_008M,C18106_009E,C18106_009M,C18106_010E,C18106_010M,C18106_011E,C18106_011M,C18106_012E,C18106_012M,C18106_013E,C18106_013M,C18106_014E,C18106_014M,C18106_015E,C18106_015M,C18106_016E,C18106_016M,C18106_017E,C18106_017M,C18106_018E,C18106_018M,C18106_019E,C18106_019M,C18106_020E,C18106_020M,C18106_021E,C18106_021M,NAME,C18106_001EA,C18106_001MA,C18106_002EA,C18106_002MA,C18106_003MA,C18106_003EA,C18106_004EA,C18106_004MA,C18106_005EA,C18106_005MA,C18106_006EA,C18106_006MA,C18106_007EA,C18106_007MA,C18106_008EA,C18106_008MA,C18106_009MA,C18106_009EA,C18106_010MA,C18106_010EA,C18106_011MA,C18106_011EA,C18106_012EA,C18106_012MA,C18106_013MA,C18106_013EA,C18106_014MA,C18106_014EA,C18106_015MA,C18106_015EA,C18106_016MA,C18106_016EA,C18106_017MA,C18106_017EA,C18106_018EA,C18106_018MA,C18106_019MA,C18106_019EA,C18106_020MA,C18106_020EA,C18106_021MA,C18106_021EA,state
0400000US01,4394700,3481,2105991,5001,422118,3924,5850,1409,416268,4083,1411696,4278,36721,2885,1374975,5290,272177,2147,24646,2166,247531,2899,2288709,5421,403451,3461,3324,810,400127,3491,1519840,3855,39320,3528,1480520,5259,365418,2200,47091,3248,318327,3616,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,635667,2386,323714,2526,70661,1884,934,515,69727,1926,228051,1873,3394,880,224657,2008,25002,744,1477,523,23525,887,311953,1715,63741,1363,567,364,63174,1408,221384,1182,3954,1075,217430,1489,26828,631,2804,653,24024,840,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5854753,2538,2870881,4183,600845,2333,5384,1271,595461,2532,1869504,3564,30589,3111,1838915,4938,400532,1319,20223,2230,380309,2323,2983872,3385,573665,1928,4116,1107,569549,2216,1935179,2604,33046,4111,1902133,4996,475028,1801,37658,3150,437370,3493,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2673300,3226,1294532,6437,259066,3392,2861,872,256205,3481,855780,5332,19890,1951,835890,5486,179686,1735,13459,1587,166227,2333,1378768,6312,255997,3199,2261,705,253736,3054,897653,5403,23484,2394,874169,6001,225118,1959,23523,2285,201595,3170,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34286823,4972,16859429,9687,3456150,4311,36785,3247,3419365,5309,11577968,9176,169012,7978,11408956,12628,1825311,3391,149225,5044,1676086,6266,17427394,7759,3303795,3153,19999,2539,3283796,4122,11771939,6474,186202,7230,11585737,9169,2351660,4990,299688,10902,2051972,12031,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4614596,2772,2285466,6051,453065,2579,3474,919,449591,2691,1592801,5038,21169,2205,1571632,5464,239600,1431,12568,1618,227032,1881,2329130,5504,430866,2337,2596,974,428270,2562,1601729,4414,22305,2455,1579424,4523,296535,1791,25675,2505,270860,2934,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3318228,1408,1602229,2165,314257,1178,3400,781,310857,1483,1080650,1981,13804,2189,1066846,3042,207322,1165,11790,1528,195532,1628,1715999,2006,299068,1012,1761,706,297307,1158,1139428,1712,13406,1830,1126022,2332,277503,1289,24357,2086,253146,2093,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,829137,989,397480,1681,76758,1024,674,362,76084,1073,265250,1178,4390,1186,260860,1710,55472,575,2797,875,52675,1011,431657,1388,73193,756,214,188,72979,762,288519,1142,4918,1120,283601,1379,69945,566,4504,864,65441,1063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,561421,460,261584,1129,34433,718,314,229,34119,717,200415,1083,2268,892,198147,1420,26736,414,1203,533,25533,658,299837,1127,33696,559,680,471,33016,639,225760,797,1863,711,223897,1152,40381,1099,4657,1265,35724,1549,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17466095,5392,8436758,7924,1497673,4861,14523,2236,1483150,4803,5503186,7114,100741,5689,5402445,8864,1435899,3228,95046,4571,1340853,5189,9029337,6385,1424588,4904,11893,1708,1412695,5248,5832093,4854,105923,6395,5726170,7566,1772656,3805,163184,5326,1609472,6170,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
