C07401_012E,C07401_012M,C07401_013E,C07401_013M,C07401_014E,C07401_014M,C07401_015E,C07401_015M,C07401_016E,C07401_016M,C07401_017E,C07401_017M,C07401_018E,C07401_018M,C07401_019E,C07401_019M,C07401_020E,C07401_020M,C07401_021E,C07401_021M,C07401_022E,C07401_022M,C07401_023E,C07401_023M,C07401_024E,C07401_024M,C07401_025E,C07401_025M,C07401_026E,C07401_026M,C07401_027E,C07401_027M,C07401_028E,C07401_028M,C07401_029E,C07401_029M,C07401_030E,C07401_030M,C07401_031E,C07401_031M,C07401_032E,C07401_032M,C07401_033E,C07401_033M,C07401_034E,C07401_034M,C07401_035E,C07401_035M,C07401_036E,C07401_036M,C07401_037E,C07401_037M,C07401_038E,C07401_038M,C07401_039E,C07401_039M,C07401_040E,C07401_040M,C07401_041E,C07401_041M,C07401_042E,C07401_042M,C07401_043E,C07401_043M,C07401_044E,C07401_044M,C07401_045E,C07401_045M,C07401_046E,C07401_046M,C07401_047E,C07401_047M,C07401_048E,C07401_048M,C07401_049E,C07401_049M,C07401_050E,C07401_050M,GEO_ID,C07401_001E,C07401_001M,C07401_002E,C07401_002M,C07401_003E,C07401_003M,C07401_004E,C07401_004M,C07401_005E,C07401_005M,C07401_006E,C07401_006M,C07401_007E,C07401_007M,C07401_008E,C07401_008M,C07401_009E,C07401_009M,C07401_010E,C07401_010M,C07401_011E,C07401_011M,C07401_012MA,C07401_012EA,C07401_013MA,C07401_013EA,C07401_014MA,C07401_014EA,C07401_015MA,C07401_015EA,C07401_016EA,C07401_016MA,C07401_017EA,C07401_017MA,C07401_018MA,C07401_018EA,C07401_019EA,C07401_019MA,C07401_020MA,C07401_020EA,C07401_021MA,C07401_021EA,C07401_022EA,C07401_022MA,C07401_023MA,C07401_023EA,C07401_024MA,C07401_024EA,C07401_025EA,C07401_025MA,C07401_026EA,C07401_026MA,C07401_027EA,C07401_027MA,C07401_028MA,C07401_028EA,C07401_029EA,C07401_029MA,C07401_030EA,C07401_030MA,C07401_031EA,C07401_031MA,C07401_032EA,C07401_032MA,C07401_033EA,C07401_033MA,C07401_034MA,C07401_034EA,C07401_035EA,C07401_035MA,C07401_036MA,C07401_036EA,C07401_037MA,C07401_037EA,C07401_038EA,C07401_038MA,C07401_039EA,C07401_039MA,C07401_040EA,C07401_040MA,C07401_041MA,C07401_041EA,C07401_042MA,C07401_042EA,C07401_043MA,C07401_043EA,C07401_044EA,C07401_044MA,C07401_045EA,C07401_045MA,C07401_046EA,C07401_046MA,C07401_047MA,C07401_047EA,C07401_048MA,C07401_048EA,C07401_049MA,C07401_049EA,C07401_050EA,C07401_050MA,NAME,C07401_001MA,C07401_001EA,C07401_002EA,C07401_002MA,C07401_003MA,C07401_003EA,C07401_004MA,C07401_004EA,C07401_005EA,C07401_005MA,C07401_006EA,C07401_006MA,C07401_007MA,C07401_007EA,C07401_008EA,C07401_008MA,C07401_009MA,C07401_009EA,C07401_010MA,C07401_010EA,C07401_011EA,C07401_011MA,state
191890,5259,695467,8513,334231,7968,450136,8635,521807,8632,616755,6360,551356,4706,354948,2897,270565,2770,454675,16569,44230,4196,88874,6760,84667,5967,87854,5597,60750,4949,45305,3964,24495,3057,7074,1446,11426,1713,165790,9728,10489,1827,23500,3582,42629,4088,37604,4079,21051,3358,14899,2304,7592,1650,4108,1287,3918,856,99221,8532,6123,1867,13652,2630,20420,2650,20897,2782,13125,2133,10886,2195,7709,1622,3390,1076,3019,1300,0400000US01,4706841,12337,252732,5043,821493,5903,481947,7038,596491,7015,616733,6513,687845,4852,591152,3510,369520,2606,288928,2580,3987155,21708,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
31041,2228,113629,2910,42904,2529,70568,3301,79407,2949,97134,2381,80198,1558,32881,1130,17269,743,76301,7086,6784,1585,12958,2545,17378,2572,17058,2744,8340,1963,7729,1537,4261,883,480,313,1313,587,19577,2757,1811,812,2991,1101,3727,957,4949,1145,1816,585,2473,886,1271,438,292,244,247,194,94692,9780,9178,2469,13111,2824,22871,3530,21329,3405,10447,2116,8272,2261,6137,1742,2058,923,1289,918,0400000US02,755601,11330,48814,3331,142689,3615,86880,3710,113904,3974,100010,3126,115608,3280,91867,2314,35711,1553,20118,1277,565031,7596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
280112,7450,949338,14367,406964,9827,599890,8693,658307,8974,715336,8694,646602,5566,458078,4414,354375,3694,879397,32000,73899,5885,175269,13166,150563,9412,182100,8123,122981,7620,90448,7174,48751,4536,17559,2472,17827,2460,122594,9847,7564,1974,17306,3538,26956,3547,23521,2749,14681,2339,12966,2323,11075,2112,5807,1526,2718,928,176768,9764,12004,2103,23622,3644,34498,3554,40042,3405,22159,2851,18933,2392,12806,2216,6398,1450,6306,1375,0400000US04,6247761,16438,373579,5949,1165535,7068,618981,5955,845553,6554,818128,5724,837683,5237,719234,4057,487842,3885,381226,2503,5069002,35057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
121453,4135,420458,7037,187660,6844,266504,6324,305895,6092,361372,4279,328929,3350,222432,2710,173103,2525,292197,14369,25797,2922,63630,6091,57285,4609,54874,4308,37945,3998,24060,2802,15113,2122,6836,1344,6657,1085,120800,10915,8162,1607,19391,3619,28604,2928,27179,3696,15896,2441,10419,2154,4906,1511,3038,909,3205,1032,64264,6502,3472,1149,9626,2049,13309,2923,12574,2055,8110,1769,4995,1007,6116,1759,3888,1232,2174,675,0400000US05,2865067,11365,158884,3875,513105,4385,286858,6415,361131,5756,367846,5002,400846,3959,355064,2930,236194,2785,185139,2317,2387806,18627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1623592,14121,5759234,22861,2832484,22136,3877581,23437,4330557,17841,4659360,16244,3725057,11931,2140703,7542,1841653,7122,4318755,60629,354115,9676,803759,20881,695005,17716,1001582,22389,623338,14678,424090,14790,232506,10230,91892,5495,92468,5903,1094532,28856,72296,5456,127466,8102,260440,13735,265983,11364,148811,7359,102368,5085,62401,4868,31017,3582,23750,2691,573988,20898,35083,3867,75172,5881,129738,6725,135602,8290,72342,5761,53311,3849,42222,3530,18111,2440,12407,2136,0400000US06,36777496,29143,2085086,11335,6765631,8755,3917667,11746,5280748,12030,5175048,10658,5239129,7597,4062186,6428,2281723,5316,1970278,4329,30790221,71574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
219030,5175,747980,9052,276490,7718,497662,8904,579077,7177,656292,5663,549683,4986,294702,2689,221123,2495,489557,19978,33995,3242,82338,6813,99735,6931,120795,6853,66775,5611,44051,4088,25987,3317,5935,1141,9946,1553,235856,13821,13995,2374,28307,3965,62029,5752,59575,4990,27516,3154,21760,2861,12178,2227,5758,1163,4738,972,140620,8392,8948,1991,20302,3625,30085,3056,29617,2760,23089,3580,14137,2091,7241,1496,5066,1108,2135,607,0400000US08,4908072,13635,275968,4758,878927,6209,468339,7100,707649,6738,696457,6200,736240,4912,595089,3248,311461,2661,237942,2076,4042039,25546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
136527,3929,553151,5639,241540,4749,316217,5525,425671,4111,525408,4166,419888,3003,246404,2064,235936,2201,271709,14248,19498,2827,43340,5091,40426,3668,65215,5077,35776,3466,33540,2949,16853,2357,8123,1546,8938,1643,71195,6597,2669,759,6054,1544,20275,3051,17536,2232,10111,1707,7999,1551,3239,771,1087,482,2225,752,89360,8104,4280,1223,8767,2913,29463,3368,19455,3078,7604,2046,6705,1726,6351,1648,3964,1187,2771,967,0400000US09,3533006,11279,162974,3628,611312,3938,331704,4659,418423,4494,479162,3464,573652,3126,446331,2371,259578,2085,249870,1695,3100742,16358,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
37276,2346,130975,2988,62702,3579,84717,3242,102397,2696,121884,2419,103059,1830,68835,1231,52795,1123,82530,8456,7162,1899,14053,2690,16324,2942,17743,2998,10599,1793,7525,1790,4953,1396,1737,631,2434,778,7471,1626,75,126,1051,677,1650,783,1547,742,663,316,695,541,915,695,345,297,530,510,30055,4817,1966,876,4578,1981,6431,1253,6886,1712,3529,1040,2906,941,1897,608,958,522,904,809,0400000US10,884696,6217,46479,1652,150657,2492,87107,2915,110893,2276,117188,2124,133010,1753,110824,1290,71875,1103,56663,1169,764640,9145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
19739,1738,59100,2118,51934,3283,85617,3111,67613,2235,66213,1772,58808,1393,35489,1010,30163,882,63766,6163,4336,1226,7623,1968,12515,2385,19555,2394,7545,1639,5854,1469,3685,1234,1291,610,1362,640,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,56052,5274,3510,1301,5065,1991,10893,1817,22142,2871,5961,1313,4324,1033,2710,1001,721,455,726,564,0400000US11,594494,7671,27585,1801,71788,2268,75342,3197,127314,3775,81119,2133,76391,1343,65203,1196,37501,821,32251,895,474676,8281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
674597,10140,2444289,18866,1247667,14319,1641945,15709,2013300,13727,2386317,12528,2111016,10620,1609750,7155,1425127,7121,1912631,37220,140869,7764,335056,13383,293886,11308,397441,13126,271288,11016,222200,9016,132783,8130,58212,4664,60896,3924,546899,20448,27535,3635,66480,6493,130886,9042,119708,6520,71207,5494,58496,5092,39416,4033,16735,2666,16436,2347,427853,16117,25531,3017,52000,4944,88618,5871,88875,5995,54777,4597,43639,3748,31514,3514,21383,3082,21516,2371,0400000US12,18441391,31050,868532,8340,2897825,11102,1761057,11632,2247969,11951,2410572,10570,2710652,10484,2314729,6761,1706080,5352,1523975,5739,15554008,45602,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
