B25106_009M,B25106_010E,B25106_010M,B25106_011E,B25106_011M,B25106_012E,B25106_012M,B25106_013E,B25106_013M,B25106_014E,B25106_014M,B25106_015E,B25106_015M,B25106_016E,B25106_016M,B25106_017E,B25106_017M,B25106_018E,B25106_018M,B25106_019E,B25106_019M,B25106_020E,B25106_020M,B25106_021E,B25106_021M,B25106_022E,B25106_022M,B25106_023E,B25106_023M,B25106_024E,B25106_024M,B25106_025E,B25106_025M,B25106_026E,B25106_026M,B25106_027E,B25106_027M,B25106_028E,B25106_028M,B25106_029E,B25106_029M,B25106_030E,B25106_030M,B25106_031E,B25106_031M,B25106_032E,B25106_032M,B25106_033E,B25106_033M,B25106_034E,B25106_034M,B25106_035E,B25106_035M,B25106_036E,B25106_036M,B25106_037E,B25106_037M,B25106_038E,B25106_038M,B25106_039E,B25106_039M,B25106_040E,B25106_040M,B25106_041E,B25106_041M,B25106_042E,B25106_042M,B25106_043E,B25106_043M,B25106_044E,B25106_044M,B25106_045E,B25106_045M,B25106_046E,B25106_046M,GEO_ID,B25106_001E,B25106_001M,B25106_002E,B25106_002M,B25106_003E,B25106_003M,B25106_004E,B25106_004M,B25106_005E,B25106_005M,B25106_006E,B25106_006M,B25106_007E,B25106_007M,B25106_008E,B25106_008M,B25106_009E,B25106_009MA,B25106_010MA,B25106_010EA,B25106_011MA,B25106_011EA,B25106_012EA,B25106_012MA,B25106_013EA,B25106_013MA,B25106_014EA,B25106_014MA,B25106_015EA,B25106_015MA,B25106_016MA,B25106_016EA,B25106_017MA,B25106_017EA,B25106_018MA,B25106_018EA,B25106_019MA,B25106_019EA,B25106_020EA,B25106_020MA,B25106_021MA,B25106_021EA,B25106_022MA,B25106_022EA,B25106_023EA,B25106_023MA,B25106_024MA,B25106_024EA,B25106_025EA,B25106_025MA,B25106_026EA,B25106_026MA,B25106_027MA,B25106_027EA,B25106_028EA,B25106_028MA,B25106_029EA,B25106_029MA,B25106_030EA,B25106_030MA,B25106_031EA,B25106_031MA,B25106_032MA,B25106_032EA,B25106_033MA,B25106_033EA,B25106_034MA,B25106_034EA,B25106_035MA,B25106_035EA,B25106_036EA,B25106_036MA,B25106_037EA,B25106_037MA,B25106_038MA,B25106_038EA,B25106_039EA,B25106_039MA,B25106_040MA,B25106_040EA,B25106_041EA,B25106_041MA,B25106_042EA,B25106_042MA,B25106_043MA,B25106_043EA,B25106_044EA,B25106_044MA,B25106_045MA,B25106_045EA,B25106_046MA,B25106_046EA,NAME,B25106_001MA,B25106_001EA,B25106_002EA,B25106_002MA,B25106_003EA,B25106_003MA,B25106_004EA,B25106_004MA,B25106_005MA,B25106_005EA,B25106_006MA,B25106_006EA,B25106_007EA,B25106_007MA,B25106_008EA,B25106_008MA,B25106_009EA,state
3226,79964,4074,200832,7156,95308,5443,52468,3648,53056,3596,248018,8060,145376,6103,66232,4605,36410,2697,396291,9118,309547,8762,70281,4181,16463,1898,13774,1923,542306,10228,195196,6804,5840,1215,20145,2185,169211,6228,116248,5967,11331,1477,38093,3033,66824,4567,68092,4717,27295,2814,28101,2791,12696,2122,54751,4187,36639,3289,14828,2266,3284,1012,34072,3486,29489,3204,3451,1089,1132,651,12983,1964,60964,4216,0400000US01,1815152,10938,1272846,12811,204619,6617,31485,2543,33696,2698,139438,5673,209312,7597,88141,4838,41207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
608,8469,1374,15681,1595,5525,935,2449,714,7707,1361,29589,2456,12749,1550,7593,1220,9247,1491,89767,3868,56200,3323,24587,2445,8980,1525,340,238,91825,3849,16425,1924,236,137,1180,522,15009,1908,16311,1766,1302,674,2723,898,12286,1767,13163,1780,1561,675,5979,1249,5623,1097,17246,1773,6257,1258,6470,1063,4519,1133,17087,2324,12490,1797,3904,1188,693,468,515,414,11078,1640,0400000US02,254610,2804,162785,3878,11887,1477,1889,505,1542,592,8456,1400,15521,1597,4356,830,2696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2601,116198,5698,225847,6948,83709,4136,42742,3520,99396,5028,317033,8704,120663,5530,97778,4459,98592,4491,560931,9028,356955,7725,149119,5994,54857,3125,17415,2370,811112,13574,215102,6706,3573,988,11177,1655,200352,6415,183394,8087,7092,1293,47725,4120,128577,6898,130889,6583,25609,2865,56224,4710,49056,3419,117132,5913,50931,4039,48753,4102,17448,2958,101893,5698,81220,5381,17925,2546,2748,1035,23054,2797,39648,3318,0400000US04,2334050,12895,1522938,13309,173088,6135,26987,2246,24187,2238,121914,5543,228624,7497,77062,4320,35364,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2743,43470,3269,124874,5312,68895,4279,34103,2862,21876,2276,148403,5515,101274,5083,34141,2828,12988,1916,212428,6389,176522,6279,29991,2255,5915,1063,6230,1322,363334,8761,129067,5359,3192,961,13763,1959,112112,5115,82170,4325,9385,1767,34536,3014,38249,2980,45422,3229,19725,2507,20240,2351,5457,1106,39388,3604,29530,3055,8722,1604,1136,590,20988,2855,19487,2731,952,467,549,530,7586,1445,38713,3275,0400000US05,1114902,8104,751568,9191,117150,4754,26108,2703,22167,1923,68875,3719,142483,5398,67513,3337,31500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4729,435900,10352,763844,14591,219076,7115,93048,4641,451720,11914,1208016,16435,357470,9558,221577,6574,628969,12673,3604229,23631,1597439,16284,1048072,14396,958718,13930,53637,3549,5503300,25377,1249255,16577,17862,1874,84100,5024,1147293,16498,1051933,18020,30785,2626,104265,5660,916883,15978,825903,13887,53701,4252,255398,7963,516804,11182,937671,14077,210794,7136,405784,8503,321093,9507,1167239,19209,702998,15279,372279,11164,91962,4950,101140,6826,170159,5407,0400000US06,12406475,16820,6903175,27402,552629,12188,66008,3225,62236,4097,424385,11011,720820,12627,195052,6349,89868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2112,86374,4660,164861,5244,52599,2969,32162,2717,80100,4774,252933,7011,89632,4877,78019,4144,85282,4520,601658,8910,363752,8645,173978,5432,63928,3464,9328,1289,667793,12023,181045,6897,4887,1357,14038,1827,162120,6319,147702,6838,7348,1436,32919,2777,107435,5739,106137,6489,16633,2286,50527,3991,38977,3315,104424,5004,45289,2848,43362,3473,15773,2400,87116,4367,67351,3732,16821,1769,2944,737,14899,2021,26470,2273,0400000US08,1960585,9151,1292792,11248,112295,4736,11282,1469,14714,1602,86299,4410,151717,6692,45650,2887,19693,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1933,61754,3766,96610,4101,18611,1873,21771,1892,56228,3101,162648,6523,44500,3067,40094,2726,78054,4249,515013,9122,265943,5984,163267,4633,85803,4237,5164,1264,435192,8295,121589,5628,3355,1054,14398,1820,103836,5043,82871,4863,5577,1465,11726,2026,65568,4365,69582,3939,6673,1435,27749,2964,35160,3188,66191,4189,22778,2196,30756,3212,12657,1991,69309,4353,50387,3913,16314,2233,2608,880,8735,1602,16915,2068,0400000US09,1358809,7109,923617,8286,60711,3955,766,310,2845,761,57100,4064,83471,4416,5944,1149,15773,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
879,15221,1862,31584,1956,10828,1261,6238,945,14518,1474,49375,2929,18908,2057,14295,1935,16172,2000,106620,3281,66655,2919,29486,2134,10479,1427,1107,425,88881,3899,22806,2500,1059,605,1791,525,19956,2440,19871,2932,457,323,2394,851,17020,2613,13485,1909,826,488,6706,1467,5953,1272,14730,1870,5494,1360,7109,1208,2127,843,11116,2049,8185,1563,2723,1041,208,176,2439,711,4434,1066,0400000US10,328765,4178,239884,4113,23222,2547,2657,693,3071,898,17494,2214,27976,2273,8453,1299,4302,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
382,4768,1031,9087,1492,2869,788,1196,438,5022,1071,15207,1762,4744,802,3427,824,7036,1378,66176,3213,37983,2653,19140,1926,9053,1527,1023,472,145195,4932,34401,3179,2396,803,2998,706,29007,2993,21861,2492,2222,789,2398,863,17241,2259,16995,1784,1617,583,6027,1094,9351,1420,23920,2635,6592,1203,9172,1780,8156,1403,38814,2997,21594,2473,12031,1710,5189,1031,4503,1278,4701,1029,0400000US11,252388,3730,107193,3924,8178,1226,376,193,640,319,7162,1141,7522,1179,1777,738,977,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
5927,430261,9348,737797,11962,253814,6731,147470,6535,336513,8281,952281,17385,399815,9612,241940,9827,310526,9271,1599810,18022,966056,15994,413487,10205,220267,6925,61867,4143,2240938,20709,636848,10154,11819,1908,36855,3189,588174,10722,500103,13566,12130,1999,72911,5121,415062,12166,354029,12007,36845,4072,151877,7170,165307,8989,320450,10362,99548,5594,152915,8048,67987,4952,251991,7945,177696,7498,63992,4378,10303,1557,59053,4933,118464,5664,0400000US12,7035068,25739,4794130,25332,653747,12426,62262,3634,74238,3976,517247,11865,788628,13703,210710,6467,147657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
