GEO_ID,B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,NAME,B18101H_001EA,B18101H_001MA,B18101H_002MA,B18101H_002EA,B18101H_003MA,B18101H_003EA,B18101H_004EA,B18101H_004MA,B18101H_005MA,B18101H_005EA,B18101H_006EA,B18101H_006MA,B18101H_007EA,B18101H_007MA,B18101H_008MA,B18101H_008EA,B18101H_009EA,B18101H_009MA,B18101H_010MA,B18101H_010EA,state
0400000US01,3160600,2527,672119,577,31355,2865,640764,2866,1975263,2326,271838,9265,1703425,9274,513218,1402,216985,5509,296233,5647,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440292,1827,98541,194,3321,1037,95220,1062,302385,1785,31175,2651,271210,2968,39366,318,13966,1401,25400,1343,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3657932,3740,677475,981,22785,2694,654690,2923,2257064,3540,233519,8713,2023545,9517,723393,1587,224187,5575,499206,5487,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2138761,3570,463317,1057,26691,2808,436626,2974,1316196,2933,193402,6044,1122794,6462,359248,1616,147783,4670,211465,4547,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14714821,10259,2531989,4016,82930,5252,2449059,6104,9602533,8064,864787,16809,8737746,19723,2580299,5250,919204,13061,1661095,12991,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3477333,4625,710081,1202,23499,3025,686582,3303,2313597,3800,191684,6961,2121913,7679,453655,1347,153605,4573,300050,4589,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2504381,4637,495855,1617,14828,2344,481027,2813,1584905,3372,116064,4859,1468841,6268,423621,1060,135234,4638,288387,4644,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,579230,883,109196,204,4126,1002,105070,997,366084,832,42097,3645,323987,3663,103950,410,32011,1830,71939,1783,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,207527,678,17495,272,270,224,17225,347,169094,563,5754,1239,163340,1334,20938,211,4759,920,16179,926,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10731181,12218,1816767,3758,77926,5158,1738841,5747,6440873,8665,693028,13741,5747845,16224,2473541,3806,822198,12682,1651343,13156,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5330391,4385,1169022,2024,51373,5278,1117649,5660,3407019,3719,357200,10751,3049819,10437,754350,2263,291631,6685,462719,6933,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,285831,2327,39470,463,1733,884,37737,982,198976,2147,17026,2185,181950,3071,47385,307,14367,1532,33018,1522,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1305567,1132,329562,264,13846,2008,315716,2043,794308,1181,87166,4754,707142,4757,181697,740,68316,3140,113381,2939,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8074090,4037,1652083,1488,57430,3669,1594653,3677,5189396,3380,400660,10599,4788736,10966,1232611,3084,426506,7819,806105,8135,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5217881,3380,1185616,1487,48684,3361,1136932,3497,3293598,3157,356548,9508,2937050,10618,738667,1929,267426,5558,471241,5848,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2662982,2863,588046,1576,22335,2607,565711,3098,1657601,1886,153662,6697,1503939,6817,417335,848,134064,3468,283271,3523,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2194615,2303,497821,688,18896,2327,478925,2202,1368300,2256,141864,5573,1226436,5681,328494,1456,121841,3394,206653,3913,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3682955,3189,827506,1738,40745,3305,786761,3674,2335067,3592,372717,9074,1962350,9881,520382,1006,215388,5172,304994,5310,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2694360,3133,585976,1312,32068,3293,553908,3201,1711757,3070,222725,7839,1489032,7946,396627,1487,163019,4778,233608,4875,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1240504,877,246180,35,15037,2111,231143,2117,794206,949,96270,3946,697936,4257,200118,487,76179,2920,123939,2940,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3111880,4146,626986,1328,25321,2579,601665,2832,1994291,3446,166793,6799,1827498,7958,490603,2328,163321,4531,327282,4631,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4944440,5666,957207,2541,37106,3341,920101,4434,3214871,4303,258224,9180,2956647,9918,772362,1556,249250,6040,523112,6205,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
