GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001MA,B19201_001EA,B19201_002EA,B19201_002MA,B19201_003EA,B19201_003MA,B19201_004EA,B19201_004MA,B19201_005EA,B19201_005MA,B19201_006EA,B19201_006MA,B19201_007MA,B19201_007EA,B19201_008EA,B19201_008MA,B19201_009MA,B19201_009EA,B19201_010MA,B19201_010EA,B19201_011MA,B19201_011EA,B19201_012MA,B19201_012EA,B19201_013EA,B19201_013MA,B19201_014MA,B19201_014EA,B19201_015EA,B19201_015MA,B19201_016EA,B19201_016MA,B19201_017MA,B19201_017EA,state
0400000US01,587268,11440,116253,5975,82799,4499,59822,3797,54080,3817,41251,3257,36590,2527,30972,2898,28973,2747,22545,2399,31095,2687,34493,2912,23117,2379,12069,1812,5698,1062,4529,946,2982,944,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83751,4087,6934,1152,7960,1367,5057,1053,6063,1183,5315,1057,4792,1134,4636,1129,4760,1105,3444,941,8321,1500,7837,1332,7914,1470,4831,1202,2684,883,2050,636,1153,469,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,785622,11512,111337,5923,77893,3718,66426,4253,62610,3455,54270,3808,57336,3774,48186,3920,47498,3890,35452,3254,55931,4029,56975,4125,54025,3688,28642,3315,10585,1736,9829,1543,8627,1641,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,353541,8369,67552,4081,54049,3467,37974,3128,32196,2745,28141,2979,23475,2712,18858,2585,16667,1885,15034,1888,17703,2221,17663,2247,12303,2028,6299,1349,1987,604,1396,632,2244,890,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3898619,22565,426306,11188,407169,10203,278073,9147,274043,7453,213606,7271,212684,7581,183238,6909,188513,7854,153391,6242,276456,8554,352762,9124,370746,10124,230831,8954,108121,5664,111403,5936,111277,5203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,701700,12583,89471,4785,68146,3396,52998,3554,59124,4271,46841,3198,47123,3562,38408,3685,38743,3343,30423,2551,54861,3733,62737,4326,53959,3585,28287,2756,13620,1913,9153,1579,7806,1239,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,468039,8409,52810,3480,40778,3095,40800,3497,32928,3138,29755,3090,25104,2385,23385,2499,25147,2589,23715,2756,35637,2721,41582,3272,41287,3524,19345,2716,12717,1764,12621,1751,10428,1356,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,107532,4730,13490,1739,10671,1580,8515,1557,8783,1578,6986,1422,6456,1253,5432,1181,5579,1075,4898,1252,9939,1655,9404,1602,7442,1400,5346,1418,1480,580,1888,665,1223,552,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,150869,4823,19242,2115,10053,1624,6698,1339,6172,1232,5615,1257,6580,1500,6718,1307,5738,1202,4924,1108,11555,1789,14227,1766,18379,2078,11750,1660,6893,1282,7835,1218,8490,1522,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2478138,24583,368226,9466,277387,7704,237223,6645,212366,7417,174987,6984,176509,6760,145665,6765,135775,6176,102060,5262,167269,7443,174044,6582,143469,5679,72995,5033,30334,2878,29221,3107,30608,2711,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
