GEO_ID,B17026_001E,B17026_001M,B17026_002E,B17026_002M,B17026_003E,B17026_003M,B17026_004E,B17026_004M,B17026_005E,B17026_005M,B17026_006E,B17026_006M,B17026_007E,B17026_007M,B17026_008E,B17026_008M,B17026_009E,B17026_009M,B17026_010E,B17026_010M,B17026_011E,B17026_011M,B17026_012E,B17026_012M,B17026_013E,B17026_013M,NAME,B17026_001EA,B17026_001MA,B17026_002MA,B17026_002EA,B17026_003EA,B17026_003MA,B17026_004MA,B17026_004EA,B17026_005MA,B17026_005EA,B17026_006EA,B17026_006MA,B17026_007MA,B17026_007EA,B17026_008MA,B17026_008EA,B17026_009EA,B17026_009MA,B17026_010MA,B17026_010EA,B17026_011MA,B17026_011EA,B17026_012EA,B17026_012MA,B17026_013MA,B17026_013EA,state
0400000US01,1227884,13886,76675,4706,50260,3730,53914,3664,57979,3959,57249,3458,55139,3800,24614,2733,32658,2944,220494,7558,172498,5662,129408,5931,296996,7373,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,4394,1090,3514,802,4369,800,5619,1207,5308,1014,5529,1073,2695,750,3252,834,23428,2158,24561,2242,20588,2251,67602,3660,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,85070,5691,49631,3666,59538,4485,77035,5064,73680,4467,71675,4710,25240,2631,37866,3297,265968,9043,210703,7595,160949,5794,431073,9047,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,43352,3236,29651,3472,34240,2843,37361,3216,43635,3360,43939,3185,16668,1939,20328,2130,145202,6386,103417,4451,79659,3727,163909,5787,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,399437,12031,279306,10195,324562,7957,371885,9932,387699,10665,387544,10978,138856,5890,197743,7464,1273438,19677,1035779,16067,835846,13328,2875761,21694,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,50129,3546,30615,2874,37702,3451,43618,3739,41545,3498,48907,3964,19298,2207,24145,2473,191026,4993,171566,5230,145659,5965,454675,8426,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,27283,3283,17816,2630,18596,2429,22581,2595,24179,2673,24723,2669,9827,1662,14550,1944,114606,5115,115655,4883,102174,5341,398780,7235,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,6738,1195,4213,1075,6930,1463,4907,1039,8667,1822,9565,1535,3329,1019,3880,1064,35058,2661,32601,2432,26841,2552,78504,3292,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,7439,1230,4319,1004,2527,703,2758,889,3858,1067,3879,977,985,394,1255,525,10293,1566,10035,1573,7530,994,46641,3022,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,227824,8010,142958,6587,177985,5569,191768,7735,204880,7641,225717,8841,87107,5562,119386,6500,813407,14073,656592,13812,493610,13161,1215696,15825,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
