GEO_ID,C08014_001E,C08014_001M,C08014_002E,C08014_002M,C08014_003E,C08014_003M,C08014_004E,C08014_004M,C08014_005E,C08014_005M,C08014_006E,C08014_006M,C08014_007E,C08014_007M,C08014_008E,C08014_008M,C08014_009E,C08014_009M,C08014_010E,C08014_010M,C08014_011E,C08014_011M,C08014_012E,C08014_012M,C08014_013E,C08014_013M,C08014_014E,C08014_014M,C08014_015E,C08014_015M,NAME,C08014_001MA,C08014_001EA,C08014_002EA,C08014_002MA,C08014_003EA,C08014_003MA,C08014_004MA,C08014_004EA,C08014_005MA,C08014_005EA,C08014_006EA,C08014_006MA,C08014_007EA,C08014_007MA,C08014_008MA,C08014_008EA,C08014_009EA,C08014_009MA,C08014_010MA,C08014_010EA,C08014_011MA,C08014_011EA,C08014_012EA,C08014_012MA,C08014_013MA,C08014_013EA,C08014_014EA,C08014_014MA,C08014_015EA,C08014_015MA,state
0400000US01,1938091,17230,43072,4021,383754,11289,812926,17125,698339,15930,1022782,10876,20764,2560,166760,7181,447020,11131,388238,9448,915309,12708,22308,2859,216994,7123,365906,9959,310101,9638,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,327655,5564,18536,2046,79419,5320,135418,7524,94282,6506,179171,3708,9926,1273,40697,3645,74386,4586,54162,3996,148484,4147,8610,1259,38722,2962,61032,3719,40120,3410,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2604952,20008,78337,5730,624292,13425,1160517,18638,741806,21748,1389868,12146,44313,4433,306383,8413,633838,11332,405334,12369,1215084,13270,34024,3563,317909,9258,526679,12429,336472,12448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1215967,10225,26010,3578,262195,9959,528988,12613,398774,12553,633568,7566,14395,2417,120695,6139,284503,8859,213975,6725,582399,7996,11615,1871,141500,6020,244485,6797,184799,7584,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15788452,46241,561992,16618,3216581,31000,6321524,52913,5688355,56593,8571126,33306,303814,11198,1603026,22656,3502053,35487,3162233,35421,7217326,30853,258178,9686,1613555,22828,2819471,29194,2526122,27842,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2406034,15630,57828,5250,491968,12228,1048769,16710,807469,14871,1288383,10161,32244,3230,234704,8672,569818,10605,451617,9560,1117651,11721,25584,3441,257264,8109,478951,9139,355852,8501,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1682713,10005,58257,5665,340528,9694,721700,14558,562228,14676,867890,7580,28811,3646,149801,6674,390914,9301,298364,8898,814823,7933,29446,3218,190727,7775,330786,8657,263864,8507,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,400771,6771,10895,2188,84275,5131,179231,6969,126370,6918,200572,4414,4282,1271,36448,2976,94647,4431,65195,3744,200199,5138,6613,1710,47827,3740,84584,4083,61175,4655,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,292000,4767,79103,5930,122288,5363,69386,5388,21223,3394,142571,3055,37167,3865,57442,3425,36502,3498,11460,2011,149429,3714,41936,3810,64846,4104,32884,3016,9763,1899,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7814396,26682,232352,13765,1957734,29146,3565084,41016,2059226,35415,4033198,21166,129849,9686,909501,15911,1898669,26043,1095179,22909,3781198,22298,102503,6890,1048233,20710,1666415,23716,964047,18645,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4078068,22072,122845,6792,913913,20907,1770686,25664,1270624,27312,2134644,15233,66827,5858,405350,13455,966585,16553,695882,15325,1943424,16426,56018,3748,508563,14216,804101,13186,574742,15558,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
