GEO_ID,C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,NAME,C16007_001MA,C16007_001EA,C16007_002EA,C16007_002MA,C16007_003EA,C16007_003MA,C16007_004MA,C16007_004EA,C16007_005EA,C16007_005MA,C16007_006MA,C16007_006EA,C16007_007MA,C16007_007EA,C16007_008EA,C16007_008MA,C16007_009MA,C16007_009EA,C16007_010MA,C16007_010EA,C16007_011EA,C16007_011MA,C16007_012MA,C16007_012EA,C16007_013EA,C16007_013MA,state
0400000US01,4477229,3071,827359,3228,780677,4920,36386,3607,10296,2219,2991896,3396,2819330,6493,112648,4417,59918,3749,657974,2421,646562,2705,3797,973,7615,1348,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,660403,1218,134803,1314,116070,2754,2720,900,16013,2203,472261,1159,391313,3966,18479,2675,62469,3955,53339,1054,43776,994,751,405,8812,1055,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5957961,1719,1176635,1749,823550,12600,300711,10436,52374,4246,3894531,1998,2800403,15385,822496,12368,271632,9018,886795,1887,741333,4001,91698,2471,53764,3248,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2727155,2544,516679,2853,468878,4414,38427,2877,9374,1736,1790401,2972,1659565,5564,94750,3610,36086,3872,420075,2295,411054,2280,3815,960,5206,1303,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34820465,2428,6778331,3238,3680318,27891,2423519,22362,674494,14173,23772639,3866,13078063,41746,6973307,28297,3721269,27928,4269495,3423,2829734,11040,663147,6449,776614,9371,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4706794,1540,886401,2296,709529,9029,142465,7492,34407,3458,3268755,2754,2708072,13570,389422,10885,171261,6253,551638,1996,484046,3806,41189,2446,26403,3026,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3375388,930,613603,884,493511,5738,70467,3614,49625,4068,2253632,1312,1740047,10007,262682,5486,250903,7605,508153,1218,424050,4002,20930,1152,63173,3780,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,843674,492,149974,653,129741,2465,13978,2054,6255,1367,564230,848,491962,3996,41022,2549,31246,2879,129470,696,120410,1146,3082,712,5978,1020,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571592,205,68406,163,59723,1556,6284,1355,2399,786,433759,635,366264,4475,30514,3037,36981,3007,69427,651,62532,1310,2597,510,4298,1047,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17775340,3060,2931533,5076,2112530,12904,633022,10674,185981,9233,11570608,5098,8172899,23555,2502389,15572,895320,19444,3273199,3561,2621644,8797,431244,4427,220311,7695,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9030273,3859,1812207,4884,1556157,7672,178390,4882,77660,4868,6184168,4800,5314578,13796,506840,8035,362750,10890,1033898,4042,977539,3626,17604,2065,38755,2571,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1276928,794,216968,845,179354,4109,3630,1311,33984,4005,861834,1096,629324,10778,20450,2777,212060,10517,198126,880,137657,3616,2049,625,58420,3442,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1450742,1276,308252,1773,269128,3160,31868,2481,7256,1409,945649,1838,843052,5034,77366,3462,25231,3203,196841,1559,186123,1604,5837,1089,4881,1060,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12010235,1928,2292999,2794,1749466,9514,394891,7607,148642,6732,8102414,3433,6230993,17772,1085656,10014,785765,16163,1614822,2420,1385631,5468,79974,2350,149217,5188,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6057306,2657,1172800,2563,1056727,5196,71311,3690,44762,3667,4041515,2592,3703022,9059,185051,4990,153442,7284,842991,1978,810351,2736,11124,1240,21516,2209,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2850218,1644,525009,2198,473341,3221,33991,2351,17677,2435,1872386,2308,1725954,5046,77389,2833,69043,3971,452823,1426,440493,1542,3872,934,8458,1208,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2654069,2092,521726,2708,452782,4427,51817,3945,17127,2386,1753308,2784,1548688,6817,131617,5120,73003,4328,379035,1886,360983,2229,7722,1151,10330,1422,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4066511,2796,741581,3325,697503,4991,25429,3019,18649,2925,2745409,3353,2605776,5780,71987,3855,67646,5066,579521,2147,568205,2022,3572,992,7744,1317,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4230220,2141,804044,2312,755682,4479,25863,2849,22499,2709,2866587,3046,2612903,8589,111614,4826,142070,6631,559589,2415,484958,3746,10318,1372,64313,3736,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1258997,1059,205081,1357,195361,1840,2586,877,7134,1099,843074,1316,791687,3659,6180,1438,45207,3384,210842,724,187897,2075,912,368,22033,2151,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5421054,1691,986844,2206,830144,6544,74095,4754,82605,5395,3723958,2359,3061132,11943,265846,6922,396980,10629,710252,1906,633772,3263,15382,1390,61098,2516,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6190919,1253,1050786,1236,827453,7699,107276,4427,116057,6251,4234017,1720,3266576,15430,352270,5561,615171,15067,906116,1536,755855,5325,25419,1143,124842,4979,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9285194,1880,1742527,2682,1575959,6446,68961,3578,97607,5380,6177162,2713,5638147,11780,169558,5832,369457,10786,1365505,2316,1272328,4141,15984,1778,77193,3682,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4954466,2431,927535,2364,805804,4518,50903,3237,70828,3252,3340237,2715,2978771,8992,132554,4871,228912,8065,686694,1800,648541,2476,4821,871,33332,2213,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2760957,2020,544089,2370,525355,2611,12769,1902,5965,1563,1834112,2441,1759127,4055,47299,3238,27686,2484,382756,1801,376095,1899,2830,916,3831,1038,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5608805,2820,1030145,3056,960456,6163,34892,3424,34797,3718,3735775,4325,3490579,8300,101211,4223,143985,6957,842885,2216,815909,2773,8039,1331,18937,1962,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,929026,1254,160728,1416,152770,2211,2152,771,5806,1563,620804,1420,591672,3460,9029,1583,20103,2763,147494,912,141475,1237,1196,511,4823,968,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
