GEO_ID,B01001H_001E,B01001H_001M,B01001H_002E,B01001H_002M,B01001H_003E,B01001H_003M,B01001H_004E,B01001H_004M,B01001H_005E,B01001H_005M,B01001H_006E,B01001H_006M,B01001H_007E,B01001H_007M,B01001H_008E,B01001H_008M,B01001H_009E,B01001H_009M,B01001H_010E,B01001H_010M,B01001H_011E,B01001H_011M,B01001H_012E,B01001H_012M,B01001H_013E,B01001H_013M,B01001H_014E,B01001H_014M,B01001H_015E,B01001H_015M,B01001H_016E,B01001H_016M,B01001H_017E,B01001H_017M,B01001H_018E,B01001H_018M,B01001H_019E,B01001H_019M,B01001H_020E,B01001H_020M,B01001H_021E,B01001H_021M,B01001H_022E,B01001H_022M,B01001H_023E,B01001H_023M,B01001H_024E,B01001H_024M,B01001H_025E,B01001H_025M,B01001H_026E,B01001H_026M,B01001H_027E,B01001H_027M,B01001H_028E,B01001H_028M,B01001H_029E,B01001H_029M,B01001H_030E,B01001H_030M,B01001H_031E,B01001H_031M,NAME,B01001H_001EA,B01001H_001MA,B01001H_002MA,B01001H_002EA,B01001H_003EA,B01001H_003MA,B01001H_004MA,B01001H_004EA,B01001H_005MA,B01001H_005EA,B01001H_006EA,B01001H_006MA,B01001H_007EA,B01001H_007MA,B01001H_008MA,B01001H_008EA,B01001H_009MA,B01001H_009EA,B01001H_010MA,B01001H_010EA,B01001H_011EA,B01001H_011MA,B01001H_012EA,B01001H_012MA,B01001H_013MA,B01001H_013EA,B01001H_014EA,B01001H_014MA,B01001H_015MA,B01001H_015EA,B01001H_016MA,B01001H_016EA,B01001H_017EA,B01001H_017MA,B01001H_018EA,B01001H_018MA,B01001H_019MA,B01001H_019EA,B01001H_020MA,B01001H_020EA,B01001H_021MA,B01001H_021EA,B01001H_022EA,B01001H_022MA,B01001H_023EA,B01001H_023MA,B01001H_024MA,B01001H_024EA,B01001H_025MA,B01001H_025EA,B01001H_026EA,B01001H_026MA,B01001H_027MA,B01001H_027EA,B01001H_028EA,B01001H_028MA,B01001H_029MA,B01001H_029EA,B01001H_030MA,B01001H_030EA,B01001H_031MA,B01001H_031EA,state
0400000US01,3206485,934,1568976,1857,87883,1230,93508,4222,101107,4123,63667,1089,44880,1714,101786,1840,93166,1348,92437,1099,209303,1492,240742,1151,211834,510,138502,669,71354,1778,18807,1809,1637509,1919,85485,1418,90278,3496,94801,3643,56310,970,43143,2004,101624,1970,95093,1103,93365,921,206656,1246,244917,822,225494,336,158416,373,99652,2505,42275,2508,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,457264,758,242122,799,14300,401,13592,1347,14208,1265,8943,500,5627,306,17553,298,19292,493,16910,685,32990,824,42078,597,36267,125,13861,355,5308,575,1193,468,215142,623,13091,204,12897,1552,12765,1590,8935,489,4345,634,14377,531,16048,442,15273,549,29605,243,37422,286,30071,197,12373,447,5924,504,2016,468,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703810,1751,1831542,1668,92297,737,93193,4062,100931,3995,61732,923,46104,1806,111077,1798,115819,961,108308,851,230671,970,271643,924,262148,310,194751,452,108812,2610,34056,2561,1872268,1666,87646,688,91900,3386,93102,3433,56965,935,40819,1397,105960,1398,110530,771,103996,814,220117,1092,278679,957,287276,234,211115,343,126711,3403,57452,3384,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176442,1589,1068942,2070,64436,1074,64003,3064,69736,2933,40662,1105,32045,2125,67544,2067,65227,1926,65077,1240,137389,1395,157337,671,141481,28,98397,440,50721,1524,14887,1518,1107500,1850,58539,1005,63042,2880,65018,3021,38879,1292,28473,2295,70608,3647,64487,2595,62172,1096,137422,1550,159230,846,150931,9,108967,1313,67231,2208,32501,2276,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14948814,7382,7442134,4522,328309,1509,344365,8227,377638,8333,251630,1100,183319,2530,484048,2550,496466,1569,454145,1066,977839,1425,1259574,1382,1117183,1054,643908,489,377419,4632,146291,4538,7506680,4343,314325,1337,327462,6867,357096,6775,235493,1133,172692,2621,441476,2585,460348,1637,423921,984,926728,1383,1229510,1104,1142472,1340,708703,751,481244,7018,285210,6876,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3528477,2598,1759403,2282,98466,881,103271,3742,100856,3708,62902,1029,45817,1434,118841,1711,127674,908,120322,677,246149,855,283457,532,244278,345,124041,508,61555,1737,21774,1699,1769074,2115,92773,918,98201,3639,95850,3692,58855,914,42149,1184,109756,1381,120294,1071,114903,477,237682,863,288220,534,251439,287,135553,451,81784,2842,41615,2804,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2540999,4032,1234125,2316,56131,857,67020,3052,80600,2897,50450,287,31043,540,73366,662,66098,577,62216,359,161124,590,218787,377,179575,254,101094,115,62458,2017,24163,2054,1306874,1958,53998,561,66281,2771,73666,2720,47788,322,29505,403,70089,217,64115,561,62506,499,166992,641,226520,531,189106,395,115536,281,82434,2580,58338,2621,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,587891,342,284869,240,14147,265,13975,1578,17262,1580,10553,107,8053,265,18878,265,16983,265,15575,265,35425,76,45953,265,40762,75,27563,265,15274,738,4466,715,303022,216,13489,265,14483,1294,15095,1289,10192,265,8302,265,19083,265,16825,116,15961,265,36475,105,48182,265,44933,265,31338,122,19130,1207,9534,1207,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,210100,447,103915,324,3993,292,2543,398,1528,359,908,292,5470,1371,10998,1341,16837,202,13033,292,16537,113,11685,292,10212,292,6109,65,3026,362,1036,362,106185,262,3712,200,2086,339,1868,339,857,292,5835,1132,15570,1132,19427,292,12879,292,13421,198,9144,292,10299,74,6019,292,3031,527,2037,527,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10884119,9928,5335768,4926,233369,1449,245415,6616,279367,6486,176201,1250,125852,2189,309134,2080,293775,1879,273499,1293,639162,1988,829633,1231,785635,549,619711,1165,385320,4657,139695,4649,5548351,5991,226737,1738,242002,6180,254453,6311,162591,1363,120687,2201,293887,2410,285689,1578,265346,1160,626603,1640,838035,1265,854688,966,683189,933,464004,7321,230440,7325,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5419594,2591,2663985,3032,154254,1798,170462,4764,171749,4595,103315,1940,73994,3272,174281,3664,162085,2499,162818,1659,382139,2030,419144,1082,352282,173,211286,1042,99840,2410,26336,2032,2755609,3092,147931,1799,161274,4735,161849,4633,98919,1853,69886,3819,168999,4306,165143,2154,163217,1550,381434,1863,424404,1271,375081,327,235854,791,138099,3076,63519,3097,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308895,865,167597,1132,6667,701,6045,952,4898,790,3151,562,3773,635,14329,719,14441,339,11845,327,22600,327,26390,143,29434,2,15037,314,6839,662,2148,551,141298,1070,5600,630,4107,875,6543,1022,2459,305,2574,481,9653,818,11275,480,9601,411,17228,101,22715,98,25622,53,13370,294,6680,805,3871,731,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1320295,460,658663,820,46982,467,45211,2590,49683,2591,28451,671,19002,1312,42476,1537,43887,880,42205,711,81131,721,91020,423,83068,159,50979,257,25766,1172,8802,1189,661632,865,44452,458,44544,2258,45076,2261,25744,672,18302,1059,43463,1187,42288,489,41822,419,78663,557,93235,575,84274,125,53035,338,30887,1580,15847,1621,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
