GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001EA,B15002G_001MA,B15002G_002MA,B15002G_002EA,B15002G_003EA,B15002G_003MA,B15002G_004EA,B15002G_004MA,B15002G_005MA,B15002G_005EA,B15002G_006MA,B15002G_006EA,B15002G_007EA,B15002G_007MA,B15002G_008EA,B15002G_008MA,B15002G_009MA,B15002G_009EA,B15002G_010EA,B15002G_010MA,B15002G_011MA,B15002G_011EA,B15002G_012EA,B15002G_012MA,B15002G_013EA,B15002G_013MA,B15002G_014MA,B15002G_014EA,B15002G_015MA,B15002G_015EA,B15002G_016EA,B15002G_016MA,B15002G_017MA,B15002G_017EA,B15002G_018MA,B15002G_018EA,B15002G_019EA,B15002G_019MA,state
0400000US01,25176,2671,13366,2030,508,309,1472,619,2618,751,1533,776,4420,1107,528,253,1349,515,938,491,11810,1701,1280,717,1078,432,1658,498,812,435,2978,824,1027,444,1445,533,1532,663,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19622,2114,9701,1220,139,146,685,358,2741,814,619,366,3103,711,570,355,1459,698,385,276,9921,1484,198,256,1073,495,1498,658,485,325,3232,942,761,407,2171,744,503,348,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,62359,4531,29198,3101,2684,841,3376,1112,3448,847,1530,710,7723,1654,2589,884,5571,1368,2277,861,33161,2760,2338,898,2728,861,5687,1190,1158,542,9509,1571,3828,1085,4802,1096,3111,906,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20123,2197,10606,1672,699,424,1971,846,2628,738,632,354,2411,757,472,356,1188,598,605,389,9517,1463,553,343,1121,454,2235,704,202,181,2264,882,744,439,1798,829,600,295,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,675125,15090,324909,8351,25192,2324,28768,2529,57248,4601,11862,1937,88181,4351,28062,2560,55852,3501,29744,2668,350216,10873,26343,2837,25081,2413,56555,4186,6907,1332,98391,5281,31677,2583,68791,4526,36471,3121,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67902,5274,32802,2965,1695,676,2910,788,5396,1223,1736,697,10322,1548,2956,736,4798,1107,2989,818,35100,3386,1829,770,2641,635,5790,1081,1095,553,10566,1830,4097,1019,6157,1138,2925,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33436,3142,14466,2033,958,466,1265,474,3669,903,505,348,2489,709,610,354,3283,884,1687,769,18970,2174,927,397,1253,650,3182,1028,1391,596,4204,1085,2355,831,3921,991,1737,600,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8689,1662,4008,853,96,169,544,387,911,400,79,76,1103,414,164,162,501,277,610,453,4681,1213,62,64,184,169,751,421,91,109,958,587,743,442,493,358,1399,810,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7539,1411,3644,908,153,143,149,171,312,312,193,254,553,343,0,292,1141,601,1143,484,3895,847,115,134,38,65,484,420,85,102,517,260,87,105,1048,434,1521,563,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,177707,8254,80933,5288,6273,1532,7045,1328,16811,2211,3052,901,19370,2197,8762,1744,13311,1950,6309,1249,96774,5293,7391,1392,9598,1635,18417,2552,4765,1011,22929,2876,10366,1638,15426,2001,7882,1324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,64530,4531,29368,2898,2800,1139,3114,1033,5491,1357,1535,501,6011,1260,1767,759,4869,1138,3781,1234,35162,2761,2586,900,3285,889,5298,1353,868,465,8787,1504,3308,790,7286,1248,3744,958,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,156603,7338,78615,4260,1319,639,4708,1036,28651,3202,3562,944,19984,2322,7442,1326,9287,1249,3662,783,77988,4481,1659,621,4885,1192,24716,2941,3552,1022,20282,2073,6294,1247,11396,1529,5204,1154,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14705,1752,6472,1118,252,201,439,254,1340,575,962,392,1574,584,567,448,776,473,562,337,8233,1389,508,261,829,424,1579,641,776,475,2498,810,1014,565,746,401,283,229,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,89174,6385,44037,4127,2972,683,3871,978,6477,1284,1751,584,11131,1784,3300,947,8897,2017,5638,1124,45137,3667,3260,802,3405,835,5286,1176,1394,486,11751,1650,4095,1036,9875,1792,6071,1214,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40338,3262,20464,2105,1147,517,1207,488,4958,1002,1139,445,6086,1189,1743,574,2326,723,1858,732,19874,2287,1179,481,2329,608,4363,1080,927,485,5413,1270,1386,551,2981,869,1296,602,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,18617,2128,10150,1639,1083,720,1201,497,2251,812,1167,558,2707,913,528,245,679,342,534,300,8467,1277,294,228,1008,520,1568,566,311,209,2044,640,1238,535,1397,740,607,285,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,32336,2851,14899,1761,744,405,2015,667,2817,770,907,410,3819,1011,1053,535,2713,737,831,434,17437,2068,742,420,1309,550,3325,1021,1249,529,6327,1007,1360,536,2001,558,1124,468,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,23849,2772,11804,1844,857,410,2083,817,1695,586,854,438,2382,786,711,348,2012,963,1210,599,12045,1570,1239,552,1428,709,1692,756,735,394,3628,922,1337,545,1739,675,247,214,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,28190,2776,14308,2180,984,468,2426,918,2680,813,823,371,3089,866,718,390,2573,857,1015,493,13882,1554,939,423,1640,708,2891,788,708,378,3089,806,961,374,2341,661,1313,596,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
