GEO_ID,C12002A_001E,C12002A_001M,C12002A_002E,C12002A_002M,C12002A_003E,C12002A_003M,C12002A_004E,C12002A_004M,C12002A_005E,C12002A_005M,C12002A_006E,C12002A_006M,NAME,C12002A_001MA,C12002A_001EA,C12002A_002MA,C12002A_002EA,C12002A_003EA,C12002A_003MA,C12002A_004MA,C12002A_004EA,C12002A_005EA,C12002A_005MA,C12002A_006EA,C12002A_006MA,state
0400000US01,2734000,5075,626197,10796,1510134,18594,53065,4677,202981,6084,341623,11443,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,393492,2173,103812,5012,219108,6609,6713,1420,13686,1668,50173,4603,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4102203,17001,1178588,16049,2098939,24388,68641,4629,239423,7101,516612,12921,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1866120,4966,416533,9230,1027504,14234,38993,3546,142020,4399,241070,8836,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18925089,52125,6292566,43035,9114272,45267,406851,11247,1074350,14595,2037050,22182,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3417339,10880,992523,14152,1803678,19279,52214,4470,159261,5547,409663,11074,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2327802,8229,680559,10769,1201916,15257,27310,2709,155952,4131,262065,8694,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,533844,3163,153202,5137,271601,8778,8414,1584,38799,2584,61828,5020,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,220654,2972,127499,4355,72053,3930,3245,1247,4531,911,13326,1515,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12188950,23622,3202702,25894,6109738,37547,267405,10075,946664,11844,1662441,24810,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4775816,11871,1198320,14946,2669848,22231,81744,5382,284323,7379,541581,11814,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,295603,3146,84643,3703,149366,5795,4680,1339,14721,1868,42193,3627,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1127353,3951,275373,6789,643365,10858,15910,2046,58171,3082,134534,6420,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7629778,18559,2273997,19086,3977097,27287,100494,6511,501712,7925,776478,13374,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4466456,5995,1203916,12576,2378132,20358,55849,4009,273344,6312,555215,12027,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2274230,4389,601657,8353,1249141,14496,26914,2616,155521,4334,240997,7804,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1954901,4912,513627,9669,1066088,13760,25484,2976,121571,4070,228131,7243,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3125360,5073,790473,12911,1635971,17909,66915,4324,218479,5749,413522,11216,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2344277,4541,611262,10373,1238527,15563,45957,3640,159591,5547,288940,10148,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1062869,1105,287357,6062,544174,8777,14443,2328,70312,2956,146583,5314,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2829514,8548,796660,12979,1531474,19303,52369,3205,185211,5143,263800,9345,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4451238,9376,1496207,15675,2142980,22355,73167,5397,296024,7176,442860,11405,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6448628,6862,1807016,14788,3412673,23934,65242,3455,413781,7807,749916,13864,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3746346,4216,1092014,11559,2044953,17138,34433,3023,210871,4288,364075,8798,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1445017,3947,326971,8498,802327,13537,28890,2854,107602,4195,179227,8207,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4068949,4522,1061818,10640,2181773,19989,65858,4313,274489,6666,485011,11391,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,737918,1457,188455,5222,403204,8220,10098,1639,44360,1997,91801,4678,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1305857,3711,351517,7766,718903,9506,17052,2225,81146,2872,137239,5823,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1599261,9580,459385,10622,785577,14341,34454,3458,93576,4394,226269,8506,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1029526,2399,283775,6410,544737,10340,12849,1796,60334,3367,127831,5420,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
