GEO_ID,B25093_001E,B25093_001M,B25093_002E,B25093_002M,B25093_003E,B25093_003M,B25093_004E,B25093_004M,B25093_005E,B25093_005M,B25093_006E,B25093_006M,B25093_007E,B25093_007M,B25093_008E,B25093_008M,B25093_009E,B25093_009M,B25093_010E,B25093_010M,B25093_011E,B25093_011M,B25093_012E,B25093_012M,B25093_013E,B25093_013M,B25093_014E,B25093_014M,B25093_015E,B25093_015M,B25093_016E,B25093_016M,B25093_017E,B25093_017M,B25093_018E,B25093_018M,B25093_019E,B25093_019M,B25093_020E,B25093_020M,B25093_021E,B25093_021M,B25093_022E,B25093_022M,B25093_023E,B25093_023M,B25093_024E,B25093_024M,B25093_025E,B25093_025M,B25093_026E,B25093_026M,B25093_027E,B25093_027M,B25093_028E,B25093_028M,B25093_029E,B25093_029M,NAME,B25093_001EA,B25093_001MA,B25093_002MA,B25093_002EA,B25093_003MA,B25093_003EA,B25093_004MA,B25093_004EA,B25093_005MA,B25093_005EA,B25093_006EA,B25093_006MA,B25093_007EA,B25093_007MA,B25093_008EA,B25093_008MA,B25093_009MA,B25093_009EA,B25093_010MA,B25093_010EA,B25093_011EA,B25093_011MA,B25093_012EA,B25093_012MA,B25093_013MA,B25093_013EA,B25093_014MA,B25093_014EA,B25093_015MA,B25093_015EA,B25093_016EA,B25093_016MA,B25093_017EA,B25093_017MA,B25093_018EA,B25093_018MA,B25093_019MA,B25093_019EA,B25093_020MA,B25093_020EA,B25093_021EA,B25093_021MA,B25093_022EA,B25093_022MA,B25093_023MA,B25093_023EA,B25093_024EA,B25093_024MA,B25093_025MA,B25093_025EA,B25093_026EA,B25093_026MA,B25093_027EA,B25093_027MA,B25093_028EA,B25093_028MA,B25093_029MA,B25093_029EA,state
0400000US01,1272846,12811,16743,2225,4990,1145,2938,1106,1710,616,555,326,5900,1227,650,383,129041,5078,55027,3690,21606,2603,15432,2124,8996,1704,26334,2402,1646,795,772708,9750,408699,8043,93316,4567,68776,4362,47438,3361,146067,5019,8412,1419,354354,5986,201141,5036,35569,2734,24537,2222,20726,1961,69315,3813,3066,754,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,2019,726,145,138,307,257,364,335,245,339,958,484,0,246,18266,1871,6802,1342,3246,1026,2761,798,1866,695,3591,873,0,246,116604,2854,59363,2581,17450,1831,10702,1568,8178,1498,20571,1962,340,238,25896,1328,14409,1364,2418,661,1619,524,2085,673,5365,1060,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,17577,2218,4785,1305,1036,442,2102,632,2040,792,6949,1583,665,300,158032,5292,43797,3266,30216,3040,22479,2725,16642,2321,43276,3041,1622,695,903485,12376,371533,8915,123400,5483,96546,5398,68838,4162,230661,7394,12507,2063,443844,5979,245261,5989,42264,2773,31147,2432,23409,2371,99142,4188,2621,622,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,9932,1706,4215,1044,1012,453,949,496,414,314,2997,1066,345,286,79827,3754,38417,3154,14250,2141,9861,1639,5002,1212,11472,1594,825,466,445017,6568,261737,6534,53130,3427,37740,2621,21759,2292,67561,4136,3090,843,216792,4334,135943,4021,20142,2075,14818,1407,11499,1519,32420,2577,1970,641,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,46455,3216,9546,1803,6549,1338,4206,925,4028,932,20509,2247,1617,622,553120,10756,113386,5472,74054,3964,77459,4013,71355,3898,212811,7738,4055,966,4491298,24068,1406874,16686,557372,10377,506349,11098,410320,9975,1573532,19963,36851,3113,1812302,15011,905239,11524,164163,5542,124649,4509,108098,4557,499039,9882,11114,1268,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,15757,2375,4015,1207,1702,667,2089,817,2197,1176,5441,1473,313,266,150446,5443,47031,3405,29148,2450,24147,2348,13922,1822,35565,3486,633,464,849414,9444,358422,7983,122279,4535,93497,4542,66546,3952,202279,6204,6391,1186,277175,4290,153447,4454,26193,2092,19511,1997,14983,1738,61050,2969,1991,650,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,3964,945,625,416,1009,471,717,441,335,261,1278,440,0,281,73409,3576,16243,1794,13572,1787,12833,1860,8944,1476,21817,2345,0,281,609630,6559,229668,5575,93522,3962,72049,3045,54149,3240,156674,4581,3568,964,236614,4079,89228,2837,27116,1935,22932,2034,17238,1615,78504,4234,1596,631,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,1690,741,657,475,281,300,0,265,175,195,531,347,46,83,21872,1894,6926,1193,4203,849,2694,772,2040,723,5999,1315,10,17,150727,3746,63904,3447,24071,2189,15483,1749,12372,1579,34295,3045,602,318,65595,2259,36014,2118,5987,1068,4673,918,3901,770,14571,1642,449,247,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,138,145,0,292,0,292,0,292,0,292,138,145,0,292,13775,1811,4759,927,2018,672,2098,738,1414,619,3486,970,0,292,64436,3332,27816,2386,8476,1356,7783,1381,3476,847,16018,1907,867,463,28844,1684,15174,1451,3042,660,1963,597,1205,418,7304,1280,156,152,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,37273,3832,9853,1939,5028,1310,3698,1158,2705,863,15133,1905,856,438,336695,10101,89511,5331,53789,3586,44749,3969,32893,2936,112025,6059,3728,1219,2790937,22019,1013948,17120,340900,10576,285247,8646,218633,7087,891738,15729,40471,3569,1629225,14245,779345,11524,162043,5919,129338,5447,100785,4872,440902,10056,16812,1886,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
