GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001EA,B05004_001MA,B05004_002EA,B05004_002MA,B05004_003EA,B05004_003MA,B05004_004MA,B05004_004EA,B05004_005MA,B05004_005EA,B05004_006EA,B05004_006MA,B05004_007EA,B05004_007MA,B05004_008EA,B05004_008MA,B05004_009EA,B05004_009MA,B05004_010EA,B05004_010MA,B05004_011MA,B05004_011EA,B05004_012MA,B05004_012EA,B05004_013MA,B05004_013EA,B05004_014EA,B05004_014MA,B05004_015MA,B05004_015EA,state
0400000US01,37.8,0.2,36.4,0.2,39.1,0.2,38.1,0.1,36.7,0.2,39.4,0.2,33.6,1.0,32.2,0.9,35.3,0.9,45.4,2.0,43.3,3.3,47.3,3.8,30.6,0.6,30.3,0.8,30.9,1.8,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33.8,0.3,33.5,0.4,34.2,0.5,32.7,0.3,32.6,0.4,32.8,0.4,43.7,1.7,41.9,1.7,47.1,1.5,50.2,2.1,46.4,3.4,53.0,1.8,37.7,2.4,37.1,3.8,38.6,3.5,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35.9,0.1,34.8,0.1,37.1,0.2,34.4,0.3,33.1,0.2,35.7,0.2,40.7,0.5,40.2,0.5,41.3,0.7,49.5,0.6,49.3,0.9,49.8,0.8,36.1,0.5,35.6,0.6,36.6,0.6,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37.3,0.2,36.1,0.2,38.5,0.3,37.5,0.2,36.4,0.2,38.6,0.3,35.0,1.2,33.5,1.9,36.8,1.7,46.6,1.5,44.6,2.3,48.7,3.1,31.1,1.1,29.9,1.3,32.4,1.6,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35.2,0.1,34.0,0.1,36.3,0.1,29.4,0.1,28.5,0.2,30.3,0.2,43.0,0.1,42.1,0.2,44.0,0.2,50.2,0.2,49.7,0.2,50.7,0.2,37.3,0.2,36.6,0.2,38.1,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36.0,0.2,35.1,0.1,37.1,0.2,35.6,0.1,34.6,0.2,36.6,0.2,37.8,0.5,36.9,0.7,38.7,0.6,46.2,1.0,45.2,1.1,47.2,1.0,34.4,0.5,34.0,0.5,34.9,0.7,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40.0,0.1,38.9,0.3,41.1,0.2,39.5,0.2,38.0,0.3,40.7,0.3,42.4,0.5,41.4,1.0,42.9,0.7,49.9,0.9,49.7,1.3,50.1,0.8,36.4,0.7,35.5,0.6,37.4,0.7,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38.8,0.3,37.3,0.3,40.2,0.4,38.9,0.4,37.4,0.5,40.2,0.4,38.5,1.1,37.1,1.2,39.8,1.2,47.5,2.5,47.3,5.2,47.7,3.2,31.6,0.6,31.3,0.8,32.1,1.7,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33.9,0.2,33.6,0.3,34.2,0.2,32.6,0.4,32.1,0.5,33.2,0.4,38.3,1.4,37.8,2.0,38.7,1.3,47.1,2.1,47.0,1.7,48.2,8.8,35.0,1.2,34.6,1.0,36.1,2.2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40.7,0.1,39.4,0.2,42.1,0.2,38.9,0.2,37.5,0.2,40.1,0.1,45.5,0.2,44.2,0.3,46.7,0.3,52.7,0.3,51.9,0.4,53.5,0.3,38.7,0.4,37.4,0.5,40.0,0.4,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
