B08126_092M,B08126_093E,B08126_093M,B08126_094E,B08126_094M,B08126_095E,B08126_095M,B08126_096E,B08126_096M,B08126_097E,B08126_097M,B08126_098E,B08126_098M,B08126_099E,B08126_099M,B08126_100E,B08126_100M,B08126_101E,B08126_101M,B08126_102E,B08126_102M,B08126_103E,B08126_103M,B08126_104E,B08126_104M,B08126_105E,B08126_105M,GEO_ID,B08126_001E,B08126_001M,B08126_002E,B08126_002M,B08126_003E,B08126_003M,B08126_004E,B08126_004M,B08126_005E,B08126_005M,B08126_006E,B08126_006M,B08126_007E,B08126_007M,B08126_008E,B08126_008M,B08126_009E,B08126_009M,B08126_010E,B08126_010M,B08126_011E,B08126_011M,B08126_012E,B08126_012M,B08126_013E,B08126_013M,B08126_014E,B08126_014M,B08126_015E,B08126_015M,B08126_016E,B08126_016M,B08126_017E,B08126_017M,B08126_018E,B08126_018M,B08126_019E,B08126_019M,B08126_020E,B08126_020M,B08126_021E,B08126_021M,B08126_022E,B08126_022M,B08126_023E,B08126_023M,B08126_024E,B08126_024M,B08126_025E,B08126_025M,B08126_026E,B08126_026M,B08126_027E,B08126_027M,B08126_028E,B08126_028M,B08126_029E,B08126_029M,B08126_030E,B08126_030M,B08126_031E,B08126_031M,B08126_032E,B08126_032M,B08126_033E,B08126_033M,B08126_034E,B08126_034M,B08126_035E,B08126_035M,B08126_036E,B08126_036M,B08126_037E,B08126_037M,B08126_038E,B08126_038M,B08126_039E,B08126_039M,B08126_040E,B08126_040M,B08126_041E,B08126_041M,B08126_042E,B08126_042M,B08126_043E,B08126_043M,B08126_044E,B08126_044M,B08126_045E,B08126_045M,B08126_046E,B08126_046M,B08126_047E,B08126_047M,B08126_048E,B08126_048M,B08126_049E,B08126_049M,B08126_050E,B08126_050M,B08126_051E,B08126_051M,B08126_052E,B08126_052M,B08126_053E,B08126_053M,B08126_054E,B08126_054M,B08126_055E,B08126_055M,B08126_056E,B08126_056M,B08126_057E,B08126_057M,B08126_058E,B08126_058M,B08126_059E,B08126_059M,B08126_060E,B08126_060M,B08126_061E,B08126_061M,B08126_062E,B08126_062M,B08126_063E,B08126_063M,B08126_064E,B08126_064M,B08126_065E,B08126_065M,B08126_066E,B08126_066M,B08126_067E,B08126_067M,B08126_068E,B08126_068M,B08126_069E,B08126_069M,B08126_070E,B08126_070M,B08126_071E,B08126_071M,B08126_072E,B08126_072M,B08126_073E,B08126_073M,B08126_074E,B08126_074M,B08126_075E,B08126_075M,B08126_076E,B08126_076M,B08126_077E,B08126_077M,B08126_078E,B08126_078M,B08126_079E,B08126_079M,B08126_080E,B08126_080M,B08126_081E,B08126_081M,B08126_082E,B08126_082M,B08126_083E,B08126_083M,B08126_084E,B08126_084M,B08126_085E,B08126_085M,B08126_086E,B08126_086M,B08126_087E,B08126_087M,B08126_088E,B08126_088M,B08126_089E,B08126_089M,B08126_090E,B08126_090M,B08126_091E,B08126_091M,B08126_092E,B08126_092MA,B08126_093EA,B08126_093MA,B08126_094EA,B08126_094MA,B08126_095EA,B08126_095MA,B08126_096MA,B08126_096EA,B08126_097MA,B08126_097EA,B08126_098EA,B08126_098MA,B08126_099EA,B08126_099MA,B08126_100EA,B08126_100MA,B08126_101MA,B08126_101EA,B08126_102EA,B08126_102MA,B08126_103EA,B08126_103MA,B08126_104MA,B08126_104EA,B08126_105EA,B08126_105MA,NAME,B08126_001MA,B08126_001EA,B08126_002EA,B08126_002MA,B08126_003MA,B08126_003EA,B08126_004MA,B08126_004EA,B08126_005EA,B08126_005MA,B08126_006EA,B08126_006MA,B08126_007MA,B08126_007EA,B08126_008EA,B08126_008MA,B08126_009MA,B08126_009EA,B08126_010MA,B08126_010EA,B08126_011EA,B08126_011MA,B08126_012EA,B08126_012MA,B08126_013MA,B08126_013EA,B08126_014MA,B08126_014EA,B08126_015EA,B08126_015MA,B08126_016MA,B08126_016EA,B08126_017EA,B08126_017MA,B08126_018EA,B08126_018MA,B08126_019MA,B08126_019EA,B08126_020MA,B08126_020EA,B08126_021MA,B08126_021EA,B08126_022EA,B08126_022MA,B08126_023EA,B08126_023MA,B08126_024MA,B08126_024EA,B08126_025EA,B08126_025MA,B08126_026EA,B08126_026MA,B08126_027EA,B08126_027MA,B08126_028EA,B08126_028MA,B08126_029EA,B08126_029MA,B08126_030MA,B08126_030EA,B08126_031EA,B08126_031MA,B08126_032EA,B08126_032MA,B08126_033EA,B08126_033MA,B08126_034EA,B08126_034MA,B08126_035MA,B08126_035EA,B08126_036MA,B08126_036EA,B08126_037EA,B08126_037MA,B08126_038EA,B08126_038MA,B08126_039EA,B08126_039MA,B08126_040EA,B08126_040MA,B08126_041MA,B08126_041EA,B08126_042MA,B08126_042EA,B08126_043EA,B08126_043MA,B08126_044EA,B08126_044MA,B08126_045EA,B08126_045MA,B08126_046MA,B08126_046EA,B08126_047MA,B08126_047EA,B08126_048EA,B08126_048MA,B08126_049MA,B08126_049EA,B08126_050MA,B08126_050EA,B08126_051EA,B08126_051MA,B08126_052MA,B08126_052EA,B08126_053MA,B08126_053EA,B08126_054EA,B08126_054MA,B08126_055EA,B08126_055MA,B08126_056EA,B08126_056MA,B08126_057EA,B08126_057MA,B08126_058MA,B08126_058EA,B08126_059MA,B08126_059EA,B08126_060EA,B08126_060MA,B08126_061EA,B08126_061MA,B08126_062EA,B08126_062MA,B08126_063EA,B08126_063MA,B08126_064MA,B08126_064EA,B08126_065MA,B08126_065EA,B08126_066EA,B08126_066MA,B08126_067EA,B08126_067MA,B08126_068MA,B08126_068EA,B08126_069MA,B08126_069EA,B08126_070EA,B08126_070MA,B08126_071MA,B08126_071EA,B08126_072EA,B08126_072MA,B08126_073EA,B08126_073MA,B08126_074MA,B08126_074EA,B08126_075MA,B08126_075EA,B08126_076EA,B08126_076MA,B08126_077EA,B08126_077MA,B08126_078EA,B08126_078MA,B08126_079MA,B08126_079EA,B08126_080MA,B08126_080EA,B08126_081EA,B08126_081MA,B08126_082EA,B08126_082MA,B08126_083EA,B08126_083MA,B08126_084EA,B08126_084MA,B08126_085MA,B08126_085EA,B08126_086EA,B08126_086MA,B08126_087EA,B08126_087MA,B08126_088EA,B08126_088MA,B08126_089EA,B08126_089MA,B08126_090MA,B08126_090EA,B08126_091MA,B08126_091EA,B08126_092EA,state
804,4824,1211,5954,1181,2286,734,3659,887,1902,763,1763,739,4662,892,11311,1977,8022,1605,3299,884,3648,1015,1068,601,677,555,0400000US01,1951769,16535,37170,4030,134749,6685,265638,8598,54193,4006,237994,8404,95104,5522,33353,2841,111932,5638,177618,8190,412852,10381,162445,7452,99157,5114,114521,5310,15043,1783,1648706,17854,27729,3187,98824,5164,224260,7639,46429,3713,213040,7692,83685,5288,28855,2600,99457,5409,145196,7037,354093,9253,127795,6157,81633,4696,106225,5522,11485,1670,195292,9369,4853,1369,27566,3605,32400,3560,4314,1286,15692,2282,5912,1187,2167,774,6498,1610,16743,2264,39479,3617,22853,3337,9487,1913,6466,1306,862,427,7964,2010,114,150,139,182,511,309,0,273,888,538,303,296,223,298,62,107,728,480,2409,915,1899,896,574,429,114,179,0,273,25853,3049,326,222,2349,967,921,490,62,103,3110,1095,796,449,169,162,886,576,1977,736,5960,1486,3836,1362,3390,1234,360,242,1711,891,18172,2027,1441,736,1047,623,1592,669,1102,853,1605,570,2506,710,176,157,367,260,1663,652,2889,894,2763,897,425,378,288,240,308,229,55782,4508,2707,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
953,1559,689,1985,1165,148,128,963,509,599,304,35,62,1467,942,2675,1107,2784,715,1806,783,1392,564,919,441,841,1633,0400000US02,343424,5810,16024,2155,22887,3011,14755,2326,6954,2350,35739,3179,24330,2703,6404,1393,12672,2264,23686,2442,75381,4083,29806,2901,12765,2050,43860,3541,18161,1899,230116,5965,6966,1418,16301,2525,5636,1269,4861,1105,25307,2659,17820,2339,4695,1195,9549,1792,15438,2170,52633,3877,16818,2159,8267,1638,32650,3038,13175,1992,45376,4438,2452,1093,3021,1216,751,337,419,293,5333,1502,2508,933,935,631,1089,665,2394,778,10256,1728,5730,1531,1793,755,5517,1340,3178,1281,4034,1011,271,239,329,322,135,192,90,93,401,368,55,98,0,246,7,16,279,329,1198,514,787,481,144,117,338,226,0,246,27069,2322,1528,550,905,452,5782,1716,1297,1703,2605,629,1262,421,251,198,314,185,1382,719,5109,846,2797,849,909,349,2384,569,544,649,18024,1897,3175,810,772,342,466,405,139,130,1130,461,2086,696,488,334,246,254,1518,610,3401,924,1868,542,260,226,2052,675,423,342,18805,3141,1632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
549,9413,1858,11481,1890,7601,1540,11327,2130,5073,1499,3499,1068,19955,2548,34947,3461,24658,2918,8598,1840,8759,3202,3598,1081,336,305,0400000US04,2621839,20723,33127,3712,171603,7792,190472,8633,64407,4040,330281,10597,127990,7036,50081,3951,195499,8454,298349,10166,582234,11845,281003,11885,123582,6288,154691,6815,18520,1971,2005289,19912,21774,2716,130883,6772,150048,8095,47568,3259,264597,10307,101154,5616,38566,3564,148468,7556,212377,8472,456689,11074,199934,9831,93414,4994,125985,5774,13832,2425,305162,11371,6046,1496,23661,3609,22053,3172,7740,2370,32017,3652,13772,2465,5010,1391,20176,3000,33264,3488,68180,5223,40669,4160,13508,2004,16855,2442,2211,1110,46829,4262,918,468,2317,959,1483,649,337,293,7257,1797,1889,692,755,466,2484,1066,4957,1396,8242,1769,10027,1831,2163,864,4000,896,0,305,52391,4528,1734,893,1403,614,1760,960,246,246,7337,1892,1141,544,811,534,2625,839,5341,1487,12209,1426,11760,2178,2702,813,1356,531,1966,1620,61279,5212,1011,954,3926,1277,3647,1113,915,512,7746,1738,4961,1423,1440,644,1791,680,7463,1473,12256,1821,10015,1659,3036,1453,2897,1011,175,206,150889,6705,1644,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1525,2466,841,1868,570,950,448,1860,661,1209,590,400,281,3056,986,4637,1012,7147,1857,3341,1641,3438,841,759,370,152,255,0400000US05,1225968,11423,45004,4035,78806,5367,169836,6814,30410,3045,161618,7144,67652,4129,20171,2278,53425,3514,82580,5429,287611,7607,99513,5941,59586,3900,63046,3700,6710,1672,1005284,11655,30575,3480,57133,4256,141575,6339,25752,2771,138901,6220,57983,4058,18011,2126,45717,3141,66830,5197,240027,7581,74800,5408,47525,3673,54948,3353,5507,1238,138346,6434,5505,1301,16095,2521,21759,2711,3242,1043,14973,2304,5720,1230,1353,680,3355,1326,8447,1603,30533,2822,15293,2399,5737,1094,5702,1650,632,467,6058,1619,140,233,177,179,1063,546,102,190,832,530,294,316,0,273,16,27,190,169,1880,845,980,568,0,273,384,344,0,273,22201,2959,1527,670,745,478,2081,656,282,268,3671,1865,316,217,207,198,1010,581,1468,595,4903,1051,3034,925,2055,728,707,439,195,264,17820,2511,2281,938,2190,744,1490,573,82,100,1381,546,2130,685,200,252,271,313,1008,542,3121,951,2065,978,831,509,546,353,224,230,36259,3465,4976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2404,38139,3994,48831,3427,31934,3378,54374,4378,20928,3182,31362,3067,87216,4877,199127,9171,156294,8785,48125,4253,48009,4067,29904,4863,13940,3859,0400000US06,15921475,45956,362049,14498,931876,19289,1591411,22892,519401,14919,1770314,22708,729112,14385,443509,12067,1019115,17858,1977584,25798,3280084,31650,1520806,26226,849771,18567,793632,16967,132811,4506,11650145,48881,209060,8202,673971,13840,1217882,19919,397133,11961,1337074,20903,586714,13807,334339,10599,758054,16229,1329529,21122,2488910,27888,1034484,21221,597573,13470,612040,13303,73382,4417,1831538,25012,94310,9181,160726,8794,201637,10310,61880,5134,186584,8147,70725,4880,36014,3953,82070,4598,226806,8676,327880,8829,177504,8913,102446,6213,84019,6381,18937,3375,820349,17602,7035,1693,28352,3092,68127,3973,15694,2194,95862,5874,25495,2649,22427,2643,52351,4310,131274,6839,135876,6387,132798,7300,58850,4448,43733,3620,2475,1196,429786,13246,11609,2190,13251,2514,21484,2736,6057,1537,55880,3692,7749,2063,7963,1463,28299,2786,42781,3441,101301,5308,76063,5119,26051,2937,10896,1870,20402,3150,365352,10897,23913,3990,17437,2474,33450,2634,6703,1505,40540,3535,17501,1875,11404,2086,11125,1891,48067,4080,69823,4554,51832,4567,16842,2370,13040,1746,3675,935,824305,17515,16122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1276,8511,1687,12259,1617,5454,1330,9863,1417,4118,1685,6785,1587,17472,2225,42676,3378,22172,2487,8770,1509,8726,1379,1780,600,402,308,0400000US08,2428102,16248,53156,4364,180603,8164,178744,7302,63724,4088,274180,9994,107067,5928,72335,4304,172165,6484,314823,7459,484670,11795,255790,9688,118927,5890,122234,6137,29684,2406,1832425,17344,34077,3110,131878,7287,138326,6226,49062,3458,216297,7871,85037,4908,56126,3852,130686,5823,218421,6809,384291,10370,178973,7972,91605,4980,99172,5627,18474,2140,243835,10203,7725,1604,33548,3729,19354,2762,6004,1554,27104,2936,10610,2078,3935,979,10652,1859,27464,3075,44307,3404,27905,3372,11447,1565,11598,1768,2182,1158,71917,4654,1548,648,2317,896,2769,851,1222,501,7038,1556,2146,710,2270,703,6451,1480,11453,2218,8857,1505,17446,2803,2440,834,5707,1031,253,212,72320,5488,2670,1237,2317,851,2389,896,807,469,8958,1727,1178,496,1665,713,5144,1258,5197,1437,14600,2262,15624,3193,2482,763,1228,555,8061,1785,52473,3985,992,770,2032,780,3647,958,1175,522,4920,1086,3978,1087,1554,723,1760,689,9612,1781,10443,1766,7072,1498,2227,868,2749,862,312,233,155132,7501,6144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
440,3449,943,4067,780,2626,770,3399,671,1160,542,2748,716,8894,1375,19303,2206,11772,1873,3902,1222,3700,1027,630,345,705,600,0400000US09,1707618,10144,7033,1417,91112,6230,186204,6634,42854,3301,183104,7517,63543,3810,42259,3389,155010,5656,190700,7141,443014,9885,147793,8775,79830,5057,67388,4312,7774,1012,1360587,13792,4270,1283,69357,4218,157472,6621,35801,3166,146022,6856,54224,3367,33719,3305,120553,4992,134435,5544,372281,9053,104979,7146,62221,4526,61166,4084,4087,1048,135921,6670,1035,469,14367,2929,16440,2514,2630,791,15101,2195,5239,1408,1596,698,9611,1782,16547,2607,27504,2608,15046,2390,7338,1542,2973,1015,494,392,76791,5513,112,139,1521,723,4742,1006,684,353,10950,1912,1890,907,2778,723,12714,1846,12653,2000,11106,1709,12637,2684,3261,950,1743,641,0,281,48348,3538,546,357,1147,767,1302,486,982,510,5240,1206,599,515,894,481,2685,937,5510,1314,16639,2145,6958,1608,2990,869,519,330,2337,848,18756,2832,210,148,1271,760,2181,830,131,106,2392,818,431,234,524,326,553,354,2252,775,3712,1201,4271,1908,320,306,357,261,151,158,67215,4129,860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
458,984,409,1300,543,117,126,1339,662,715,534,531,419,1643,587,3327,780,2507,751,614,509,711,290,238,202,0,265,0400000US10,404044,6800,4334,1007,27618,2751,36546,3519,8822,1470,48312,3259,17443,2526,6262,1202,45618,3361,35361,2519,94503,5236,35064,3066,17175,2218,24122,2494,2864,820,324776,7163,2780,816,21902,2687,30221,3206,7178,1244,39412,2883,13858,2267,4495,1083,36856,3312,26721,2248,78241,5071,26325,2670,13724,1902,20511,2317,2552,776,38268,3154,504,356,3448,990,3714,1059,966,559,3938,965,1401,669,533,347,3879,981,2696,915,8177,1263,5130,1336,1349,482,2221,747,312,292,12113,1864,0,265,523,428,698,476,346,455,1980,1134,766,527,386,276,2243,821,1566,611,1537,598,1181,534,86,102,801,474,0,265,9044,1863,53,89,97,113,270,186,34,60,1130,614,89,124,191,191,847,529,646,439,3249,1142,1185,620,951,571,302,333,0,265,5081,1137,261,249,664,393,343,205,181,300,513,431,614,469,126,206,150,146,405,287,792,471,629,485,354,468,49,74,0,265,14762,1986,736,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
292,165,274,108,127,114,137,609,418,543,525,694,451,1361,508,5167,1122,1679,510,1026,547,1807,701,658,550,939,695,0400000US11,296717,5055,104,118,8670,1528,3113,854,2643,993,15776,2488,10973,1831,11532,1866,15600,1975,65870,3501,54247,3245,25739,2983,26694,2609,53527,4015,2229,822,103239,4438,104,118,4003,1040,1882,707,1750,681,5140,1465,5666,1320,4149,1149,5419,1239,20271,2267,24986,2082,5206,1261,7524,1208,16210,2429,929,371,17630,2165,0,292,1205,778,231,271,0,292,783,600,373,303,547,340,1122,642,3981,1033,3429,937,1621,767,1507,605,2758,704,73,92,113648,5057,0,292,2717,850,601,466,779,582,7393,1554,2941,924,4583,1113,5138,1383,24724,2794,15863,1945,12517,2244,10978,1642,25197,2579,217,175,34895,3374,0,292,495,430,68,120,0,292,1363,744,804,594,1043,453,1902,678,8552,1458,5919,1463,4002,1043,3685,1036,6991,1705,71,119,12435,2408,0,292,85,137,223,217,0,292,488,440,646,379,516,297,658,439,3175,1232,2371,742,1367,646,1193,602,1713,570,0,292,14870,2071,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1948,26815,3389,20607,2637,16499,2345,30555,3182,12346,2495,12850,1904,41207,3876,91694,5482,45188,3948,18637,2738,24256,3492,3888,1142,12047,2543,0400000US12,7865975,28271,95851,9114,511236,14095,430068,12589,230600,9479,1058719,20007,399826,11876,157586,7157,600168,13232,945890,17556,1656034,21006,904318,18830,429938,13146,391222,11700,54519,4436,6286833,33757,50228,5078,377229,11467,354172,10983,183228,8219,877504,18304,332242,10662,127466,6989,495454,12800,710404,14625,1382707,18752,685697,15781,330208,11884,346943,11363,33351,3903,757260,18804,17892,3327,81523,7960,39317,4461,22553,3247,92233,6025,31789,3504,10974,1541,36760,3565,93255,6753,158094,7088,100398,6855,41295,4268,27638,2831,3539,1092,161012,10861,13276,6916,8531,2323,4413,1278,1676,719,21668,2774,3960,1138,1581,777,6839,1538,14527,2226,27187,3174,35741,4637,16127,3073,4680,1111,806,835,130004,9757,2407,1199,4824,1425,3053,897,3538,1527,18498,2910,2026,830,2205,704,12417,2402,14863,2767,20899,3329,30338,5108,8929,1561,2772,981,3235,1404,168035,9305,5806,1689,12314,2701,8506,1453,3106,1132,18261,2587,17463,2354,2510,891,7491,1747,21147,3232,21959,2626,33507,4102,9123,1958,5301,1485,1541,719,362831,11267,6242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
