GEO_ID,B08505G_001E,B08505G_001M,B08505G_002E,B08505G_002M,B08505G_003E,B08505G_003M,B08505G_004E,B08505G_004M,B08505G_005E,B08505G_005M,B08505G_006E,B08505G_006M,B08505G_007E,B08505G_007M,NAME,B08505G_001MA,B08505G_001EA,B08505G_002EA,B08505G_002MA,B08505G_003EA,B08505G_003MA,B08505G_004MA,B08505G_004EA,B08505G_005MA,B08505G_005EA,B08505G_006EA,B08505G_006MA,B08505G_007MA,B08505G_007EA,state
0400000US01,17950,2370,13656,1786,3101,1075,0,273,560,344,202,241,431,321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16466,2271,10342,1735,3276,987,245,187,1199,509,829,390,575,302,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,47675,3914,36032,3340,6107,1461,1445,748,1419,773,1100,552,1572,648,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16068,2121,13139,1756,1913,1075,150,291,205,166,276,297,385,288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,501406,13032,360954,10730,62940,5121,26240,3134,14293,2082,10638,1800,26341,2785,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,56127,3921,42390,3620,5129,1329,2912,930,1720,594,1128,522,2848,1001,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28370,2987,20980,2650,2764,954,1080,509,1774,698,941,700,831,432,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17365,2151,8704,1605,1894,549,5287,1120,692,569,705,482,83,135,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,131241,7789,99665,7135,16491,2966,2143,858,4037,1197,4000,1372,4905,1285,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46444,4058,35685,3485,5052,1314,980,581,1899,984,622,389,2206,778,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125770,6094,87232,5016,19116,2659,6514,1287,3869,1072,3639,1286,5400,1549,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9884,1638,8280,1547,716,413,59,101,179,184,274,224,376,267,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,71263,5632,47068,4170,7834,1790,7851,1470,3605,963,1291,543,3614,956,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,32168,3646,24146,3188,5063,1368,543,290,1212,490,739,409,465,279,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,14811,1987,9050,1486,2891,958,657,512,688,332,1002,850,523,355,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25428,2693,18143,2459,4834,1385,400,333,1127,509,406,337,518,261,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17243,2375,12888,1958,2614,894,279,240,446,261,0,273,1016,678,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22862,2456,16524,2023,3282,1107,641,500,1397,1001,764,488,254,224,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6378,1188,5384,1140,676,366,58,78,140,126,14,29,106,115,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,46293,4223,33038,3764,5845,1338,3486,1036,1595,732,552,425,1777,732,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,69500,6507,36437,3570,9115,2467,13840,3098,6795,2225,1060,474,2253,882,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,59883,3650,44447,3270,6830,1252,1923,637,3255,870,1419,789,2009,662,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35473,2981,24901,2901,3295,848,3849,1069,1149,441,692,374,1587,557,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6775,1315,4537,1176,1388,685,113,174,502,266,0,273,235,294,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40072,3773,28631,3189,6831,1957,667,448,1061,451,656,409,2226,752,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7242,1168,4454,928,1462,721,0,273,537,345,269,224,520,397,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,13342,1822,10365,1558,2111,793,0,273,269,184,83,132,514,400,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
