GEO_ID,C20005_001E,C20005_001M,C20005_002E,C20005_002M,C20005_003E,C20005_003M,C20005_004E,C20005_004M,C20005_005E,C20005_005M,C20005_006E,C20005_006M,C20005_007E,C20005_007M,C20005_008E,C20005_008M,C20005_009E,C20005_009M,C20005_010E,C20005_010M,C20005_011E,C20005_011M,C20005_012E,C20005_012M,C20005_013E,C20005_013M,C20005_014E,C20005_014M,C20005_015E,C20005_015M,C20005_016E,C20005_016M,C20005_017E,C20005_017M,C20005_018E,C20005_018M,C20005_019E,C20005_019M,C20005_020E,C20005_020M,C20005_021E,C20005_021M,C20005_022E,C20005_022M,C20005_023E,C20005_023M,C20005_024E,C20005_024M,C20005_025E,C20005_025M,C20005_026E,C20005_026M,C20005_027E,C20005_027M,C20005_028E,C20005_028M,C20005_029E,C20005_029M,C20005_030E,C20005_030M,C20005_031E,C20005_031M,C20005_032E,C20005_032M,C20005_033E,C20005_033M,C20005_034E,C20005_034M,C20005_035E,C20005_035M,C20005_036E,C20005_036M,C20005_037E,C20005_037M,C20005_038E,C20005_038M,C20005_039E,C20005_039M,NAME,C20005_001EA,C20005_001MA,C20005_002EA,C20005_002MA,C20005_003MA,C20005_003EA,C20005_004EA,C20005_004MA,C20005_005MA,C20005_005EA,C20005_006EA,C20005_006MA,C20005_007EA,C20005_007MA,C20005_008EA,C20005_008MA,C20005_009MA,C20005_009EA,C20005_010MA,C20005_010EA,C20005_011EA,C20005_011MA,C20005_012MA,C20005_012EA,C20005_013MA,C20005_013EA,C20005_014MA,C20005_014EA,C20005_015MA,C20005_015EA,C20005_016MA,C20005_016EA,C20005_017EA,C20005_017MA,C20005_018MA,C20005_018EA,C20005_019EA,C20005_019MA,C20005_020MA,C20005_020EA,C20005_021MA,C20005_021EA,C20005_022EA,C20005_022MA,C20005_023EA,C20005_023MA,C20005_024EA,C20005_024MA,C20005_025MA,C20005_025EA,C20005_026EA,C20005_026MA,C20005_027MA,C20005_027EA,C20005_028EA,C20005_028MA,C20005_029EA,C20005_029MA,C20005_030MA,C20005_030EA,C20005_031MA,C20005_031EA,C20005_032MA,C20005_032EA,C20005_033EA,C20005_033MA,C20005_034EA,C20005_034MA,C20005_035EA,C20005_035MA,C20005_036MA,C20005_036EA,C20005_037MA,C20005_037EA,C20005_038MA,C20005_038EA,C20005_039EA,C20005_039MA,state
0400000US27,4175262,3180,2055295,3074,1008636,9292,14,25,1008622,9292,17483,1644,62518,3522,118583,5336,303901,6813,251583,6283,254554,5063,1046659,9475,478654,8346,568005,9135,263968,7196,116425,4216,68608,4410,66557,3201,31967,2384,20480,1986,2119967,3297,763045,8233,94,125,762951,8236,14951,1586,72027,3617,141541,5582,281850,7076,155997,5263,96585,4536,1356922,8401,655895,7799,701027,9252,332248,6678,170283,5130,82105,3008,69571,2906,33022,2731,13798,1868,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2302345,3741,1100026,3759,470253,9873,31,57,470222,9868,12673,2272,60323,4782,85779,5343,152343,6356,92423,5060,66681,3744,629773,10845,394113,8430,235660,7776,120064,5767,54205,4482,23483,2804,19208,2345,12332,1754,6368,1306,1202319,2989,395759,7843,201,211,395558,7837,11445,2192,93214,5319,99991,5495,122032,5415,47861,3417,21015,2177,806560,7740,549093,9081,257467,7931,145162,6518,61630,4015,23728,2832,19754,2165,5510,1140,1683,564,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4746821,5010,2294240,4715,1035801,9971,142,144,1035659,9949,23956,2407,94627,5160,169016,6236,314703,7008,228592,7969,204765,6220,1258439,11069,689954,11269,568485,11368,283898,8782,126241,5439,60424,4049,59416,3669,20855,1887,17651,2034,2452581,3913,873848,11418,190,185,873658,11411,22236,2550,129428,5888,208680,7167,302226,7564,141596,5313,69492,4158,1578733,11703,917191,9321,661542,11559,350753,9154,175044,6599,61907,4079,48108,3936,17096,2266,8634,1398,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,794804,1838,397672,1724,175166,5307,20,36,175146,5309,4366,895,14852,1774,30685,3007,56272,3601,39325,2583,29646,2209,222506,5441,107718,3955,114788,5148,56382,3295,26508,2527,13360,1996,11392,1764,3937,899,3209,853,397132,1657,130109,3614,229,216,129880,3627,4506,964,24308,2611,34927,2527,40388,2992,18107,1732,7644,1381,267023,4414,135679,3805,131344,3853,68334,2885,34863,2733,13352,1791,10374,1393,3323,930,1098,431,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1419846,2743,695372,1983,372649,5398,0,228,372649,5398,9667,1379,30716,2514,60852,3596,122668,4123,82059,3435,66687,2882,322723,5502,148382,3745,174341,4382,89465,3472,39086,2780,20486,2463,15471,1712,5965,953,3868,819,724474,2319,279583,5347,0,228,279583,5347,7970,1311,41616,3320,69870,3575,101208,4227,39160,2267,19759,1741,444891,5557,216732,4953,228159,5984,123599,4512,58973,2991,21881,2341,16122,1830,5445,928,2139,688,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2116850,3082,1062646,2880,477571,9429,26,44,477545,9424,9480,2056,41008,3928,79667,4725,139801,7099,105082,6332,102507,5033,585075,9881,316597,7955,268478,9598,98438,5826,65016,5021,42660,4062,35367,3322,14448,1922,12549,2440,1054204,2431,371699,8193,222,280,371477,8195,8088,1780,44441,4462,84978,5186,129147,6358,64312,3814,40511,3529,682505,8224,416160,6902,266345,7426,120228,5803,65231,3688,39459,3322,27259,2920,10674,1388,3494,987,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1066757,1963,520038,1970,264350,4976,23,41,264327,4970,3414,951,12446,1598,28750,2623,77181,3806,67736,3731,74800,3299,255688,4961,124483,4708,131205,4628,57764,3068,27563,2780,16433,2221,15166,2142,7141,1142,7138,1425,546719,1768,196751,5050,0,257,196751,5050,2682,801,16947,1803,38914,2870,70446,3532,44239,2991,23523,2227,349968,5172,175690,4256,174278,5074,76508,3892,43696,3215,23539,2211,18188,1948,8905,1364,3442,892,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6987107,4528,3358130,3675,1685994,13511,220,354,1685774,13510,20536,2884,108318,5765,182931,8166,365280,9323,388516,11040,620193,9493,1672136,14326,937456,14029,734680,12206,307480,8925,157991,7701,83224,4352,85549,5273,46393,3149,54043,2940,3628977,4047,1270862,15715,0,281,1270862,15715,18568,2752,121834,6353,190019,7614,362083,8537,295566,8435,282792,7480,2358115,16556,1428098,12729,930017,13823,396088,8642,218673,7274,112439,5181,96620,4557,64537,4091,41660,3246,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1605996,2877,786961,3047,346536,6656,0,285,346536,6656,8524,1965,43139,3747,59253,4110,103494,5301,69694,4203,62432,3623,440425,7231,259826,5941,180599,6498,91934,5138,40464,3395,20644,2788,14674,1973,5878,1308,7005,1573,819035,2523,268607,7985,15,34,268592,7988,10484,1851,53291,3884,54804,3288,81919,4068,43720,3007,24374,2515,550428,7728,349543,6754,200885,6586,104547,5848,52945,4520,19470,2246,15894,2162,5108,1190,2921,937,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,15615773,7064,7455636,6839,3513934,19840,150,134,3513784,19839,66891,4519,316869,8689,440142,12048,914882,12420,781035,13731,993965,14104,3941702,20775,2289043,18889,1652659,16720,732485,11918,368759,11033,190913,7654,181179,7013,92531,5175,86792,4178,8160137,4793,2801979,20764,207,174,2801772,20765,63050,4305,283551,8986,461192,10202,887339,12617,596397,11529,510243,10133,5358158,21584,3310114,20330,2048044,20671,932282,15819,501427,10549,232848,6739,202090,6684,109344,4673,70053,4667,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
