GEO_ID,C08528_001E,C08528_001M,C08528_002E,C08528_002M,C08528_003E,C08528_003M,C08528_004E,C08528_004M,C08528_005E,C08528_005M,C08528_006E,C08528_006M,C08528_007E,C08528_007M,C08528_008E,C08528_008M,C08528_009E,C08528_009M,C08528_010E,C08528_010M,C08528_011E,C08528_011M,C08528_012E,C08528_012M,C08528_013E,C08528_013M,C08528_014E,C08528_014M,C08528_015E,C08528_015M,C08528_016E,C08528_016M,C08528_017E,C08528_017M,C08528_018E,C08528_018M,C08528_019E,C08528_019M,C08528_020E,C08528_020M,C08528_021E,C08528_021M,C08528_022E,C08528_022M,C08528_023E,C08528_023M,C08528_024E,C08528_024M,C08528_025E,C08528_025M,C08528_026E,C08528_026M,C08528_027E,C08528_027M,C08528_028E,C08528_028M,C08528_029E,C08528_029M,C08528_030E,C08528_030M,NAME,C08528_001EA,C08528_001MA,C08528_002EA,C08528_002MA,C08528_003EA,C08528_003MA,C08528_004EA,C08528_004MA,C08528_005MA,C08528_005EA,C08528_006MA,C08528_006EA,C08528_007EA,C08528_007MA,C08528_008EA,C08528_008MA,C08528_009MA,C08528_009EA,C08528_010MA,C08528_010EA,C08528_011MA,C08528_011EA,C08528_012EA,C08528_012MA,C08528_013MA,C08528_013EA,C08528_014MA,C08528_014EA,C08528_015EA,C08528_015MA,C08528_016MA,C08528_016EA,C08528_017MA,C08528_017EA,C08528_018EA,C08528_018MA,C08528_019EA,C08528_019MA,C08528_020MA,C08528_020EA,C08528_021MA,C08528_021EA,C08528_022MA,C08528_022EA,C08528_023EA,C08528_023MA,C08528_024EA,C08528_024MA,C08528_025MA,C08528_025EA,C08528_026EA,C08528_026MA,C08528_027MA,C08528_027EA,C08528_028MA,C08528_028EA,C08528_029EA,C08528_029MA,C08528_030MA,C08528_030EA,state
0400000US01,1916877,16226,1476382,14960,333587,10146,105046,5498,1862,760,1618851,17986,1257864,16341,288518,9524,71628,4211,841,446,192542,9035,150885,7688,30141,3588,11123,2187,393,339,7463,1907,5668,1664,1281,589,514,391,0,273,42239,3521,28522,3140,8899,1877,4802,994,16,30,55782,4508,33443,3256,4748,1406,16979,2599,612,435,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,352044,6246,223595,6440,108047,4810,19426,2064,976,681,232190,5902,146053,5352,76414,4422,9420,1259,303,320,46425,4348,29917,3322,15179,2301,1174,508,155,173,4244,1067,2861,878,1383,609,0,273,0,273,50380,3443,34075,2992,12580,1473,3592,1006,133,130,18805,3141,10689,2115,2491,1756,5240,1005,385,526,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2600823,20960,2022544,19671,421366,9824,154008,7715,2905,949,1990105,19952,1570915,17638,331667,8683,86610,6123,913,435,303210,11319,237690,9786,50290,4009,14588,2293,642,387,45794,4266,36694,3773,7673,1373,1427,774,0,273,110825,6695,81388,6030,22971,3052,6175,1375,291,305,150889,6705,95857,5500,8765,1517,45208,3941,1059,661,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223069,12450,928198,12399,216333,7018,76597,4408,1941,671,1003617,12336,774155,12205,181032,6809,47093,3503,1337,629,138865,6039,104583,5843,24937,2694,9263,1684,82,127,5633,1628,3777,1298,1738,709,118,152,0,273,38695,4382,26571,3880,5869,1226,6144,1358,111,136,36259,3465,19112,2306,2757,933,13979,2321,411,242,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15926651,47686,12116082,46343,2463369,28990,1324447,23877,22753,3203,11656106,49778,9013312,48190,1860897,22746,770814,15517,11083,1745,1832747,24538,1415610,21210,268484,10922,143800,7542,4853,1548,818537,17719,661896,16676,112388,5231,43917,4254,336,285,794956,17129,600670,15481,130766,5998,62793,4941,727,416,824305,17515,424594,12468,90834,6284,303123,11298,5754,1506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2417222,16499,1857596,14910,385441,10504,170973,7009,3212,1366,1827849,17445,1428523,15585,301014,9388,96407,4851,1905,1183,242244,10488,185879,9113,39320,3519,16526,2064,519,436,70619,4737,57625,4538,11305,1469,1689,799,0,273,121378,6627,83279,5326,28029,3142,9699,1968,371,360,155132,7501,102290,5831,5773,1242,46652,3154,417,300,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1696736,11314,1348148,13053,237656,7390,109259,5634,1673,800,1366668,13478,1089983,14119,206109,6815,69585,4032,991,702,137517,6829,112660,6449,13793,1894,10938,2234,126,145,59778,5478,53847,5040,4740,1706,1191,677,0,273,65558,4703,52040,4185,9775,1596,3398,835,345,261,67215,4129,39618,2836,3239,1076,24147,2556,211,186,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,412806,8922,334477,8789,62162,3875,16026,2140,141,140,337223,8567,274025,8144,53923,3723,9197,1677,78,94,36609,3271,29291,2884,5816,1317,1502,622,0,273,10651,2004,9479,1947,1125,543,47,80,0,273,13561,2091,11658,1919,934,439,969,562,0,273,14762,1986,10024,1610,364,220,4311,1088,63,104,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,784987,13175,469365,11860,290813,7970,24270,2296,539,473,348253,8747,207688,7187,128638,4931,11574,1686,353,423,84560,5382,48171,4190,34866,3311,1523,563,0,273,282506,9040,168067,8364,110590,4793,3778,908,71,117,54798,4524,37784,3594,14533,2176,2481,697,0,273,14870,2071,7655,1425,2186,1012,4914,1217,115,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7821529,28945,6259477,32350,1094046,15945,458681,13160,9325,1853,6259890,33694,5041747,34600,930971,15499,281938,11031,5234,1405,754965,18840,612015,18294,96808,4846,44073,4174,2069,814,158874,10822,131049,10203,14202,2416,13568,2638,55,94,284969,13441,235501,12239,27926,3192,20838,3082,704,387,362831,11267,239165,8835,24139,3306,98264,5609,1263,553,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
