GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001MA,C01001D_001EA,C01001D_002MA,C01001D_002EA,C01001D_003MA,C01001D_003EA,C01001D_004MA,C01001D_004EA,C01001D_005EA,C01001D_005MA,C01001D_006MA,C01001D_006EA,C01001D_007MA,C01001D_007EA,C01001D_008MA,C01001D_008EA,C01001D_009EA,C01001D_009MA,state
0400000US01,52789,2754,25112,1868,7208,1367,16737,1257,1167,385,27677,1720,5807,992,19695,1260,2175,622,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39118,3257,18296,1912,4946,1060,12360,1248,990,508,20822,1672,5365,946,13492,961,1965,439,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174039,4937,82076,3355,18535,2292,57605,2338,5936,609,91963,2741,17764,2038,65323,1980,8876,828,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33240,2165,15161,1510,3988,958,10668,899,505,372,18079,1613,4217,1055,13056,1363,806,498,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4900963,16077,2318556,9783,517392,6900,1558567,5456,242597,1865,2582407,10331,492074,5974,1762425,6639,327908,2304,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133796,4212,59831,2967,14355,1839,41693,2112,3783,557,73965,2401,16359,1500,51349,1719,6257,827,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134338,2644,64786,1771,16204,1206,44933,1109,3649,443,69552,1599,17252,1098,48066,1123,4234,523,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27482,1348,13348,956,3186,559,9206,643,956,209,14134,802,2877,474,9970,561,1287,269,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21552,966,9016,656,790,399,7773,458,453,220,12536,755,1026,352,10606,718,904,375,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,452580,7409,210152,4855,49065,2762,143183,3273,17904,1158,242428,4372,47754,2697,170373,3140,24301,1309,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
