GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001MA,B19101A_001EA,B19101A_002EA,B19101A_002MA,B19101A_003MA,B19101A_003EA,B19101A_004EA,B19101A_004MA,B19101A_005MA,B19101A_005EA,B19101A_006EA,B19101A_006MA,B19101A_007MA,B19101A_007EA,B19101A_008EA,B19101A_008MA,B19101A_009MA,B19101A_009EA,B19101A_010EA,B19101A_010MA,B19101A_011MA,B19101A_011EA,B19101A_012MA,B19101A_012EA,B19101A_013MA,B19101A_013EA,B19101A_014EA,B19101A_014MA,B19101A_015EA,B19101A_015MA,B19101A_016MA,B19101A_016EA,B19101A_017MA,B19101A_017EA,state
0400000US15,88559,3020,2220,575,2591,878,1128,494,3630,1087,3501,1071,2411,779,3874,1067,3336,991,3882,968,5441,1210,9505,1281,16450,2120,10374,1565,7609,1102,6007,1240,6600,1135,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,377250,6799,16206,2018,14791,1827,12561,1773,20345,1935,23658,1978,21541,2181,22684,2483,20916,2676,18803,2071,40819,3291,49795,3281,54540,2997,26063,2225,13673,1644,11795,1513,9060,1505,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2378586,13758,68003,4492,50093,3658,67576,3851,86355,5048,92232,5532,106201,4904,100285,4044,103894,4577,97928,4467,191164,6240,278849,8029,381879,8141,270758,7952,160205,5905,164082,5260,159082,4979,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1458416,10288,60725,4106,43280,3565,53068,3667,69005,3715,71995,3540,81923,3961,77789,3939,84021,3910,74209,3953,143589,5976,185099,7740,222493,6138,130736,5070,67754,4061,50603,3267,42127,2446,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,748236,7334,21546,1741,19510,1692,25056,2112,30349,2373,35090,2522,35362,2341,35982,2686,38787,2986,40661,2580,74559,3384,106342,4079,122918,4018,73508,3723,37825,2493,29050,2254,21691,1506,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,638110,8008,21276,2466,15893,1723,22621,2147,26209,2432,29184,2706,29745,2138,28785,2298,31334,1961,33047,2342,60970,3369,82966,3751,102651,4730,66341,3230,34160,2697,28849,2026,24079,1699,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1020093,9917,63500,3822,46185,2968,50582,3956,57360,4121,58523,3863,55600,3622,54639,3674,55509,3582,47118,3118,91486,4734,117015,5128,142803,4696,82140,3616,38066,3331,32600,2488,26967,1965,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,750020,9247,29656,3173,22784,2292,27440,2492,34807,2940,33528,2824,34614,3242,35258,2899,32874,2959,36302,2703,62943,3751,88203,4605,115307,5348,76519,3951,44914,3351,40768,3014,34103,2891,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,334780,4731,12434,1694,10646,1510,13855,1586,17403,2065,16749,1645,17066,1925,17440,2146,18050,1816,16760,1897,31193,2806,48007,2661,50464,2681,27111,2117,15393,1771,12854,1619,9355,1141,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,896729,9410,19451,2041,10422,1602,14878,1834,20677,2237,25077,2706,25225,2803,24424,2313,26245,2456,26834,2218,59571,3789,89768,4818,139786,5573,119758,5215,83719,4429,100789,4379,110105,4123,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
