GEO_ID,B19037I_001E,B19037I_001M,B19037I_002E,B19037I_002M,B19037I_003E,B19037I_003M,B19037I_004E,B19037I_004M,B19037I_005E,B19037I_005M,B19037I_006E,B19037I_006M,B19037I_007E,B19037I_007M,B19037I_008E,B19037I_008M,B19037I_009E,B19037I_009M,B19037I_010E,B19037I_010M,B19037I_011E,B19037I_011M,B19037I_012E,B19037I_012M,B19037I_013E,B19037I_013M,B19037I_014E,B19037I_014M,B19037I_015E,B19037I_015M,B19037I_016E,B19037I_016M,B19037I_017E,B19037I_017M,B19037I_018E,B19037I_018M,B19037I_019E,B19037I_019M,B19037I_020E,B19037I_020M,B19037I_021E,B19037I_021M,B19037I_022E,B19037I_022M,B19037I_023E,B19037I_023M,B19037I_024E,B19037I_024M,B19037I_025E,B19037I_025M,B19037I_026E,B19037I_026M,B19037I_027E,B19037I_027M,B19037I_028E,B19037I_028M,B19037I_029E,B19037I_029M,B19037I_030E,B19037I_030M,B19037I_031E,B19037I_031M,B19037I_032E,B19037I_032M,B19037I_033E,B19037I_033M,B19037I_034E,B19037I_034M,B19037I_035E,B19037I_035M,B19037I_036E,B19037I_036M,B19037I_037E,B19037I_037M,B19037I_038E,B19037I_038M,B19037I_039E,B19037I_039M,B19037I_040E,B19037I_040M,B19037I_041E,B19037I_041M,B19037I_042E,B19037I_042M,B19037I_043E,B19037I_043M,B19037I_044E,B19037I_044M,B19037I_045E,B19037I_045M,B19037I_046E,B19037I_046M,B19037I_047E,B19037I_047M,B19037I_048E,B19037I_048M,B19037I_049E,B19037I_049M,B19037I_050E,B19037I_050M,B19037I_051E,B19037I_051M,B19037I_052E,B19037I_052M,B19037I_053E,B19037I_053M,B19037I_054E,B19037I_054M,B19037I_055E,B19037I_055M,B19037I_056E,B19037I_056M,B19037I_057E,B19037I_057M,B19037I_058E,B19037I_058M,B19037I_059E,B19037I_059M,B19037I_060E,B19037I_060M,B19037I_061E,B19037I_061M,B19037I_062E,B19037I_062M,B19037I_063E,B19037I_063M,B19037I_064E,B19037I_064M,B19037I_065E,B19037I_065M,B19037I_066E,B19037I_066M,B19037I_067E,B19037I_067M,B19037I_068E,B19037I_068M,B19037I_069E,B19037I_069M,NAME,B19037I_001EA,B19037I_001MA,B19037I_002EA,B19037I_002MA,B19037I_003MA,B19037I_003EA,B19037I_004EA,B19037I_004MA,B19037I_005MA,B19037I_005EA,B19037I_006MA,B19037I_006EA,B19037I_007MA,B19037I_007EA,B19037I_008MA,B19037I_008EA,B19037I_009MA,B19037I_009EA,B19037I_010MA,B19037I_010EA,B19037I_011EA,B19037I_011MA,B19037I_012MA,B19037I_012EA,B19037I_013EA,B19037I_013MA,B19037I_014MA,B19037I_014EA,B19037I_015MA,B19037I_015EA,B19037I_016MA,B19037I_016EA,B19037I_017EA,B19037I_017MA,B19037I_018MA,B19037I_018EA,B19037I_019EA,B19037I_019MA,B19037I_020MA,B19037I_020EA,B19037I_021EA,B19037I_021MA,B19037I_022EA,B19037I_022MA,B19037I_023MA,B19037I_023EA,B19037I_024EA,B19037I_024MA,B19037I_025EA,B19037I_025MA,B19037I_026EA,B19037I_026MA,B19037I_027MA,B19037I_027EA,B19037I_028MA,B19037I_028EA,B19037I_029MA,B19037I_029EA,B19037I_030MA,B19037I_030EA,B19037I_031MA,B19037I_031EA,B19037I_032EA,B19037I_032MA,B19037I_033EA,B19037I_033MA,B19037I_034MA,B19037I_034EA,B19037I_035EA,B19037I_035MA,B19037I_036MA,B19037I_036EA,B19037I_037EA,B19037I_037MA,B19037I_038EA,B19037I_038MA,B19037I_039MA,B19037I_039EA,B19037I_040MA,B19037I_040EA,B19037I_041MA,B19037I_041EA,B19037I_042EA,B19037I_042MA,B19037I_043EA,B19037I_043MA,B19037I_044MA,B19037I_044EA,B19037I_045MA,B19037I_045EA,B19037I_046EA,B19037I_046MA,B19037I_047MA,B19037I_047EA,B19037I_048MA,B19037I_048EA,B19037I_049MA,B19037I_049EA,B19037I_050EA,B19037I_050MA,B19037I_051EA,B19037I_051MA,B19037I_052EA,B19037I_052MA,B19037I_053MA,B19037I_053EA,B19037I_054EA,B19037I_054MA,B19037I_055EA,B19037I_055MA,B19037I_056MA,B19037I_056EA,B19037I_057MA,B19037I_057EA,B19037I_058MA,B19037I_058EA,B19037I_059EA,B19037I_059MA,B19037I_060MA,B19037I_060EA,B19037I_061EA,B19037I_061MA,B19037I_062MA,B19037I_062EA,B19037I_063MA,B19037I_063EA,B19037I_064EA,B19037I_064MA,B19037I_065EA,B19037I_065MA,B19037I_066MA,B19037I_066EA,B19037I_067EA,B19037I_067MA,B19037I_068EA,B19037I_068MA,B19037I_069MA,B19037I_069EA,state
0400000US01,40933,2846,5987,1375,1037,553,697,493,422,403,374,363,604,547,573,452,120,182,616,493,286,340,198,247,268,200,680,617,112,192,0,273,0,273,0,273,24543,2280,2147,811,2073,844,2150,960,3112,1210,2206,985,2398,826,1906,919,1375,546,945,492,2335,774,1424,620,1574,609,609,448,211,142,0,273,78,139,8340,1404,893,459,330,235,426,417,366,235,571,376,406,314,312,247,679,441,229,279,1188,619,715,341,684,406,671,467,286,183,311,243,273,261,2063,744,112,131,284,318,169,159,262,294,112,162,0,273,203,231,179,168,9,16,311,299,76,129,98,103,181,211,67,103,0,273,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,493461,7081,38855,3319,8374,1448,4176,1229,3643,1340,3190,1156,3325,951,3492,927,2521,941,1389,593,1746,758,2529,1174,2815,1008,1170,648,395,378,90,149,0,305,0,305,246944,4933,21659,2735,15221,2545,15192,1834,20377,2794,19986,2474,19175,2735,19299,2691,15251,2276,12788,2229,20855,2538,25606,2626,23580,2933,9543,1681,5066,1432,2109,846,1237,580,159145,4487,12705,2142,9916,1923,8361,1271,11540,1931,12492,2266,11619,2015,8055,1691,9192,1406,6840,1330,12096,1836,19371,2324,16081,2148,9382,1565,5854,1407,2981,852,2660,776,48517,2904,7812,1512,5559,1229,4586,948,4946,1179,3970,985,3540,930,2271,500,1681,544,2227,792,2866,762,3146,1070,3015,843,1563,655,314,278,588,385,433,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45099,2447,4360,1416,437,308,755,669,844,716,325,322,0,273,240,195,130,170,190,228,605,725,310,299,338,339,40,74,0,273,146,271,0,273,0,273,26613,2393,1746,823,2343,1027,2915,1046,2331,860,2409,982,2757,1335,2286,820,812,518,1873,822,1835,661,2176,817,1967,874,591,372,205,253,170,176,197,182,12063,1703,449,359,311,212,1424,707,578,310,1322,769,929,500,788,499,1218,759,768,455,1319,565,559,344,1188,596,404,284,259,186,174,222,373,316,2063,766,380,407,186,176,462,344,199,248,97,132,195,169,61,112,31,58,0,273,64,116,201,213,0,273,90,126,50,93,47,96,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3380491,17845,165574,6079,23016,2759,15298,2377,14775,1828,14412,2061,12616,1992,13750,2153,10061,1667,10392,2061,8378,1712,12995,1852,15530,2426,9389,1613,3077,907,711,431,886,464,288,242,1682156,14773,93218,5459,89500,5918,107213,5133,120562,5486,110757,5572,114483,5285,102465,6025,99294,5838,90373,5098,153606,6671,183376,7893,190019,7981,111355,5807,51127,4023,42753,3607,22055,2489,1184397,9755,61311,3810,54806,4057,60350,3823,70506,4539,66523,3878,66450,4591,68700,4431,59916,3432,59380,4934,109934,5908,138132,6899,150518,5643,93494,5142,52457,3237,46248,3236,25672,2403,348364,6806,31006,2551,45840,2804,34723,2741,31615,2794,23008,2021,21046,2333,16810,1691,18824,2175,13493,1840,26793,2154,26411,2304,24950,2295,15369,1968,6803,1452,6003,1072,5670,1037,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,293642,5516,23273,2255,4526,1139,2747,865,1811,639,2684,960,1504,681,2064,975,1759,621,1667,813,601,378,813,512,1224,646,1384,661,246,241,188,246,0,279,55,92,147081,4813,11486,1700,9789,1770,10521,1773,10632,1779,13729,2080,9843,1975,10996,2083,9313,1679,7288,1511,10992,1722,15057,2126,14023,1852,7053,1246,3147,1042,2090,789,1122,456,92306,3869,8484,1387,5212,1312,5684,1184,6505,1342,3888,1142,5179,1186,4998,1004,4618,1151,5264,1187,6658,1378,10110,1921,9750,1603,6879,1204,3733,766,3105,773,2239,797,30982,1514,4288,993,4448,880,2883,747,1995,595,2551,703,1833,764,1876,666,1374,575,1209,507,2253,578,2558,749,2118,840,788,469,0,279,493,369,315,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,138116,4010,8404,1341,1547,691,925,597,1089,529,398,328,662,438,1200,806,626,473,244,288,91,148,397,260,711,493,286,353,173,201,55,88,0,281,0,281,73893,3582,7005,1604,5034,1395,5096,1317,6145,1697,5777,1660,4050,1127,4595,1329,4823,1343,2526,975,7280,1494,6667,1440,7693,1526,2323,702,1767,612,2102,674,1010,490,44335,2101,6470,1260,3164,885,2535,902,1516,783,2314,773,2215,736,2098,826,2121,864,1765,713,3659,955,2818,799,4789,1224,3372,993,1649,648,2051,781,1799,625,11484,1283,3036,892,1838,765,932,479,836,400,764,430,637,390,482,338,212,161,249,211,309,311,723,407,776,435,380,296,255,198,0,281,55,87,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1258735,13404,53496,3667,9678,1936,4612,1394,7547,1502,4727,1369,4329,1137,5440,1353,2196,934,2121,835,3287,1099,3854,1048,2837,910,1402,714,1187,674,236,253,43,71,0,310,524369,9296,39789,3482,29100,3151,33494,3423,37448,3887,37611,3575,40326,3390,32610,3786,29574,3680,26876,2879,47083,4287,55119,4636,53187,4230,26513,2836,13979,1811,12237,1918,9423,1590,466834,7453,35101,3023,33229,3300,27538,2447,30438,3319,29930,3636,26041,2786,26309,2598,28187,2774,25681,3238,42644,3550,46868,3859,41116,3403,30409,2740,15081,1791,13836,2110,14426,1933,214036,5068,42117,2813,31639,2694,21116,2363,19246,2496,14861,2013,12709,1905,10137,1888,8962,1425,8557,1554,11246,1576,13057,1683,9373,1691,5419,1081,2017,570,1602,726,1978,543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
