GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,NAME,C27001F_001MA,C27001F_001EA,C27001F_002EA,C27001F_002MA,C27001F_003EA,C27001F_003MA,C27001F_004EA,C27001F_004MA,C27001F_005MA,C27001F_005EA,C27001F_006MA,C27001F_006EA,C27001F_007MA,C27001F_007EA,C27001F_008EA,C27001F_008MA,C27001F_009MA,C27001F_009EA,C27001F_010EA,C27001F_010MA,state
0400000US01,51156,6526,17990,2838,12390,2113,5600,1878,32255,4406,9353,1763,22902,3954,911,563,412,277,499,601,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6137,1709,1252,678,1087,614,165,280,4525,1355,2865,836,1660,895,360,306,360,306,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,403862,22538,139922,10259,116867,9382,23055,3453,244401,13564,159437,10764,84964,7698,19539,2491,18203,2354,1336,705,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60789,6535,22320,3190,19023,2982,3297,1211,37115,4100,14163,2761,22952,3348,1354,690,1208,692,146,175,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4829210,67244,1575294,27996,1357553,27488,217741,11637,3055883,44184,1701484,35762,1354399,30445,198033,7421,183588,6964,14445,2252,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,279819,15690,99371,8419,84243,8466,15128,3591,169464,8701,97081,6777,72383,5502,10984,2053,10587,2014,397,315,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,185067,10696,55454,4645,52410,4613,3044,1165,123754,7176,78625,5269,45129,5385,5859,1447,5363,1343,496,450,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17493,3897,6653,1767,6093,1703,560,463,10587,2517,6827,2011,3760,1428,253,216,253,216,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16499,3776,4234,1746,4057,1744,177,247,11743,2464,8672,2077,3071,1364,522,264,454,307,68,117,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,490188,25453,134765,9630,107355,8797,27410,4518,327886,19183,156512,11580,171374,13121,27537,3947,25217,3620,2320,1099,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,317357,16960,113269,7636,82210,6958,31059,4767,199923,11219,52461,5361,147462,10090,4165,1293,2692,1029,1473,641,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13360,2542,3546,1214,3252,1314,294,393,8576,1940,6967,1519,1609,744,1238,487,1179,476,59,101,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,34062,4810,12670,2412,10608,2148,2062,896,20657,2866,9428,1827,11229,2042,735,337,694,329,41,72,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,800922,28381,286637,13632,267540,13333,19097,3809,490854,16392,258607,12657,232247,11868,23431,2901,21228,2858,2203,852,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,130562,9792,49358,5163,41328,4764,8030,2545,78007,5875,45864,4173,32143,3656,3197,897,3163,913,34,59,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,45779,4873,16204,2563,14217,2474,1987,980,29084,3096,15121,2618,13963,2606,491,277,398,267,93,130,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,69570,6777,24774,4080,20587,3766,4187,1403,41649,3887,22265,2699,19384,3248,3147,833,2916,783,231,216,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39723,5138,14070,2394,11678,2109,2392,1132,24796,3389,8702,1852,16094,3267,857,629,665,568,192,232,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57235,6243,16298,2694,13782,2246,2516,1300,38647,4071,12809,2393,25838,3770,2290,846,2046,760,244,302,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1994,815,454,417,454,417,0,230,1389,637,1144,617,245,179,151,163,151,163,0,230,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
