GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001EA,C27001D_001MA,C27001D_002EA,C27001D_002MA,C27001D_003MA,C27001D_003EA,C27001D_004EA,C27001D_004MA,C27001D_005MA,C27001D_005EA,C27001D_006EA,C27001D_006MA,C27001D_007EA,C27001D_007MA,C27001D_008MA,C27001D_008EA,C27001D_009EA,C27001D_009MA,C27001D_010MA,C27001D_010EA,state
0400000US01,52418,2761,12995,1655,11184,1630,1811,784,36120,1924,25553,2510,10567,2017,3303,733,3125,685,178,293,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38701,3282,10311,1816,8677,1814,1634,702,25458,1769,16561,1784,8897,1523,2932,814,2474,702,458,368,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172127,5003,36170,3515,33259,3235,2911,1062,121145,3359,104608,4157,16537,3248,14812,1046,13444,1280,1368,929,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33163,2157,8205,1301,7312,1252,893,508,23647,1700,19052,2154,4595,1524,1311,765,1311,765,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4874265,15577,1008744,10440,941650,11520,67094,5970,3302589,8923,2665530,18035,637059,15410,562932,3552,545911,4207,17021,2421,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,132764,4159,30617,2435,27364,2334,3253,1508,92107,2946,73784,3443,18323,2341,10040,1124,9578,1070,462,393,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,133737,2649,33456,1560,32334,1599,1122,681,92471,1688,77987,3060,14484,2714,7810,858,6190,1194,1620,833,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27449,1333,6063,709,5538,690,525,422,19143,961,16964,1182,2179,1035,2243,359,2165,377,78,130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21271,962,1816,375,1503,472,313,357,18146,880,16128,1040,2018,870,1309,458,1193,438,116,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450561,7364,96718,4171,83228,4374,13490,2171,311968,4913,217850,6894,94118,6653,41875,1917,38494,2122,3381,917,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,314332,5142,78222,2768,66433,3486,11789,2731,216323,3048,148660,5760,67663,4921,19787,1650,16859,1694,2928,898,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,524347,9531,80701,4743,78371,4489,2330,881,331143,6272,302264,6424,28879,3728,112503,2000,110576,2132,1927,974,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18605,2026,5258,1336,4367,1320,891,560,11621,1092,9583,1265,2038,770,1726,627,1726,627,0,267,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,588717,6254,128530,3725,120989,4264,7541,2191,407503,4076,324389,7233,83114,6393,52684,1300,47572,1628,5112,1198,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,102503,3281,25139,2067,23296,2150,1843,805,72826,2218,59114,2569,13712,2015,4538,821,3875,817,663,488,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
