B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004MA,B15002A_005MA,B15002A_005EA,B15002A_006MA,B15002A_006EA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009EA,B15002A_009MA,B15002A_010MA,B15002A_010EA,B15002A_011EA,B15002A_011MA,B15002A_012MA,B15002A_012EA,B15002A_013EA,B15002A_013MA,B15002A_014MA,B15002A_014EA,B15002A_015EA,B15002A_015MA,B15002A_016EA,B15002A_016MA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019MA,B15002A_019EA,NAME,B15002A_001MA,B15002A_001EA,B15002A_002EA,B15002A_002MA,B15002A_003MA,B15002A_003EA,B15002A_004EA,state
4283,171855,7328,31495,3154,180777,6355,44360,3598,100394,4646,58691,3608,663057,4349,36000,3128,61893,4939,178828,7065,20822,2320,182249,6141,47986,3814,89471,5572,45808,3420,0400000US32,1352578,7509,689521,4285,42002,4517,59947,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,32
2500,110273,5040,20434,2118,78463,3743,37300,2764,83538,3753,51153,2718,445054,1355,10918,1492,22798,2310,118211,4001,13104,1776,83910,4640,50739,2979,92218,3660,53156,2992,0400000US33,863880,2045,418826,1227,10543,1681,27122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,33
5469,535795,10990,57562,3669,362958,8339,111935,4951,475796,9128,290405,7665,2253440,6569,100735,5153,120175,4836,670637,10961,42930,3251,371321,9260,157332,6156,507233,8981,283077,6652,0400000US34,4296503,12497,2043063,7893,90296,6058,118316,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,34
3724,101175,4810,24411,2817,117534,5301,30829,2910,79002,4269,63629,3816,531478,4541,35512,3231,38462,3218,113738,4686,19224,2192,137599,5149,41611,3425,81642,3624,63690,3521,0400000US35,1024344,7588,492866,4537,36145,3617,40141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,35
8605,1004169,15526,177025,7014,735560,12834,341231,8370,888931,11739,664112,10573,4687460,10373,209380,7232,274426,8042,1202231,15835,126982,6042,734859,11170,452880,9928,897868,12620,788834,10998,0400000US36,8977595,17304,4290135,9898,187502,6704,291605,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,36
6805,493670,11151,115849,5582,464521,9727,170994,5765,431935,10558,223259,5762,2411024,4665,95956,5410,173260,5790,557822,9456,100508,5680,535827,10909,253340,7602,471126,9383,223185,7203,0400000US37,4630107,9749,2219083,6608,115309,5870,203546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,37
1309,48632,2337,8858,1224,47515,2680,26192,2139,38175,2397,15981,1759,206851,737,9005,954,7791,1048,49709,2042,5278,959,49911,2215,23031,1775,45579,2437,16547,1773,0400000US38,411830,1053,204979,536,10076,1079,9550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,38
7892,1009296,14586,132375,4788,627195,10812,207652,6725,532365,10740,292451,7029,3430219,3177,102734,3933,258709,6302,1120736,12265,108432,5178,682432,11341,308931,7858,545045,10477,303200,7588,0400000US39,6594356,4958,3164137,3154,102338,5268,260465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,39
4597,250225,6197,47475,3518,225159,6280,57726,3632,153557,4523,77120,3739,984145,2733,35613,2313,83491,4441,271637,6155,45946,3233,243630,6441,72339,4602,158361,5335,73128,3982,0400000US40,1911917,4338,927772,2847,37973,2574,78537,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,40
4964,224269,8169,65619,4660,293015,6332,86389,4011,211115,6260,121260,4423,1184399,3830,28594,2566,72044,4813,261271,8176,39515,2996,345936,7226,96308,4452,220020,5674,120711,4491,0400000US41,2299429,6363,1115030,3871,36770,3264,76593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,41
6060,1183020,15100,151805,4992,581384,11474,239672,6998,633002,10818,387494,8358,3853338,4199,123804,4523,265387,7792,1361462,12731,117021,5043,613091,9484,325325,7832,654169,11002,393079,9916,0400000US42,7392189,6531,3538851,4223,115197,4866,247277,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,42
2957,65203,3618,13120,1854,52387,2947,19719,2151,57178,3080,35065,2723,320255,1906,16982,1831,25641,2437,73082,3407,13015,1801,61826,4119,27220,2214,60733,3005,41756,2506,0400000US44,603883,3743,283628,2401,15565,2113,25391,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,44
5460,237529,7725,54439,3770,223216,6454,83356,4246,201351,6323,105721,5112,1120166,2544,46924,3780,86441,4109,282856,7622,48088,2928,236635,7558,111756,5506,192973,6769,114493,5077,0400000US45,2165603,4511,1045437,3119,49892,3424,89933,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,45
