GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001MA,B21003_001EA,B21003_002MA,B21003_002EA,B21003_003MA,B21003_003EA,B21003_004MA,B21003_004EA,B21003_005EA,B21003_005MA,B21003_006EA,B21003_006MA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009EA,B21003_009MA,B21003_010EA,B21003_010MA,B21003_011EA,B21003_011MA,state
0400000US01,3148891,5314,394760,8748,35640,2638,117893,4678,143131,5510,98096,4105,2754131,10156,528991,12267,868230,14154,767259,12514,589651,11190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440447,2199,68514,3818,2756,835,15272,1550,30117,3186,20369,2542,371933,3847,37503,3103,97767,4367,133741,4930,102922,5027,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4135518,3427,522808,9557,30220,2738,126954,5617,215841,7780,149793,6135,3612710,10008,565131,14803,911662,16552,1215504,15380,920413,14275,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1914410,5458,243911,6622,25267,2060,79936,3704,88562,4979,50146,3330,1670499,7986,302157,8769,583664,10418,462730,9181,321948,9622,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24025697,6911,1912685,17965,119457,6053,394350,8648,814459,13614,584419,13427,22113012,20365,4530271,39590,4605378,29780,6331611,42445,6645752,39518,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3309586,4519,384819,9115,20302,2031,87982,4687,142982,6591,133553,4609,2924767,9754,323060,9632,667792,12738,862693,14146,1071222,14528,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2430142,1843,222480,5668,18014,2160,72177,3967,66478,3936,65811,3354,2207662,5755,258994,10011,614896,12227,535880,10806,797892,12924,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,598888,1284,72466,3786,5666,1111,25020,2176,22465,2569,19315,2180,526422,3991,68455,4800,171049,6058,139644,5769,147274,5128,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,415150,826,30137,2540,2978,718,7741,1644,5983,1112,13435,1801,385013,2713,49414,3828,76704,4303,64623,4591,194272,4539,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13044600,8593,1594835,13378,111802,5897,451165,9957,579291,11054,452577,10651,11449765,15431,1787206,23519,3460092,28289,3294963,29642,2907504,27177,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6204340,7438,685575,12802,48571,3048,201077,7372,258623,8843,177304,6665,5518765,13503,930919,15989,1618915,21816,1456485,20289,1512446,19976,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
