GEO_ID,C05003H_001E,C05003H_001M,C05003H_002E,C05003H_002M,C05003H_003E,C05003H_003M,C05003H_004E,C05003H_004M,C05003H_005E,C05003H_005M,C05003H_006E,C05003H_006M,C05003H_007E,C05003H_007M,C05003H_008E,C05003H_008M,C05003H_009E,C05003H_009M,C05003H_010E,C05003H_010M,C05003H_011E,C05003H_011M,C05003H_012E,C05003H_012M,C05003H_013E,C05003H_013M,C05003H_014E,C05003H_014M,C05003H_015E,C05003H_015M,NAME,C05003H_001MA,C05003H_001EA,C05003H_002EA,C05003H_002MA,C05003H_003MA,C05003H_003EA,C05003H_004EA,C05003H_004MA,C05003H_005MA,C05003H_005EA,C05003H_006MA,C05003H_006EA,C05003H_007EA,C05003H_007MA,C05003H_008MA,C05003H_008EA,C05003H_009MA,C05003H_009EA,C05003H_010EA,C05003H_010MA,C05003H_011EA,C05003H_011MA,C05003H_012MA,C05003H_012EA,C05003H_013MA,C05003H_013EA,C05003H_014MA,C05003H_014EA,C05003H_015EA,C05003H_015MA,state
0400000US01,3206485,934,1568976,1857,346165,1820,344203,2162,1962,1049,1222811,618,1213000,1602,9811,1463,1637509,1919,326874,1904,325523,2061,1351,707,1310635,298,1297003,1844,13632,1764,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,457264,758,242122,799,51043,533,50679,627,364,341,191079,538,186375,1265,4704,1256,215142,623,47688,527,47454,557,234,214,167454,358,160532,1267,6922,1282,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703810,1751,1831542,1668,348153,1118,345006,1446,3147,1072,1483389,1420,1420085,4932,63304,4645,1872268,1666,329613,1297,328198,1487,1415,593,1542655,857,1465570,4250,77085,4416,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176442,1589,1068942,2070,238837,1743,238328,1779,509,397,830105,1005,823571,1934,6534,1711,1107500,1850,225478,1716,224477,1881,1001,762,882022,708,871645,1865,10377,1731,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14948814,7382,7442134,4522,1301942,2680,1271429,4185,30513,3833,6140192,3160,5536761,13494,603431,13740,7506680,4343,1234376,2215,1204299,4006,30077,3319,6272304,2851,5599663,14999,672641,14720,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3528477,2598,1759403,2282,365495,1565,361396,1978,4099,1143,1393908,1581,1348987,3717,44921,3646,1769074,2115,345679,1398,341368,1938,4311,1234,1423395,1570,1368113,4473,55282,4143,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2540999,4032,1234125,2316,254201,1321,249382,1797,4819,1254,979924,1447,899273,4355,80651,4398,1306874,1958,241733,801,237710,1398,4023,1074,1065141,1597,975429,4714,89712,4445,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,587891,342,284869,240,55937,144,55891,160,46,79,228932,143,224797,862,4135,845,303022,216,53259,78,53140,167,119,145,249763,199,243252,1110,6511,1080,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,210100,447,103915,324,8972,174,8587,305,385,242,94943,282,85566,1441,9377,1446,106185,262,8523,200,8378,209,145,150,97662,173,87703,1625,9959,1607,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10884119,9928,5335768,4926,934352,2249,921681,3328,12671,2589,4401416,3568,4132706,8510,268710,7759,5548351,5991,885783,2859,873708,3214,12075,2016,4662568,4193,4334344,10988,328224,10062,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5419594,2591,2663985,3032,599780,2889,595645,3168,4135,1160,2064205,1085,2003330,4959,60875,4871,2755609,3092,569973,2813,565178,3188,4795,1291,2185636,1044,2119991,4150,65645,4176,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308895,865,167597,1132,20761,1117,20552,1137,209,228,146836,167,136957,1831,9879,1805,141298,1070,18709,929,18497,908,212,200,122589,520,111249,1842,11340,1686,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1320295,460,658663,820,170327,824,169659,940,668,410,488336,252,480894,1642,7442,1638,661632,865,159816,826,159090,938,726,541,501816,261,491353,1690,10463,1672,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8170079,2292,4002372,1822,847756,1403,836623,2225,11133,1883,3154616,834,2941579,7276,213037,7258,4167707,1691,805697,1362,792125,2881,13572,2395,3362010,993,3125842,7262,236168,7268,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5289807,2444,2598657,2477,611077,2065,608687,2340,2390,807,1987580,1211,1962920,2684,24660,2478,2691150,1986,577055,1648,574695,1802,2360,626,2114095,909,2083424,3254,30671,3084,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2700807,2733,1329345,1582,302647,1113,301169,1151,1478,641,1026698,873,1014020,2180,12678,1960,1371462,2111,287250,1532,285337,1835,1913,787,1084212,831,1067948,2434,16264,2261,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
