GEO_ID,C08007_001E,C08007_001M,C08007_002E,C08007_002M,C08007_003E,C08007_003M,C08007_004E,C08007_004M,C08007_005E,C08007_005M,C08007_006E,C08007_006M,C08007_007E,C08007_007M,C08007_008E,C08007_008M,C08007_009E,C08007_009M,NAME,C08007_001EA,C08007_001MA,C08007_002EA,C08007_002MA,C08007_003EA,C08007_003MA,C08007_004EA,C08007_004MA,C08007_005MA,C08007_005EA,C08007_006MA,C08007_006EA,C08007_007EA,C08007_007MA,C08007_008EA,C08007_008MA,C08007_009EA,C08007_009MA,state
0400000US01,1951769,16535,1421523,16268,530246,12433,1029051,10587,712918,10617,316133,8182,922718,11872,708605,11112,214113,7908,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,343424,5810,319898,6099,23526,2107,192156,3687,174602,3705,17554,1773,151268,4184,145296,4316,5972,1043,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2621839,20723,2464019,19775,157820,7343,1399516,12270,1303427,12074,96089,5206,1222323,14093,1160592,13109,61731,4542,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1225968,11423,915642,10595,310326,9357,638640,7619,462552,7659,176088,7191,587328,8375,453090,8419,134238,4920,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15921475,45956,13208839,48878,2712636,21050,8663138,32317,7014439,36294,1648699,18599,7258337,30448,6194400,29368,1063937,14561,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2428102,16248,1598152,15477,829950,13498,1302095,10584,829572,10799,472523,9814,1126007,11671,768580,10631,357427,7302,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1707618,10144,1257821,12498,449797,9682,880522,7624,627395,9634,253127,6848,827096,8017,630426,9397,196670,7247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,404044,6800,324927,7222,79117,4622,202032,4319,154637,4880,47395,3057,202012,5137,170290,5052,31722,2738,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,296717,5055,219106,5150,77611,4396,145302,3187,103386,3901,41916,3396,151415,3848,115720,3629,35695,2830,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7865975,28271,6399051,30169,1466924,20558,4069941,22098,3225585,20512,844356,16380,3796034,22701,3173466,22202,622568,14233,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4118024,22215,2405133,22096,1712891,21985,2161139,15626,1212912,15778,948227,15145,1956885,16365,1192221,14496,764664,13578,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
