GEO_ID,C19001G_001E,C19001G_001M,C19001G_002E,C19001G_002M,C19001G_003E,C19001G_003M,C19001G_004E,C19001G_004M,C19001G_005E,C19001G_005M,C19001G_006E,C19001G_006M,C19001G_007E,C19001G_007M,C19001G_008E,C19001G_008M,C19001G_009E,C19001G_009M,C19001G_010E,C19001G_010M,C19001G_011E,C19001G_011M,NAME,C19001G_001EA,C19001G_001MA,C19001G_002MA,C19001G_002EA,C19001G_003MA,C19001G_003EA,C19001G_004EA,C19001G_004MA,C19001G_005MA,C19001G_005EA,C19001G_006MA,C19001G_006EA,C19001G_007MA,C19001G_007EA,C19001G_008EA,C19001G_008MA,C19001G_009EA,C19001G_009MA,C19001G_010EA,C19001G_010MA,C19001G_011MA,C19001G_011EA,state
0400000US01,15121,1754,2757,819,1188,502,2013,732,1751,591,2226,755,2018,547,1627,581,875,423,87,118,579,406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10500,1452,420,258,741,470,1277,492,1146,462,2039,606,1588,623,1410,686,1212,430,258,180,409,351,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,37099,3025,3382,990,1799,686,3332,921,5822,1308,4801,1132,8277,1671,3708,997,3479,1119,1081,583,1418,737,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13926,1754,1747,623,2156,782,2285,714,2436,825,1766,732,1806,672,1153,513,468,361,0,273,109,174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,351034,9243,25280,2362,21737,2323,35209,3099,32562,3045,46591,3820,66806,4563,44176,3363,44718,3409,18484,1852,15471,1939,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,43020,3446,5737,1309,2451,758,6463,1379,4210,1054,6921,1533,6200,1237,4833,1113,4191,1054,1196,497,818,422,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,18896,2252,1562,519,984,561,2638,848,2112,830,3157,1029,2737,791,2069,898,2498,688,666,510,473,311,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4850,1027,645,446,204,161,548,344,173,173,636,346,837,417,599,345,754,466,391,289,63,100,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4742,1141,589,386,219,309,213,184,346,315,385,279,774,327,605,438,617,314,637,385,357,315,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,96237,5552,9565,1488,5980,1351,14044,2187,12792,1959,16323,2054,15587,2391,10193,1614,8180,1562,1931,668,1642,633,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,35958,3091,3013,920,2494,866,4587,1104,4481,964,5444,1272,7482,1338,3859,1069,2539,767,1471,543,588,430,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70506,3765,5400,1110,3299,995,5999,1412,6155,1204,8793,1410,12851,1621,10010,1504,10815,1616,3955,902,3229,772,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8844,1172,1785,636,606,403,1200,513,876,476,2117,760,895,419,619,413,619,306,29,55,98,135,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,50577,4376,5600,1251,2882,999,6622,1348,4196,968,6768,1019,8455,1650,6343,1156,5376,949,2701,862,1634,694,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23119,2429,2806,803,1993,645,3077,808,3396,875,3512,853,3976,989,2209,759,1470,531,257,239,423,288,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12878,1783,1861,650,1325,541,2433,735,1793,610,2254,783,1531,573,1052,492,399,295,153,209,77,118,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20569,2178,2667,856,2533,875,2912,745,1764,563,2982,708,3911,998,1524,630,1430,517,429,279,417,274,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,15236,2021,2650,754,1501,703,3385,1136,1901,665,1521,696,2045,815,1064,426,848,465,223,277,98,168,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16526,1806,1447,508,942,419,2087,844,2269,757,2284,763,4114,966,1414,556,1131,415,332,184,506,272,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5378,893,858,463,684,372,838,376,662,341,711,405,544,231,699,399,145,139,118,122,119,144,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,33844,2615,2881,817,1111,544,2770,873,2665,1013,4692,1078,6582,1238,4227,1007,5183,1057,2498,880,1235,512,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,44989,3765,6552,1192,3739,1214,3613,892,4798,1284,5284,1398,7722,1490,4286,976,5926,1610,1617,563,1452,676,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53644,3023,6956,1281,4814,999,9034,1540,5559,1042,7653,1155,7551,1278,5395,1099,4258,837,1883,788,541,287,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,25532,2528,3249,1050,1660,684,3187,832,2626,618,3341,1039,5780,1315,2585,740,2489,826,325,208,290,245,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6909,1451,1290,770,661,367,1422,621,568,392,951,538,954,436,504,304,106,148,172,184,281,228,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
