GEO_ID,C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,NAME,C21001A_001MA,C21001A_001EA,C21001A_002MA,C21001A_002EA,C21001A_003MA,C21001A_003EA,C21001A_004EA,C21001A_004MA,C21001A_005EA,C21001A_005MA,C21001A_006MA,C21001A_006EA,C21001A_007MA,C21001A_007EA,C21001A_008MA,C21001A_008EA,C21001A_009MA,C21001A_009EA,C21001A_010MA,C21001A_010EA,C21001A_011EA,C21001A_011MA,C21001A_012EA,C21001A_012MA,C21001A_013MA,C21001A_013EA,C21001A_014MA,C21001A_014EA,C21001A_015EA,C21001A_015MA,state
0400000US01,2596614,4483,1254546,3247,1024440,3068,155342,6600,869098,7213,230106,765,134791,3056,95315,2961,1342068,2385,1040252,2504,14722,1950,1025530,3019,301816,633,3761,804,298055,943,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359827,2930,186903,2612,166259,2568,37167,2884,129092,3616,20644,297,13851,953,6793,957,172924,977,152467,960,5721,1298,146746,1599,20457,239,500,265,19957,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3886860,15698,1907326,8766,1537351,8219,232256,7107,1305095,10800,369975,1679,210938,4844,159037,4934,1979534,8647,1541629,8241,24941,2453,1516688,9218,437905,1651,5478,1146,432427,2074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1774555,4377,862011,3053,697192,2984,111932,4870,585260,5589,164819,457,88760,2674,76059,2693,912544,2547,702525,2481,9109,1850,693416,2894,210019,524,3174,976,206845,1020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17865843,49080,8824019,29724,7436871,28678,718500,13841,6718371,31249,1387148,4747,712999,6880,674149,8091,9041824,23800,7266824,22456,71004,4059,7195820,22103,1775000,5079,24228,2126,1750772,5560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3234957,10313,1594648,6101,1369059,5686,188915,6658,1180144,8355,225589,1515,133870,2968,91719,2954,1640309,5660,1359035,5229,23901,2672,1335134,5956,281274,1465,4138,862,277136,1651,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2209390,7473,1056369,4739,862721,4713,91984,4571,770737,6004,193648,965,104772,2792,88876,3065,1153021,3642,888216,3472,5915,913,882301,3601,264805,1094,2520,725,262285,1325,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,507751,2844,243327,1607,195148,1589,26836,2273,168312,3064,48179,379,27416,1408,20763,1443,264424,1808,203346,1744,2828,795,200518,1817,61078,537,785,395,60293,643,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,216116,2829,105862,1753,95037,1709,6186,1311,88851,2067,10825,237,4095,675,6730,720,110254,1564,97981,1424,550,316,97431,1533,12273,342,0,292,12273,342,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11657205,22737,5636230,13276,4326499,13088,611857,10510,3714642,14744,1309731,2928,714473,8817,595258,9367,6020975,12525,4410018,11154,70476,4998,4339542,12543,1610957,3442,22296,2797,1588661,4360,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
