GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001MA,B12002I_001EA,B12002I_002EA,B12002I_002MA,B12002I_003MA,B12002I_003EA,B12002I_004MA,B12002I_004EA,B12002I_005EA,B12002I_005MA,B12002I_006EA,B12002I_006MA,B12002I_007EA,B12002I_007MA,B12002I_008EA,B12002I_008MA,B12002I_009EA,B12002I_009MA,B12002I_010EA,B12002I_010MA,B12002I_011MA,B12002I_011EA,B12002I_012MA,B12002I_012EA,B12002I_013MA,B12002I_013EA,state
0400000US01,123231,2193,69805,2132,33158,2750,30344,2702,1809,849,371,342,4123,1123,53426,1792,18973,2311,27875,2212,1445,832,1912,752,3221,868,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27565,1529,15006,1569,6024,1066,7833,1129,197,175,48,87,904,496,12559,623,4028,619,5621,786,684,365,202,191,2024,663,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1311735,678,653794,1102,289593,5972,290813,7551,11267,2191,8183,1468,53938,4609,657941,1003,242558,6437,293424,6707,23793,2618,30552,2469,67614,5190,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,119479,2333,64124,2303,26930,2716,31752,2337,1991,1043,481,288,2970,769,55355,2140,21300,2185,26980,2233,1138,682,1945,818,3992,1396,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10124283,971,5098146,1451,2374105,17171,2253280,19905,122287,6620,63174,4284,285300,8767,5026137,1379,1977395,13620,2180739,17614,198828,9533,256849,6873,412326,10475,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,725673,1271,368399,1772,154955,4903,165028,5097,10087,2068,5590,1424,32739,2768,357274,1668,124716,4386,160200,4687,14794,2266,19827,1997,37737,3419,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,346793,585,171269,827,87747,3264,67921,3312,3058,950,1049,519,11494,1731,175524,852,76545,3276,62884,3453,9254,1903,6720,1181,20121,2565,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50533,373,26340,528,12641,1674,11425,1506,936,594,178,232,1160,532,24193,438,9746,1333,10367,1337,827,511,902,460,2351,840,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44697,-555555555,23414,477,13966,1403,7948,1249,285,235,0,292,1215,489,21283,477,11344,1307,6556,1052,776,440,829,313,1778,663,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3330589,2902,1632052,4270,640426,9806,757009,12573,49171,5581,29407,3117,156039,6611,1698537,2355,511955,9113,737270,11931,75722,5749,132169,6200,241421,9073,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,581060,2951,318594,3701,145390,5866,148328,5259,8209,1776,2321,824,14346,2312,262466,3283,88649,4995,138372,4722,8278,1676,7676,1974,19491,2190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,82412,-555555555,41283,376,18691,1467,15361,1706,1142,677,1198,766,4891,1362,41129,376,15941,1415,16214,1580,551,376,1886,547,6537,1216,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,113904,882,60647,1223,24518,2134,29988,2023,1158,508,935,435,4048,773,53257,1224,17637,1787,25102,1802,1961,835,2338,850,6219,1270,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
