GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001EA,B18101A_001MA,B18101A_002EA,B18101A_002MA,B18101A_003MA,B18101A_003EA,B18101A_004EA,B18101A_004MA,B18101A_005MA,B18101A_005EA,B18101A_006EA,B18101A_006MA,B18101A_007EA,B18101A_007MA,B18101A_008EA,B18101A_008MA,B18101A_009EA,B18101A_009MA,B18101A_010EA,B18101A_010MA,state
0400000US01,3277164,6976,714735,3202,33603,2885,681132,4326,2046374,4649,275393,9448,1770981,11108,516055,1678,218135,5549,297920,5794,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,463025,3095,106522,1328,3429,1051,103093,1765,316711,2823,32221,2619,284490,3228,39792,431,14205,1458,25587,1353,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5022807,24298,1192155,11522,37735,3365,1154420,11955,3033196,14440,288865,9339,2744331,15450,797456,2983,251838,5449,545618,5786,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2250470,6814,508265,3172,28519,2872,479746,4063,1380876,4597,198869,5997,1182007,6971,361329,1721,148573,4700,212756,4616,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22998619,69063,5351514,27899,172847,7755,5178667,27972,14555022,46213,1193150,19391,13361872,44347,3092083,9132,1127976,14579,1964107,15206,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4139741,17290,946793,9442,30809,3524,915984,9881,2700310,9219,222660,8298,2477650,11168,492638,2698,169748,4920,322890,5306,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2759067,10541,582169,4403,18973,2592,563196,4818,1739293,7559,130279,5302,1609014,9828,437605,1807,141177,4583,296428,4710,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,627148,4834,125833,2507,4558,1060,121275,2693,395413,2927,43560,3634,351853,4559,105902,812,32520,1799,73382,1821,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,240292,4058,24761,1681,342,260,24419,1704,192753,2656,6086,1311,186667,2878,22778,457,5346,960,17432,941,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14222212,32761,2709277,13075,105885,5714,2603392,13667,8647137,21522,849321,15528,7797816,22807,2865798,6161,962286,13201,1903512,14188,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
