GEO_ID,C08012_001E,C08012_001M,C08012_002E,C08012_002M,C08012_003E,C08012_003M,C08012_004E,C08012_004M,C08012_005E,C08012_005M,C08012_006E,C08012_006M,C08012_007E,C08012_007M,C08012_008E,C08012_008M,C08012_009E,C08012_009M,C08012_010E,C08012_010M,C08012_011E,C08012_011M,C08012_012E,C08012_012M,C08012_013E,C08012_013M,C08012_014E,C08012_014M,C08012_015E,C08012_015M,C08012_016E,C08012_016M,C08012_017E,C08012_017M,C08012_018E,C08012_018M,C08012_019E,C08012_019M,C08012_020E,C08012_020M,C08012_021E,C08012_021M,C08012_022E,C08012_022M,C08012_023E,C08012_023M,C08012_024E,C08012_024M,C08012_025E,C08012_025M,C08012_026E,C08012_026M,C08012_027E,C08012_027M,C08012_028E,C08012_028M,C08012_029E,C08012_029M,C08012_030E,C08012_030M,NAME,C08012_001MA,C08012_001EA,C08012_002MA,C08012_002EA,C08012_003EA,C08012_003MA,C08012_004MA,C08012_004EA,C08012_005EA,C08012_005MA,C08012_006EA,C08012_006MA,C08012_007MA,C08012_007EA,C08012_008EA,C08012_008MA,C08012_009MA,C08012_009EA,C08012_010EA,C08012_010MA,C08012_011EA,C08012_011MA,C08012_012MA,C08012_012EA,C08012_013MA,C08012_013EA,C08012_014EA,C08012_014MA,C08012_015EA,C08012_015MA,C08012_016EA,C08012_016MA,C08012_017EA,C08012_017MA,C08012_018MA,C08012_018EA,C08012_019EA,C08012_019MA,C08012_020EA,C08012_020MA,C08012_021EA,C08012_021MA,C08012_022EA,C08012_022MA,C08012_023EA,C08012_023MA,C08012_024MA,C08012_024EA,C08012_025EA,C08012_025MA,C08012_026EA,C08012_026MA,C08012_027MA,C08012_027EA,C08012_028MA,C08012_028EA,C08012_029MA,C08012_029EA,C08012_030EA,C08012_030MA,state
0400000US01,1895987,17044,248727,8023,274724,8262,330572,10269,301885,9443,117283,5683,264594,9631,109792,6053,135707,6100,112703,5105,997638,10780,120174,5385,138956,5852,160555,6587,151411,6113,61878,4192,148202,6190,63725,3863,77856,4297,74881,4542,898349,11958,128553,5842,135768,5379,170017,6595,150474,6013,55405,4455,116392,6258,46067,3912,57851,4123,37822,3193,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,324619,6085,86792,4589,58333,4238,59252,4008,44082,3708,16062,2292,24726,3081,9284,1729,12229,2055,13859,1660,181871,3996,47779,3433,32926,2939,32807,2920,24847,2667,8337,1627,12939,2080,4573,1091,8252,1686,9411,1278,142748,4184,39013,2727,25407,2543,26445,2391,19235,2156,7725,1557,11787,1963,4711,1224,3977,948,4448,970,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2470950,19955,310308,9853,346279,11386,385741,11478,376165,10948,166696,7564,390622,12433,175957,7672,179809,7445,139373,6874,1318800,12854,151488,6808,176830,7639,200280,8741,196390,7642,92556,4912,216882,8501,96720,4954,102068,5433,85586,4919,1152150,13139,158820,6756,169449,7102,185461,7062,179775,7525,74140,5402,173740,7890,79237,5605,77741,5261,53787,4570,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1189709,11171,232312,7868,203607,7536,207225,7457,163084,6470,73975,4693,136006,6255,58401,4581,60070,3539,55029,3581,619791,7451,117034,5468,101961,4618,105688,5766,85369,5284,36809,3113,71523,4009,33237,3438,32163,2590,36007,2795,569918,8985,115278,5315,101646,5639,101537,4282,77715,4422,37166,3045,64483,4528,25164,2816,27907,2679,19022,2166,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15097170,46113,1677789,23765,2102009,27217,2350056,29610,2255417,27504,851250,14984,2224075,24189,975613,16499,1188689,16680,1472272,22249,8245554,30271,846255,16521,1043803,18451,1241107,20656,1219720,19403,459377,10813,1270384,17075,557578,10595,688597,14545,918733,16376,6851616,33170,831534,14593,1058206,19165,1108949,18559,1035697,17515,391873,8844,953691,16178,418035,11038,500092,10378,553539,13063,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2272970,17063,328879,12354,330937,9662,364281,8998,343462,9647,148100,6271,313731,10015,145318,6560,163243,7117,135019,6518,1222491,12159,166512,8721,168760,6053,187894,6493,180804,6329,81046,4482,175241,7409,80762,4912,93212,5490,88260,5419,1050479,11686,162367,7002,162177,6730,176387,7038,162658,6263,67054,4292,138490,6175,64556,4370,70031,4119,46759,3285,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1640403,11172,222597,7347,252588,8029,266864,8397,251409,8472,105289,4921,213470,7060,98347,5264,107777,5215,122062,5944,847688,8362,105861,4972,120706,5518,133024,5565,128767,5566,52123,3401,110825,4807,55653,3620,61854,3835,78875,4836,792715,8188,116736,5494,131882,5018,133840,6073,122642,5527,53166,3390,102645,5310,42694,3327,45923,3467,43187,3251,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,389282,6832,47374,3842,54818,3627,73779,4743,64811,3763,28183,3029,46702,3221,21879,2269,23536,2179,28200,2584,193442,4369,22619,2581,25672,2473,35526,3376,30827,2206,13501,2030,24611,2601,11086,1663,12859,1700,16741,2001,195840,5125,24755,2404,29146,2689,38253,2924,33984,2931,14682,2194,22091,2068,10793,1575,10677,1843,11459,1650,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281847,5288,13797,2010,21776,2661,36337,3284,48160,3815,20846,2535,58477,3426,28451,2546,28760,2821,25243,2976,137267,3121,6804,1458,12087,2040,17505,2348,24222,2752,9232,1694,26840,2375,14918,1914,14833,1987,10826,1618,144580,4064,6993,1314,9689,1681,18832,2237,23938,2383,11614,1907,31637,2650,13533,1638,13927,1983,14417,2426,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7503144,30563,776660,14075,1014213,17855,1185897,22560,1223902,21823,498924,12413,1209574,21852,512988,14183,594732,13397,486254,14009,3873362,22724,389748,10452,481906,13171,590046,14750,618528,14981,257978,10301,644848,14819,268586,10542,324909,10477,296813,9759,3629782,22607,386912,8947,532307,12190,595851,15256,605374,12628,240946,7043,564726,13334,244402,9193,269823,9344,189441,8331,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
