GEO_ID,C27007_001E,C27007_001M,C27007_002E,C27007_002M,C27007_003E,C27007_003M,C27007_004E,C27007_004M,C27007_005E,C27007_005M,C27007_006E,C27007_006M,C27007_007E,C27007_007M,C27007_008E,C27007_008M,C27007_009E,C27007_009M,C27007_010E,C27007_010M,C27007_011E,C27007_011M,C27007_012E,C27007_012M,C27007_013E,C27007_013M,C27007_014E,C27007_014M,C27007_015E,C27007_015M,C27007_016E,C27007_016M,C27007_017E,C27007_017M,C27007_018E,C27007_018M,C27007_019E,C27007_019M,C27007_020E,C27007_020M,C27007_021E,C27007_021M,NAME,C27007_001EA,C27007_001MA,C27007_002EA,C27007_002MA,C27007_003EA,C27007_003MA,C27007_004EA,C27007_004MA,C27007_005MA,C27007_005EA,C27007_006MA,C27007_006EA,C27007_007EA,C27007_007MA,C27007_008MA,C27007_008EA,C27007_009EA,C27007_009MA,C27007_010MA,C27007_010EA,C27007_011MA,C27007_011EA,C27007_012MA,C27007_012EA,C27007_013EA,C27007_013MA,C27007_014MA,C27007_014EA,C27007_015EA,C27007_015MA,C27007_016MA,C27007_016EA,C27007_017MA,C27007_017EA,C27007_018MA,C27007_018EA,C27007_019EA,C27007_019MA,C27007_020MA,C27007_020EA,C27007_021MA,C27007_021EA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,239214,7362,341195,7649,1411696,4278,115118,6328,1296578,6362,272177,2147,33852,2892,238325,3313,2438487,5571,553229,3838,219970,7247,333259,7182,1519840,3855,179937,8967,1339903,10089,365418,2200,68111,3039,297307,3224,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,30681,2309,67386,2798,228051,1873,14679,1873,213372,2600,25002,744,4127,851,20875,1156,338129,1869,89917,1576,27101,2495,62816,2530,221384,1182,23105,2220,198279,2515,26828,631,6401,1156,20427,1266,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,302315,10229,533034,10470,1869504,3564,252940,10129,1616564,11195,400532,1319,41249,2965,359283,3073,3204789,3753,794582,2245,290738,8545,503844,8641,1935179,2604,331742,9760,1603437,9425,475028,1801,66027,3485,409001,3960,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,176462,6184,183605,5816,855780,5332,68494,3903,787286,6045,179686,1735,22293,2150,157393,2704,1472078,6426,349307,3824,176720,6531,172587,6155,897653,5403,104243,5204,793410,6321,225118,1959,39916,2458,185202,2903,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,1809845,23541,2939355,23852,11577968,9176,1077305,19101,10500663,21027,1825311,3391,320428,7775,1504883,8169,18663090,7973,4539491,3888,1738706,23183,2800785,22923,11771939,6474,1579287,21892,10192652,22455,2351660,4990,525437,9262,1826223,9718,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,173147,8296,456692,8459,1592801,5038,96640,4788,1496161,6662,239600,1431,25581,2011,214019,2425,2494633,6292,596369,3090,159195,6675,437174,7137,1601729,4414,142092,6872,1459637,7692,296535,1791,41817,2522,254718,2899,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,119291,6719,296854,6631,1080650,1981,90759,5765,989891,6245,207322,1165,20452,1985,186870,2173,1815796,2076,398865,1282,115945,4726,282920,4899,1139428,1712,147283,5511,992145,5841,277503,1289,37680,2886,239823,2950,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,38130,3145,67353,3168,265250,1178,31517,3309,233733,3406,55472,575,5418,914,50054,1091,459027,1568,100563,969,34402,3171,66161,3178,288519,1142,46888,3940,241631,4131,69945,566,8332,1301,61613,1307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,26459,2152,24760,2217,200415,1083,32325,3153,168090,3161,26736,414,4980,955,21756,1010,315912,1126,49771,582,26911,2226,22860,2241,225760,797,51140,3018,174620,3163,40381,1099,9284,1261,31097,1509,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,750891,14620,1289534,13913,5503186,7114,405261,13521,5097925,12817,1435899,3228,162866,5558,1273033,6431,9554571,6409,1949822,4738,705825,16640,1243997,16728,5832093,4854,580733,12150,5251360,13085,1772656,3805,276189,7688,1496467,8167,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
