GEO_ID,B23006_001E,B23006_001M,B23006_002E,B23006_002M,B23006_003E,B23006_003M,B23006_004E,B23006_004M,B23006_005E,B23006_005M,B23006_006E,B23006_006M,B23006_007E,B23006_007M,B23006_008E,B23006_008M,B23006_009E,B23006_009M,B23006_010E,B23006_010M,B23006_011E,B23006_011M,B23006_012E,B23006_012M,B23006_013E,B23006_013M,B23006_014E,B23006_014M,B23006_015E,B23006_015M,B23006_016E,B23006_016M,B23006_017E,B23006_017M,B23006_018E,B23006_018M,B23006_019E,B23006_019M,B23006_020E,B23006_020M,B23006_021E,B23006_021M,B23006_022E,B23006_022M,B23006_023E,B23006_023M,B23006_024E,B23006_024M,B23006_025E,B23006_025M,B23006_026E,B23006_026M,B23006_027E,B23006_027M,B23006_028E,B23006_028M,B23006_029E,B23006_029M,NAME,B23006_001EA,B23006_001MA,B23006_002EA,B23006_002MA,B23006_003EA,B23006_003MA,B23006_004MA,B23006_004EA,B23006_005EA,B23006_005MA,B23006_006EA,B23006_006MA,B23006_007MA,B23006_007EA,B23006_008EA,B23006_008MA,B23006_009EA,B23006_009MA,B23006_010MA,B23006_010EA,B23006_011EA,B23006_011MA,B23006_012EA,B23006_012MA,B23006_013MA,B23006_013EA,B23006_014EA,B23006_014MA,B23006_015EA,B23006_015MA,B23006_016MA,B23006_016EA,B23006_017MA,B23006_017EA,B23006_018EA,B23006_018MA,B23006_019MA,B23006_019EA,B23006_020MA,B23006_020EA,B23006_021EA,B23006_021MA,B23006_022EA,B23006_022MA,B23006_023MA,B23006_023EA,B23006_024EA,B23006_024MA,B23006_025MA,B23006_025EA,B23006_026MA,B23006_026EA,B23006_027EA,B23006_027MA,B23006_028EA,B23006_028MA,B23006_029MA,B23006_029EA,state
0400000US01,2503547,5480,382550,11386,199464,7887,245,294,199219,7874,159225,7231,39994,3597,183086,8164,755740,12815,523820,11252,2082,825,521738,11380,462333,10560,59405,4072,231920,7630,782620,11693,604882,9383,5355,1025,599527,9422,543854,9658,55673,4118,177738,7079,582637,10726,492701,10442,4948,973,487753,10507,465746,10424,22007,2592,89936,4297,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,397238,1976,31266,3096,20642,2655,117,140,20525,2646,17440,2377,3085,991,10624,1587,99114,4345,72425,4042,1016,477,71409,3995,62755,3755,8654,1151,26689,2362,154044,5236,123469,5080,6465,1304,117004,5245,108978,5213,8026,1272,30575,2541,112814,5287,99419,5143,2532,860,96887,4890,93069,4717,3818,1014,13395,1583,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3259963,3706,451184,13177,265210,9842,0,305,265210,9842,216996,9078,48214,4328,185974,8777,780448,15469,554450,13444,1581,594,552869,13461,476552,13237,76317,4507,225998,8494,1171511,15550,906931,15980,5830,1349,901101,15894,814322,15113,86779,5055,264580,7711,856820,13806,716783,11932,3829,1252,712954,11945,679438,11826,33516,2761,140037,5870,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1499347,5644,212016,7759,121354,5271,0,273,121354,5271,105985,4876,15369,2172,90662,5911,510657,9357,361321,8647,476,308,360845,8664,330078,8607,30767,3136,149336,6273,466451,9132,360026,8063,2612,866,357414,8034,331689,7832,25725,2480,106425,5344,310223,9213,264340,8374,1924,663,262416,8376,254206,8077,8210,1422,45883,3549,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19827705,6544,3649183,35841,2444593,29977,314,244,2444279,29978,2051243,28782,393036,13546,1204590,19994,3998052,29102,2937024,25476,12685,2350,2924339,25438,2514105,25219,410234,10477,1061028,17389,6058507,39938,4774878,39708,37404,3112,4737474,39242,4197586,36741,539888,11937,1283629,20238,6121963,39171,5217381,35853,21100,2243,5196281,35408,4846321,34945,349960,10239,904582,14937,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2776407,4302,264406,9863,171403,7644,70,116,171333,7627,144125,6789,27208,2950,93003,5615,594813,12108,458677,11240,3552,936,455125,11087,400398,10364,54727,4379,136136,5224,872347,15193,710048,13010,8382,1593,701666,13159,640624,13086,61042,4242,162299,6627,1044841,14535,903239,14886,6455,1307,896784,14708,853416,14782,43368,3394,141602,6115,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1926230,2115,175410,8972,114562,5890,0,281,114562,5890,94699,5334,19863,2710,60848,4653,507963,10570,405633,9632,545,387,405088,9563,356107,8652,48981,3950,102330,4384,507954,9883,431864,10222,2100,644,429764,10253,386739,9158,43025,3533,76090,3977,734903,12080,635017,10619,1596,623,633421,10660,601142,11043,32279,2937,99886,5449,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,471309,1325,48927,4398,28778,3189,0,265,28778,3189,24578,2893,4200,922,20149,2450,146001,5342,108383,4493,90,105,108293,4496,97747,4092,10546,1757,37618,3199,137724,6020,110052,5246,1322,583,108730,5214,99830,4953,8900,1579,27672,2654,138657,5168,121701,4970,479,314,121222,4896,116348,4886,4874,1122,16956,1824,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,347397,905,36223,3511,22327,2671,0,292,22327,2671,17780,2097,4547,1329,13896,1932,67718,3963,48561,4139,124,180,48437,4114,37237,3710,11200,2107,19157,2257,58936,4873,47600,4115,433,227,47167,4106,41297,3956,5870,1313,11336,1841,184520,4542,164019,4463,1117,360,162902,4526,154596,4235,8306,1708,20501,2323,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9803980,7759,1253916,20667,783762,16669,43,72,783719,16663,623199,15032,160520,8145,470154,13690,2835384,27596,2091693,24120,5327,1718,2086366,23926,1784311,20424,302055,10800,743691,14691,3097105,28538,2456777,26286,16039,2792,2440738,26398,2159229,24770,281509,9413,640328,13636,2617575,27100,2198156,24930,11170,1744,2186986,24354,2044961,23461,142025,7576,419419,9803,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
