GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001MA,C01001G_001EA,C01001G_002MA,C01001G_002EA,C01001G_003EA,C01001G_003MA,C01001G_004EA,C01001G_004MA,C01001G_005MA,C01001G_005EA,C01001G_006EA,C01001G_006MA,C01001G_007MA,C01001G_007EA,C01001G_008MA,C01001G_008EA,C01001G_009EA,C01001G_009MA,state
0400000US01,65186,4432,33839,3107,16266,2703,15533,2060,2040,642,31347,3120,15370,2360,13784,1810,2193,615,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50037,4222,26924,2495,14259,2105,11914,1412,751,366,23113,2746,10151,1633,12593,1754,369,185,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,169557,10122,83500,6851,44770,4952,36466,3865,2264,663,86057,5390,42946,4102,38817,3040,4294,853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49157,4194,23719,2810,10800,1730,11536,1724,1383,657,25438,2596,13051,1982,10919,1573,1468,553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1568280,32388,790889,18531,362465,12581,394803,10068,33621,2813,777391,18919,331241,10748,401370,12517,44780,3072,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172237,8592,86747,5150,42774,3461,41335,3124,2638,696,85490,5164,40454,3375,41685,3350,3351,885,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90987,6379,42823,4067,23436,2726,18198,2330,1189,485,48164,4140,23113,2498,23555,2586,1496,506,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23096,3436,11564,1983,6521,1571,4624,886,419,244,11532,2143,5568,1444,5213,1238,751,477,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11790,2050,5718,1104,1468,585,3961,869,289,226,6072,1403,1762,766,3564,872,746,482,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,406999,16059,201204,9495,94260,7081,96981,5538,9963,1434,205795,10163,82801,6070,108516,5946,14478,2030,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
