B18130_039E,B18130_039M,B18130_040E,B18130_040M,B18130_041E,B18130_041M,B18130_042E,B18130_042M,B18130_043E,B18130_043M,GEO_ID,B18130_001E,B18130_001M,B18130_002E,B18130_002M,B18130_003E,B18130_003M,B18130_004E,B18130_004M,B18130_005E,B18130_005M,B18130_006E,B18130_006M,B18130_007E,B18130_007M,B18130_008E,B18130_008M,B18130_009E,B18130_009M,B18130_010E,B18130_010M,B18130_011E,B18130_011M,B18130_012E,B18130_012M,B18130_013E,B18130_013M,B18130_014E,B18130_014M,B18130_015E,B18130_015M,B18130_016E,B18130_016M,B18130_017E,B18130_017M,B18130_018E,B18130_018M,B18130_019E,B18130_019M,B18130_020E,B18130_020M,B18130_021E,B18130_021M,B18130_022E,B18130_022M,B18130_023E,B18130_023M,B18130_024E,B18130_024M,B18130_025E,B18130_025M,B18130_026E,B18130_026M,B18130_027E,B18130_027M,B18130_028E,B18130_028M,B18130_029E,B18130_029M,B18130_030E,B18130_030M,B18130_031E,B18130_031M,B18130_032E,B18130_032M,B18130_033E,B18130_033M,B18130_034E,B18130_034M,B18130_035E,B18130_035M,B18130_036E,B18130_036M,B18130_037E,B18130_037M,B18130_038E,B18130_038M,B18130_039EA,B18130_039MA,B18130_040EA,B18130_040MA,B18130_041MA,B18130_041EA,B18130_042EA,B18130_042MA,B18130_043MA,B18130_043EA,NAME,B18130_001MA,B18130_001EA,B18130_002EA,B18130_002MA,B18130_003EA,B18130_003MA,B18130_004EA,B18130_004MA,B18130_005MA,B18130_005EA,B18130_006EA,B18130_006MA,B18130_007EA,B18130_007MA,B18130_008EA,B18130_008MA,B18130_009EA,B18130_009MA,B18130_010MA,B18130_010EA,B18130_011EA,B18130_011MA,B18130_012EA,B18130_012MA,B18130_013MA,B18130_013EA,B18130_014EA,B18130_014MA,B18130_015MA,B18130_015EA,B18130_016MA,B18130_016EA,B18130_017EA,B18130_017MA,B18130_018EA,B18130_018MA,B18130_019EA,B18130_019MA,B18130_020EA,B18130_020MA,B18130_021MA,B18130_021EA,B18130_022EA,B18130_022MA,B18130_023MA,B18130_023EA,B18130_024MA,B18130_024EA,B18130_025MA,B18130_025EA,B18130_026MA,B18130_026EA,B18130_027EA,B18130_027MA,B18130_028MA,B18130_028EA,B18130_029EA,B18130_029MA,B18130_030EA,B18130_030MA,B18130_031EA,B18130_031MA,B18130_032EA,B18130_032MA,B18130_033MA,B18130_033EA,B18130_034EA,B18130_034MA,B18130_035EA,B18130_035MA,B18130_036EA,B18130_036MA,B18130_037EA,B18130_037MA,B18130_038MA,B18130_038EA,state
22224,2218,137734,3648,111757,3889,11443,1432,100314,3690,0400000US01,4653597,3125,303802,3300,2223,889,1013,578,1210,586,301579,3380,95332,5623,206247,6190,816666,3856,53298,4536,23293,2833,30005,3048,763368,6057,190952,9332,572416,8964,1025130,5407,70490,5468,26026,2764,44464,3924,954640,6958,224424,8719,730216,9187,1870404,5955,350903,9710,102409,5934,248494,7909,1519501,11390,156062,6517,1363439,12715,365880,2129,121015,4155,16979,1801,104036,4200,244865,4707,17560,2060,227305,4859,271715,2133,159958,3739,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
550,308,9074,1035,8288,976,417,294,7871,976,0400000US02,683599,2461,52546,1179,615,476,272,347,343,304,51931,1272,9597,1489,42334,1878,131628,1932,5554,1265,819,495,4735,1135,126074,2339,13085,2250,112989,2922,159579,2366,9757,1620,1986,724,7771,1477,149822,2468,20255,2506,129567,3058,288016,2143,38732,3128,5686,1415,33046,2688,249284,3320,14596,1751,234688,3540,33918,1015,10711,1378,783,452,9928,1393,23207,1461,1181,632,22026,1589,17912,951,9624,1108,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
17220,2440,160109,4434,198636,4528,12185,1616,186451,4603,0400000US04,6259083,4476,449389,2721,3068,1075,934,517,2134,810,446321,2889,124065,8127,322256,8154,1156719,3747,50252,3778,12914,2200,37338,3573,1106467,5456,254316,13500,852151,14280,1415564,4288,66934,4758,22971,2995,43963,4294,1348630,6575,293655,10002,1054975,11343,2361851,4355,295711,8023,75500,5298,220211,7205,2066140,8732,241776,11353,1824364,14590,499595,2285,109574,5108,13310,2127,96264,4669,390021,4891,24894,2694,365127,4807,375965,2246,177329,4823,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
15137,1866,83172,2973,73581,3357,7174,1169,66407,3288,0400000US05,2833775,2478,190731,2767,1703,701,540,384,1163,562,189028,2880,61819,3971,127209,4178,508672,3283,36945,3334,12209,2233,24736,2558,471727,4739,118513,6475,353214,7970,617231,5649,46121,4275,17806,2212,28315,3282,571110,6717,136728,6760,434382,7247,1112337,5524,208987,6824,51979,3617,157008,6304,903350,7675,93894,5501,809456,8732,232914,2490,74673,4035,8016,1284,66657,3745,158241,4292,11049,1771,147192,4176,171890,2343,98309,2749,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
122087,5883,861524,10966,923363,11642,81697,4754,841666,10694,0400000US06,36514381,9382,2481542,4616,18709,2857,5205,1385,13504,2411,2462833,5038,582509,14469,1880324,14673,6676067,7114,256988,9626,67364,5307,189624,8548,6419079,12595,1357507,29696,5061572,29763,8855392,7981,370309,11695,104874,6803,265435,9880,8485083,13587,1549146,23385,6935937,25631,14324409,8608,1442955,19396,351193,11609,1091762,17459,12881454,21232,1356785,21653,11524669,32286,2269997,3472,554915,12032,74532,3833,480383,11193,1715082,11890,128927,5364,1586155,12869,1906974,6192,983611,11269,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
12505,1472,103924,3768,111599,3932,8286,1291,103313,3874,0400000US08,4914516,3184,338323,1862,2608,1037,579,476,2029,923,335715,2030,72367,4714,263348,4681,875088,3166,37666,3654,9403,1477,28263,3609,837422,4138,128183,8286,709239,8600,1147642,3831,53933,4669,15293,2309,38640,3861,1093709,5930,205400,9677,888309,9066,2017328,4059,217382,7303,51214,4095,166168,6227,1799946,8199,133616,7163,1666330,10198,308107,1947,68790,3077,8315,1457,60475,3193,239317,3477,14053,1974,225264,3605,228028,2029,116429,3667,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
8909,1485,97011,3970,123733,3833,7042,1175,116691,3835,0400000US09,3463164,2282,198668,1675,757,505,190,256,567,451,197911,1761,32524,3152,165387,3438,607173,1901,27459,2997,7007,1388,20452,2774,579714,3288,63777,6118,515937,6551,682860,2538,29239,3111,7583,1452,21656,2629,653621,3552,92966,6530,560655,7127,1489638,2926,147834,6135,33814,3703,114020,5748,1341804,6826,80351,5898,1261453,8525,255172,1469,53565,3319,6172,1171,47393,3143,201607,3468,9810,1639,191797,3798,229653,1621,105920,3958,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2081,581,22027,1250,29410,1571,1912,527,27498,1598,0400000US10,871457,1341,54476,922,652,482,348,390,304,309,53824,1122,11794,2102,42030,2260,148123,1013,7799,1702,1987,976,5812,1240,140324,1841,22526,2987,117798,3337,187252,1453,12205,1983,2323,841,9882,1754,175047,2371,25889,3127,149158,4006,356189,1574,47741,3549,8743,2045,38998,3280,308448,3612,20078,2329,288370,4142,71899,859,15134,1359,1752,631,13382,1291,56765,1496,3943,1233,52822,1622,53518,751,24108,1446,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1857,529,12218,1444,16150,1220,1974,651,14176,1216,0400000US11,569625,671,32591,355,406,362,342,346,64,107,32185,468,8411,1709,23774,1770,67762,503,5710,1564,3038,1207,2672,864,62052,1627,18764,2604,43288,2752,185338,804,8962,1970,4053,1422,4909,1403,176376,2090,34207,3456,142169,4406,216962,1067,27615,2242,11683,1878,15932,1735,189347,2426,20157,2099,169190,2757,36747,677,8761,1140,2289,677,6472,1072,27986,1256,2648,909,25338,1339,30225,896,14075,1390,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
88177,5543,617674,10215,778767,10772,67325,4275,711442,10081,0400000US12,18397865,7023,1052743,4084,7705,1794,2294,1195,5411,1343,1045038,4522,280648,10774,764390,10476,2883775,7519,144801,6979,43581,4382,101220,5189,2738974,9664,597440,17812,2141534,19640,3831151,8712,201966,9680,61474,5605,140492,7992,3629185,11940,750957,16807,2878228,19153,7421641,8555,910978,14088,237265,9698,673713,11888,6510663,16604,754819,18408,5755844,22393,1723937,4373,390319,9485,55561,4314,334758,8520,1333618,9719,107559,5800,1226059,10280,1484618,4168,705851,10118,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
