GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002EA,B11004_002MA,B11004_003MA,B11004_003EA,B11004_004EA,B11004_004MA,B11004_005MA,B11004_005EA,B11004_006MA,B11004_006EA,B11004_007EA,B11004_007MA,B11004_008EA,B11004_008MA,B11004_009MA,B11004_009EA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013EA,B11004_013MA,B11004_014EA,B11004_014MA,B11004_015EA,B11004_015MA,B11004_016EA,B11004_016MA,B11004_017EA,B11004_017MA,B11004_018MA,B11004_018EA,B11004_019EA,B11004_019MA,B11004_020EA,B11004_020MA,state
0400000US01,1227884,13886,868946,13303,352747,8640,81299,4090,71633,3521,199815,6142,516199,9060,358938,9106,79308,5147,42909,3630,11099,1847,6078,1351,25732,2729,36399,3767,279630,7106,186868,6349,41490,3280,33801,2905,111577,5319,92762,4273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,127969,4713,63719,3819,17100,2462,15170,2056,31449,2161,64250,3291,42890,2951,14211,1995,9397,1590,1827,660,1845,729,5725,1363,4814,1028,28679,2389,22087,2150,5646,1193,3895,883,12546,1673,6592,1054,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,1134229,11959,475655,9576,109571,5946,121885,5750,244199,7837,658574,9182,414199,10751,123772,6438,76180,5227,20452,2742,14657,2255,41071,3560,47592,4213,290427,9668,205137,8306,41304,3613,47216,3640,116617,6735,85290,4181,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,554946,8664,221341,5650,48885,3906,51187,3648,121269,4390,333605,6335,206415,6997,51620,3660,28176,2730,7813,1602,5304,1299,15059,1778,23444,2449,154795,5586,110087,4729,26398,2519,22204,2604,61485,4268,44708,3246,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,6082566,27431,3064002,23759,676807,13360,763164,13631,1624031,16915,3018564,18520,2425290,23938,736626,13582,412425,10556,109431,6345,86042,5120,216952,7954,324201,9415,1688664,20560,1076512,17853,208967,6812,248855,8461,618690,14895,612152,12714,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,959624,11391,430498,9374,110039,5543,98952,4842,221507,6258,529126,8930,299261,7662,90518,5464,55801,4176,14208,2100,8579,1740,33014,3060,34717,2781,208743,6588,143153,5138,32872,3346,27584,2712,82697,3911,65590,3491,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,656629,8304,292824,6148,67056,3744,56276,3660,169492,4833,363805,6636,234141,7197,58325,4281,29735,2868,7720,1753,4843,1285,17172,1984,28590,2813,175816,7052,116330,6126,21500,2732,21931,2725,72899,4894,59486,4109,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,161575,5137,66626,3574,14337,1657,13911,2029,38378,2521,94949,3503,59658,3401,14124,1989,8311,1544,2382,950,1477,526,4452,950,5813,1240,45534,3090,31316,2640,6215,1319,6305,1427,18796,2462,14218,1733,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,57275,2762,22360,1889,10102,1449,4182,977,8076,1288,34915,2644,44244,2925,8740,1359,4278,1011,1034,473,648,465,2596,740,4462,1062,35504,2451,21839,1779,5120,1139,4346,1011,12373,1473,13665,1553,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,3307884,24015,1234678,16855,285721,8286,249385,7110,699572,12736,2073206,16910,1249046,18326,313305,10773,165358,7406,46018,3489,25157,3117,94183,5197,147947,7201,935741,13120,601157,11989,121063,6340,111737,5218,368357,8879,334584,9820,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
