GEO_ID,B17017_001E,B17017_001M,B17017_002E,B17017_002M,B17017_003E,B17017_003M,B17017_004E,B17017_004M,B17017_005E,B17017_005M,B17017_006E,B17017_006M,B17017_007E,B17017_007M,B17017_008E,B17017_008M,B17017_009E,B17017_009M,B17017_010E,B17017_010M,B17017_011E,B17017_011M,B17017_012E,B17017_012M,B17017_013E,B17017_013M,B17017_014E,B17017_014M,B17017_015E,B17017_015M,B17017_016E,B17017_016M,B17017_017E,B17017_017M,B17017_018E,B17017_018M,B17017_019E,B17017_019M,B17017_020E,B17017_020M,B17017_021E,B17017_021M,B17017_022E,B17017_022M,B17017_023E,B17017_023M,B17017_024E,B17017_024M,B17017_025E,B17017_025M,B17017_026E,B17017_026M,B17017_027E,B17017_027M,B17017_028E,B17017_028M,B17017_029E,B17017_029M,B17017_030E,B17017_030M,B17017_031E,B17017_031M,B17017_032E,B17017_032M,B17017_033E,B17017_033M,B17017_034E,B17017_034M,B17017_035E,B17017_035M,B17017_036E,B17017_036M,B17017_037E,B17017_037M,B17017_038E,B17017_038M,B17017_039E,B17017_039M,B17017_040E,B17017_040M,B17017_041E,B17017_041M,B17017_042E,B17017_042M,B17017_043E,B17017_043M,B17017_044E,B17017_044M,B17017_045E,B17017_045M,B17017_046E,B17017_046M,B17017_047E,B17017_047M,B17017_048E,B17017_048M,B17017_049E,B17017_049M,B17017_050E,B17017_050M,B17017_051E,B17017_051M,B17017_052E,B17017_052M,B17017_053E,B17017_053M,B17017_054E,B17017_054M,B17017_055E,B17017_055M,B17017_056E,B17017_056M,B17017_057E,B17017_057M,B17017_058E,B17017_058M,B17017_059E,B17017_059M,NAME,B17017_001EA,B17017_001MA,B17017_002MA,B17017_002EA,B17017_003EA,B17017_003MA,B17017_004MA,B17017_004EA,B17017_005EA,B17017_005MA,B17017_006EA,B17017_006MA,B17017_007EA,B17017_007MA,B17017_008EA,B17017_008MA,B17017_009EA,B17017_009MA,B17017_010EA,B17017_010MA,B17017_011EA,B17017_011MA,B17017_012EA,B17017_012MA,B17017_013EA,B17017_013MA,B17017_014EA,B17017_014MA,B17017_015MA,B17017_015EA,B17017_016MA,B17017_016EA,B17017_017EA,B17017_017MA,B17017_018EA,B17017_018MA,B17017_019EA,B17017_019MA,B17017_020MA,B17017_020EA,B17017_021EA,B17017_021MA,B17017_022MA,B17017_022EA,B17017_023EA,B17017_023MA,B17017_024MA,B17017_024EA,B17017_025EA,B17017_025MA,B17017_026MA,B17017_026EA,B17017_027EA,B17017_027MA,B17017_028EA,B17017_028MA,B17017_029EA,B17017_029MA,B17017_030MA,B17017_030EA,B17017_031EA,B17017_031MA,B17017_032EA,B17017_032MA,B17017_033EA,B17017_033MA,B17017_034EA,B17017_034MA,B17017_035EA,B17017_035MA,B17017_036EA,B17017_036MA,B17017_037MA,B17017_037EA,B17017_038MA,B17017_038EA,B17017_039EA,B17017_039MA,B17017_040EA,B17017_040MA,B17017_041EA,B17017_041MA,B17017_042MA,B17017_042EA,B17017_043EA,B17017_043MA,B17017_044MA,B17017_044EA,B17017_045EA,B17017_045MA,B17017_046MA,B17017_046EA,B17017_047MA,B17017_047EA,B17017_048MA,B17017_048EA,B17017_049EA,B17017_049MA,B17017_050MA,B17017_050EA,B17017_051MA,B17017_051EA,B17017_052MA,B17017_052EA,B17017_053EA,B17017_053MA,B17017_054MA,B17017_054EA,B17017_055EA,B17017_055MA,B17017_056EA,B17017_056MA,B17017_057EA,B17017_057MA,B17017_058EA,B17017_058MA,B17017_059EA,B17017_059MA,state
0400000US01,1815152,10938,327782,8344,180849,6757,56212,3459,3746,1233,25339,2868,20276,2074,6851,1305,124637,6103,16878,2581,2412,842,8930,1979,4316,1169,1220,552,107759,4952,12083,1854,62844,4488,25435,2457,7397,1203,146933,5951,58488,3723,10800,1622,13072,1752,25913,2584,8703,1185,88445,4613,13487,1851,11986,2025,32257,2657,30715,2543,1487370,10911,1047035,12901,812734,12086,13944,2194,263888,7351,362561,6648,172341,4177,234301,7336,62430,4463,3979,1147,25521,2850,25178,2650,7752,1420,171871,6410,4492,1183,64750,4277,64801,3669,37828,2640,440335,9371,204848,5719,11287,1938,70768,3884,79108,4100,43685,2483,235487,6533,7982,1545,41013,3868,81351,3893,105141,3872,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,21713,2036,12277,1505,3588,812,426,439,1373,512,1559,596,230,210,8689,1163,1709,583,107,106,985,444,524,274,93,130,6980,1013,1504,575,3964,1031,1377,455,135,101,9436,1344,4637,929,329,236,1280,546,2748,706,280,270,4799,1166,722,401,686,389,2484,755,907,450,232897,3349,158582,4656,124381,4730,4866,1160,50822,2727,55909,3303,12784,1073,34201,2515,12502,1832,219,208,5141,1142,6024,1309,1118,409,21699,2139,1504,663,9728,1827,7846,1268,2621,588,74315,3980,41803,2648,3359,978,12861,1536,20155,2194,5428,920,32512,2497,1852,635,5851,1177,16150,1970,8659,1269,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,343130,10307,194239,8312,81946,4465,3964,1045,41815,3537,26902,2638,9265,1396,112293,6405,23173,2641,4085,1272,11898,2128,6135,1469,1055,463,89120,6024,11342,1844,50705,3780,21288,2957,5785,1303,148891,6529,69767,5221,11617,1781,21641,2978,27701,3771,8808,1382,79124,4642,13299,1836,15580,2498,28124,2951,22121,2258,1990920,13653,1354189,11236,1052283,11352,15377,2349,345161,8355,436009,7792,255736,5035,301906,8970,100599,6134,8130,1890,48269,4796,35275,3266,8925,1549,201307,6753,10592,1750,84904,4883,76095,4070,29716,2579,636731,9636,313618,7726,22498,2538,116356,5808,111441,4630,63323,3613,323113,7413,15673,2127,64403,4809,113689,4681,129348,4489,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,196023,6951,107243,4728,37321,2720,2866,989,16775,2034,12715,1766,4965,973,69922,4568,12037,2148,1246,678,7335,1719,2711,814,745,510,57885,3869,9179,1558,35299,2861,10191,1566,3216,754,88780,4928,37387,2986,7968,1357,9389,1568,14945,2145,5085,958,51393,3596,7352,1487,5818,1251,18633,2157,19590,1825,918879,8988,654118,7896,517625,8143,11315,1964,169022,4827,219633,4634,117655,2877,136493,5972,39583,3040,3442,1055,17558,2158,13216,1931,5367,1230,96910,4853,4287,1281,41015,3158,35231,2937,16377,1497,264761,7259,127552,5134,7413,1270,43409,3528,49965,2963,26765,2309,137209,5069,4307,1210,18502,2101,50476,3588,63924,3155,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,1712101,19964,1003305,17807,437443,10169,13389,1766,232053,7447,149967,6966,42034,2858,565862,14438,121378,7334,15275,1975,65459,5232,35215,3021,5429,1186,444484,10980,46564,4072,261652,8132,115340,6439,20928,2270,708796,13721,307409,8740,52083,3803,84801,5167,121520,5885,49005,3762,401387,10268,57442,3754,68207,5017,130706,5896,145032,6380,10694374,24368,7504551,26422,5645123,26318,65034,4692,2047064,18324,2533147,16809,999878,10095,1859428,20517,615248,12067,38096,3138,280069,7931,230768,8211,66315,3675,1244180,18019,41505,3797,462164,10919,531655,12702,208856,5747,3189823,22542,1522467,17671,70310,4922,592991,12539,557980,11286,301186,8563,1667356,17111,65645,3922,416675,9336,562730,10134,622306,10507,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,245952,8289,118446,6082,45684,3914,2478,870,24095,2533,13701,1875,5410,1229,72762,4791,13751,2325,2095,668,8078,1827,3242,922,336,248,59011,3914,9025,1852,34772,3029,13177,1851,2037,598,127506,5833,59279,4706,15004,2456,15215,2264,22074,2287,6986,1174,68227,3786,15748,2141,13382,1929,21940,2097,17157,1750,1714633,10180,1140439,10316,913940,10744,16016,1725,342056,7365,402259,6192,153609,3617,226499,6124,76767,4664,5287,1465,36322,3450,30435,2632,4723,949,149732,5449,5791,1456,64945,4037,61543,4066,17453,1662,574194,11108,283198,8259,20045,2613,112541,5432,106367,4194,44245,2599,290996,7355,19606,2339,75906,4520,100903,4366,94581,3059,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,135374,5874,63695,4324,18642,2308,597,448,8495,1404,6568,1520,2982,810,45053,3592,5956,1524,557,434,3011,1037,1823,818,565,432,39097,3313,5276,1234,23728,2742,8116,1178,1977,692,71679,4055,26705,2584,3227,918,7017,1467,12211,1758,4250,929,44974,3265,4600,1300,7169,1462,17819,2016,15386,1629,1223435,7140,827075,9311,637987,8316,3268,897,203565,4675,309440,5268,121714,3591,189088,6835,52369,3990,1963,769,19953,2490,22817,2322,7636,1422,136719,6555,3928,1075,54634,4140,56348,3628,21809,1996,396360,8285,179964,6590,7262,1415,64838,4456,67914,4244,39950,2596,216396,6255,6948,1255,41704,3403,73676,3941,94068,3335,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,36221,3222,17881,2221,5527,1251,94,159,3209,1020,1583,681,641,407,12354,1739,1957,722,596,442,986,548,375,350,0,265,10397,1518,1667,827,5542,1097,2755,872,433,297,18340,2196,7363,1689,1730,631,2146,925,2442,942,1045,534,10977,1428,1625,626,1039,569,3412,924,4901,1069,292544,4673,203352,5101,156048,4811,914,417,50728,2930,71159,2910,33247,1787,47304,3417,12167,1778,803,451,4471,1217,4997,1096,1896,550,35137,3242,1450,851,15110,2067,12974,1911,5603,936,89192,4362,39098,2917,1845,820,11973,2065,16648,1796,8632,1088,50094,3164,2313,1089,9434,1513,17048,1893,21299,1614,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,39155,3039,14285,1749,1765,604,0,292,723,391,607,385,435,317,12520,1612,1209,562,129,172,279,234,801,480,0,292,11311,1444,1544,668,5445,1104,3535,766,787,418,24870,2442,8087,1496,1236,644,2554,1041,2860,750,1437,582,16783,1938,3398,1050,3832,1009,4867,1102,4686,972,213233,3598,87234,3887,55510,2748,204,160,25064,2110,19475,1681,10767,990,31724,2645,7531,1181,165,216,2632,822,3184,898,1550,537,24193,2321,856,510,7952,1307,10627,1566,4758,822,125999,4363,58010,3039,3279,917,29977,2566,16399,2040,8355,1268,67989,3629,3974,866,28649,2571,20016,1791,15350,1477,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,1048901,12635,548767,9830,218862,8016,6653,1356,86284,5601,85647,5129,40278,2934,329905,9401,58942,4362,6771,1437,26080,2969,21232,2618,4859,1311,270963,8493,25991,2971,158098,7052,68703,4713,18171,1959,500134,9846,210237,7804,28284,3165,52625,4199,90841,5608,38487,2976,289897,8852,35124,3239,42456,3693,100628,5703,111689,5614,5986167,25025,4008163,23287,3089022,22163,30195,3000,873954,13868,1324978,14107,859895,10050,919141,15599,254363,9459,12935,1849,105539,6339,99526,6118,36363,3373,664778,11688,21018,2531,260132,8185,272554,8396,111074,5060,1978004,21272,922710,14180,37435,3468,290090,8858,356086,9576,239099,6911,1055294,15363,37046,3569,193777,7380,342973,9183,481498,8347,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
