GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001MA,B12001_001EA,B12001_002EA,B12001_002MA,B12001_003MA,B12001_003EA,B12001_004MA,B12001_004EA,B12001_005EA,B12001_005MA,B12001_006EA,B12001_006MA,B12001_007MA,B12001_007EA,B12001_008MA,B12001_008EA,B12001_009EA,B12001_009MA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012MA,B12001_012EA,B12001_013MA,B12001_013EA,B12001_014MA,B12001_014EA,B12001_015EA,B12001_015MA,B12001_016EA,B12001_016MA,B12001_017MA,B12001_017EA,B12001_018EA,B12001_018MA,B12001_019MA,B12001_019EA,state
0400000US01,3849111,3291,1844661,3620,598916,9648,979804,12819,892263,13743,87541,5098,45860,3675,41681,3716,55075,3983,210866,7642,2004450,3278,523685,9742,982786,12734,880606,14209,102180,6010,62393,4389,39787,3398,225474,6022,272505,8764,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558161,1252,290598,1332,103256,4599,149197,4908,133063,5495,16134,2285,4809,1100,11325,1865,5126,984,33019,3305,267563,1192,73175,3321,141422,4156,126859,4144,14563,2047,7015,1374,7548,1644,16253,1716,36713,3583,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5051999,1686,2492590,2424,879512,10546,1284514,11684,1170339,12466,114175,6472,35415,3236,78760,4910,61795,4356,266769,8541,2559409,2314,717857,11136,1283459,13230,1160202,13991,123257,5772,55783,3779,67474,4919,213379,5581,344714,9477,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2329778,3252,1128804,3575,332606,7748,626580,8742,572687,8666,53893,4248,25391,2934,28502,3163,34556,2976,135062,4867,1200974,3412,281988,7140,621197,8783,558933,9461,62264,4686,34605,3171,27659,3342,134080,4309,163709,6745,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29705525,3415,14662335,4581,5830573,28157,7349861,30446,6467630,30634,882231,16462,284997,8929,597234,14875,305410,9769,1176491,18888,15043190,4579,4864486,24224,7276774,29063,6361925,32755,914849,16585,400468,11202,514381,13767,1214560,12334,1687370,17966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4021728,2195,2004303,3064,690093,9543,1067731,11054,980618,12842,87113,5606,31124,3411,55989,4515,39196,2974,207283,6890,2017425,2781,543041,9931,1065050,12073,973662,12486,91388,5103,41022,3493,50366,4175,140631,4479,268703,7671,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2911821,1051,1399329,1340,507552,7494,724213,8986,675496,9043,48717,3381,15614,1981,33103,2994,37874,2438,129690,5046,1512492,1554,452491,7327,730546,8971,671761,9441,58785,4184,27132,2717,31653,3350,140429,4326,189026,6157,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,730643,811,350025,1332,123659,4151,183292,5136,167960,5408,15332,2132,6740,1257,8592,1715,10135,1436,32939,3459,380618,1147,117400,3433,179998,5495,163003,6124,16995,2444,7542,1577,9453,1985,37174,2174,46046,3820,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,520355,383,243152,725,143315,3853,74324,3510,59732,3107,14592,1476,5842,1256,8750,1205,5020,982,20493,2196,277203,726,154605,3577,71856,3581,57351,3070,14505,2078,8697,1478,5808,1321,20898,1332,29844,2425,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15555825,4678,7534535,6305,2554092,19232,3873894,21882,3450995,23476,422899,13527,162990,7457,259909,11404,237924,6823,868625,16754,8021290,4588,2136659,18984,3854301,28741,3393073,26539,461228,11551,239306,8454,221922,8648,868496,12577,1161834,18044,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
