GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001EA,C18104_001MA,C18104_002MA,C18104_002EA,C18104_003MA,C18104_003EA,C18104_004MA,C18104_004EA,C18104_005EA,C18104_005MA,C18104_006MA,C18104_006EA,C18104_007MA,C18104_007EA,C18104_008MA,C18104_008EA,C18104_009MA,C18104_009EA,C18104_010EA,C18104_010MA,C18104_011EA,C18104_011MA,C18104_012MA,C18104_012EA,C18104_013MA,C18104_013EA,C18104_014MA,C18104_014EA,C18104_015EA,C18104_015MA,C18104_016EA,C18104_016MA,C18104_017EA,C18104_017MA,C18104_018MA,C18104_018EA,C18104_019MA,C18104_019EA,C18104_020EA,C18104_020MA,C18104_021EA,C18104_021MA,state
0400000US01,4394700,3481,2105991,5001,422118,3924,26971,3094,395147,4769,1411696,4278,88036,5683,1323660,6560,272177,2147,31181,2565,240996,3483,2288709,5421,403451,3461,13044,2390,390407,4313,1519840,3855,85844,5223,1433996,6855,365418,2200,51954,3335,313464,3777,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,635667,2386,323714,2526,70661,1884,2787,844,67874,1963,228051,1873,7492,1427,220559,2246,25002,744,1966,672,23036,946,311953,1715,63741,1363,1378,621,62363,1293,221384,1182,10189,1630,211195,2003,26828,631,2519,551,24309,744,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5854753,2538,2870881,4183,600845,2333,26072,2917,574773,3554,1869504,3564,77337,4353,1792167,6060,400532,1319,29388,2717,371144,2799,2983872,3385,573665,1928,11425,1851,562240,2688,1935179,2604,75022,5065,1860157,5482,475028,1801,39041,3384,435987,3549,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2673300,3226,1294532,6437,259066,3392,16647,2332,242419,3736,855780,5332,48051,3150,807729,5953,179686,1735,18088,1830,161598,2348,1378768,6312,255997,3199,10511,1672,245486,3446,897653,5403,50790,3838,846863,5900,225118,1959,26708,2269,198410,2770,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34286823,4972,16859429,9687,3456150,4311,127198,6158,3328952,7391,11577968,9176,394026,11498,11183942,13397,1825311,3391,161136,5319,1664175,6287,17427394,7759,3303795,3153,57970,4610,3245825,5776,11771939,6474,367962,9167,11403977,10862,2351660,4990,282560,10624,2069100,11660,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4614596,2772,2285466,6051,453065,2579,18527,2478,434538,3139,1592801,5038,58090,3786,1534711,6451,239600,1431,17885,2001,221715,2171,2329130,5504,430866,2337,7096,1493,423770,2694,1601729,4414,55439,4423,1546290,5430,296535,1791,24207,2649,272328,3192,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3318228,1408,1602229,2165,314257,1178,14087,1888,300170,2141,1080650,1981,40881,4011,1039769,4591,207322,1165,14753,1979,192569,2238,1715999,2006,299068,1012,6179,1266,292889,1586,1139428,1712,35720,2800,1103708,3511,277503,1289,24707,2505,252796,2567,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,829137,989,397480,1681,76758,1024,4055,1133,72703,1528,265250,1178,12947,2192,252303,2428,55472,575,3897,755,51575,814,431657,1388,73193,756,2570,867,70623,1108,288519,1142,12354,1712,276165,1914,69945,566,6100,1122,63845,1296,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,561421,460,261584,1129,34433,718,2884,922,31549,1128,200415,1083,10172,1858,190243,2138,26736,414,1781,646,24955,788,299837,1127,33696,559,1196,571,32500,754,225760,797,9274,1812,216486,2032,40381,1099,4817,1077,35564,1507,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17466095,5392,8436758,7924,1497673,4861,79513,5244,1418160,6571,5503186,7114,243123,9651,5260063,11724,1435899,3228,113777,5609,1322122,6072,9029337,6385,1424588,4904,34692,3275,1389896,6163,5832093,4854,225648,8957,5606445,10694,1772656,3805,178123,6962,1594533,7644,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
