GEO_ID,C18105_001E,C18105_001M,C18105_002E,C18105_002M,C18105_003E,C18105_003M,C18105_004E,C18105_004M,C18105_005E,C18105_005M,C18105_006E,C18105_006M,C18105_007E,C18105_007M,C18105_008E,C18105_008M,C18105_009E,C18105_009M,C18105_010E,C18105_010M,C18105_011E,C18105_011M,C18105_012E,C18105_012M,C18105_013E,C18105_013M,C18105_014E,C18105_014M,C18105_015E,C18105_015M,C18105_016E,C18105_016M,C18105_017E,C18105_017M,C18105_018E,C18105_018M,C18105_019E,C18105_019M,C18105_020E,C18105_020M,C18105_021E,C18105_021M,NAME,C18105_001EA,C18105_001MA,C18105_002MA,C18105_002EA,C18105_003MA,C18105_003EA,C18105_004EA,C18105_004MA,C18105_005EA,C18105_005MA,C18105_006EA,C18105_006MA,C18105_007MA,C18105_007EA,C18105_008MA,C18105_008EA,C18105_009MA,C18105_009EA,C18105_010MA,C18105_010EA,C18105_011EA,C18105_011MA,C18105_012EA,C18105_012MA,C18105_013MA,C18105_013EA,C18105_014MA,C18105_014EA,C18105_015MA,C18105_015EA,C18105_016EA,C18105_016MA,C18105_017EA,C18105_017MA,C18105_018MA,C18105_018EA,C18105_019MA,C18105_019EA,C18105_020EA,C18105_020MA,C18105_021EA,C18105_021MA,state
0400000US01,4394700,3481,2105991,5001,422118,3924,4093,1246,418025,3946,1411696,4278,103990,4759,1307706,5753,272177,2147,66136,3115,206041,3510,2288709,5421,403451,3461,2625,757,400826,3494,1519840,3855,135291,6866,1384549,7740,365418,2200,125589,4531,239829,5004,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,635667,2386,323714,2526,70661,1884,705,397,69956,1903,228051,1873,10377,1540,217674,2340,25002,744,4077,774,20925,993,311953,1715,63741,1363,354,296,63387,1390,221384,1182,12475,1796,208909,2114,26828,631,7744,1232,19084,1272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5854753,2538,2870881,4183,600845,2333,3588,927,597257,2507,1869504,3564,83838,4796,1785666,5948,400532,1319,67216,3244,333316,3234,2983872,3385,573665,1928,4119,1302,569546,2383,1935179,2604,107196,5632,1827983,6453,475028,1801,114456,5227,360572,5412,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2673300,3226,1294532,6437,259066,3392,1366,472,257700,3396,855780,5332,63959,4175,791821,6169,179686,1735,44345,2627,135341,2858,1378768,6312,255997,3199,1988,683,254009,3270,897653,5403,80180,3697,817473,5833,225118,1959,71111,3104,154007,3380,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34286823,4972,16859429,9687,3456150,4311,22415,2305,3433735,4813,11577968,9176,406711,9791,11171257,13634,1825311,3391,353835,7525,1471476,7869,17427394,7759,3303795,3153,16661,1733,3287134,3492,11771939,6474,490790,10335,11281149,12364,2351660,4990,651386,11610,1700274,12022,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4614596,2772,2285466,6051,453065,2579,2102,799,450963,2595,1592801,5038,53010,3128,1539791,6173,239600,1431,37764,2705,201836,2774,2329130,5504,430866,2337,2624,920,428242,2409,1601729,4414,67391,4319,1534338,5913,296535,1791,73112,3410,223423,3742,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3318228,1408,1602229,2165,314257,1178,1854,631,312403,1365,1080650,1981,38244,3486,1042406,4028,207322,1165,32236,2293,175086,2467,1715999,2006,299068,1012,1849,769,297219,1238,1139428,1712,50305,3606,1089123,3852,277503,1289,63788,3466,213715,3411,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,829137,989,397480,1681,76758,1024,304,208,76454,1033,265250,1178,14849,2097,250401,2512,55472,575,9515,1173,45957,1126,431657,1388,73193,756,399,290,72794,814,288519,1142,15477,1539,273042,1911,69945,566,15366,1374,54579,1536,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,561421,460,261584,1129,34433,718,348,455,34085,909,200415,1083,6927,1427,193488,1869,26736,414,4765,892,21971,955,299837,1127,33696,559,922,591,32774,753,225760,797,8693,1353,217067,1670,40381,1099,11395,1369,28986,1528,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17466095,5392,8436758,7924,1497673,4861,8649,1883,1489024,5216,5503186,7114,277871,7446,5225315,10868,1435899,3228,266681,7868,1169218,8225,9029337,6385,1424588,4904,9303,1725,1415285,5383,5832093,4854,318146,10361,5513947,11107,1772656,3805,446171,8141,1326485,8552,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
