GEO_ID,B18106_001E,B18106_001M,B18106_002E,B18106_002M,B18106_003E,B18106_003M,B18106_004E,B18106_004M,B18106_005E,B18106_005M,B18106_006E,B18106_006M,B18106_007E,B18106_007M,B18106_008E,B18106_008M,B18106_009E,B18106_009M,B18106_010E,B18106_010M,B18106_011E,B18106_011M,B18106_012E,B18106_012M,B18106_013E,B18106_013M,B18106_014E,B18106_014M,B18106_015E,B18106_015M,B18106_016E,B18106_016M,B18106_017E,B18106_017M,B18106_018E,B18106_018M,B18106_019E,B18106_019M,B18106_020E,B18106_020M,B18106_021E,B18106_021M,B18106_022E,B18106_022M,B18106_023E,B18106_023M,B18106_024E,B18106_024M,B18106_025E,B18106_025M,B18106_026E,B18106_026M,B18106_027E,B18106_027M,B18106_028E,B18106_028M,B18106_029E,B18106_029M,B18106_030E,B18106_030M,B18106_031E,B18106_031M,B18106_032E,B18106_032M,B18106_033E,B18106_033M,NAME,B18106_001EA,B18106_001MA,B18106_002MA,B18106_002EA,B18106_003EA,B18106_003MA,B18106_004MA,B18106_004EA,B18106_005EA,B18106_005MA,B18106_006EA,B18106_006MA,B18106_007EA,B18106_007MA,B18106_008MA,B18106_008EA,B18106_009MA,B18106_009EA,B18106_010EA,B18106_010MA,B18106_011EA,B18106_011MA,B18106_012EA,B18106_012MA,B18106_013EA,B18106_013MA,B18106_014EA,B18106_014MA,B18106_015MA,B18106_015EA,B18106_016EA,B18106_016MA,B18106_017EA,B18106_017MA,B18106_018EA,B18106_018MA,B18106_019EA,B18106_019MA,B18106_020EA,B18106_020MA,B18106_021MA,B18106_021EA,B18106_022EA,B18106_022MA,B18106_023MA,B18106_023EA,B18106_024MA,B18106_024EA,B18106_025EA,B18106_025MA,B18106_026MA,B18106_026EA,B18106_027MA,B18106_027EA,B18106_028EA,B18106_028MA,B18106_029EA,B18106_029MA,B18106_030EA,B18106_030MA,B18106_031EA,B18106_031MA,B18106_032EA,B18106_032MA,B18106_033EA,B18106_033MA,state
0400000US01,4394700,3481,2105991,5001,422118,3924,5850,1409,416268,4083,513003,4467,6172,1516,506831,4556,898693,4502,30549,2516,868144,4859,167773,1670,9542,1493,158231,2144,104404,1650,15104,1718,89300,2221,2288709,5421,403451,3461,3324,810,400127,3491,547962,3635,4371,1218,543591,3638,971878,3720,34949,3142,936929,5060,198107,1475,12234,1618,185873,2237,167311,1992,34857,2715,132454,3164,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,635667,2386,323714,2526,70661,1884,934,515,69727,1926,79895,1945,902,477,78993,2019,148156,1728,2492,744,145664,1755,17286,721,415,290,16871,802,7716,531,1062,412,6654,650,311953,1715,63741,1363,567,364,63174,1408,81524,1301,298,237,81226,1341,139860,1332,3656,1051,136204,1550,16632,733,1498,557,15134,876,10196,716,1306,395,8890,821,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5854753,2538,2870881,4183,600845,2333,5384,1271,595461,2532,721817,3650,5199,1251,716618,3834,1147687,3224,25390,2948,1122297,4132,236711,1478,7318,1469,229393,1962,163821,1344,12905,1944,150916,2491,2983872,3385,573665,1928,4116,1107,569549,2216,720781,2636,5658,1981,715123,3535,1214398,2779,27388,3020,1187010,4023,262884,1449,10801,1829,252083,2192,212144,1791,26857,2385,185287,2833,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2673300,3226,1294532,6437,259066,3392,2861,872,256205,3481,317187,4945,3332,1112,313855,5044,538593,4147,16558,1808,522035,4346,110609,1659,5357,1087,105252,1827,69077,1312,8102,1366,60975,1843,1378768,6312,255997,3199,2261,705,253736,3054,323868,3746,2392,846,321476,3843,573785,4220,21092,2287,552693,4526,122305,1789,6040,1107,116265,2070,102813,1833,17483,1999,85330,2697,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34286823,4972,16859429,9687,3456150,4311,36785,3247,3419365,5309,4554174,7702,34713,3946,4519461,8932,7023794,8140,134299,5993,6889495,10336,1048445,2855,46545,2955,1001900,4055,776866,2601,102680,4213,674186,4882,17427394,7759,3303795,3153,19999,2539,3283796,4122,4469334,4521,28421,3013,4440913,5254,7302605,5031,157781,6380,7144824,7640,1221552,2250,74602,5064,1146950,4984,1130108,5102,225086,9173,905022,10887,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4614596,2772,2285466,6051,453065,2579,3474,919,449591,2691,594271,3988,3280,1163,590991,3968,998530,3695,17889,1995,980641,4215,146421,1406,4897,1205,141524,1881,93179,1394,7671,1124,85508,1573,2329130,5504,430866,2337,2596,974,428270,2562,582388,3593,3805,1045,578583,3754,1019341,2887,18500,2435,1000841,3918,161686,1503,6281,1196,155405,1720,134849,1680,19394,2054,115455,2509,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3318228,1408,1602229,2165,314257,1178,3400,781,310857,1483,360831,2110,2083,750,358748,2323,719819,2263,11721,1850,708098,3010,118138,1194,3672,842,114466,1309,89184,946,8118,1293,81066,1406,1715999,2006,299068,1012,1761,706,297307,1158,369301,1721,1567,589,367734,1819,770127,1659,11839,1718,758288,2404,137034,1007,5625,1105,131409,1563,140469,1476,18732,1874,121737,2074,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,829137,989,397480,1681,76758,1024,674,362,76084,1073,96343,1536,1381,694,94962,1537,168907,1223,3009,920,165898,1418,33638,645,1118,459,32520,784,21834,430,1679,662,20155,870,431657,1388,73193,756,214,188,72979,762,101165,768,726,472,100439,801,187354,1031,4192,981,183162,1395,38261,534,841,343,37420,618,31684,603,3663,780,28021,970,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,561421,460,261584,1129,34433,718,314,229,34119,717,95396,613,615,540,94781,931,105019,869,1653,739,103366,1004,16043,328,878,473,15165,561,10693,299,325,217,10368,347,299837,1127,33696,559,680,471,33016,639,113623,207,102,171,113521,265,112137,726,1761,685,110376,1074,20849,634,1529,599,19320,874,19532,939,3128,967,16404,1168,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17466095,5392,8436758,7924,1497673,4861,14523,2236,1483150,4803,1940072,6870,17768,2941,1922304,7359,3563114,6129,82973,4873,3480141,7290,803499,3244,30100,2744,773399,3935,632400,2822,64946,3364,567454,4162,9029337,6385,1424588,4904,11893,1708,1412695,5248,1973031,5701,12153,2255,1960878,5863,3859062,5297,93770,5755,3765292,7423,920438,2950,36955,2985,883483,4196,852218,3159,126229,4745,725989,5638,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
