GEO_ID,C25116_001E,C25116_001M,C25116_002E,C25116_002M,C25116_003E,C25116_003M,C25116_004E,C25116_004M,C25116_005E,C25116_005M,C25116_006E,C25116_006M,C25116_007E,C25116_007M,C25116_008E,C25116_008M,C25116_009E,C25116_009M,C25116_010E,C25116_010M,C25116_011E,C25116_011M,C25116_012E,C25116_012M,C25116_013E,C25116_013M,C25116_014E,C25116_014M,C25116_015E,C25116_015M,NAME,C25116_001EA,C25116_001MA,C25116_002MA,C25116_002EA,C25116_003EA,C25116_003MA,C25116_004EA,C25116_004MA,C25116_005MA,C25116_005EA,C25116_006EA,C25116_006MA,C25116_007MA,C25116_007EA,C25116_008MA,C25116_008EA,C25116_009EA,C25116_009MA,C25116_010MA,C25116_010EA,C25116_011EA,C25116_011MA,C25116_012MA,C25116_012EA,C25116_013MA,C25116_013EA,C25116_014EA,C25116_014MA,C25116_015EA,C25116_015MA,state
0400000US01,1815152,10938,1272846,12811,308488,8380,171353,6793,137135,5136,964358,12349,747139,11037,217219,4739,542306,10228,203220,7251,157865,6331,45355,3145,339086,9502,317162,9316,21924,1886,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,162785,3878,33202,2824,23873,2460,9329,1265,129583,4563,113016,4449,16567,1255,91825,3849,30496,2672,25964,2597,4532,1008,61329,3083,59502,3012,1827,667,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1522938,13309,348474,9423,196564,7551,151910,4613,1174464,11434,882530,10746,291934,5355,811112,13574,272817,8871,215248,7811,57569,3931,538295,13151,505626,12654,32669,2729,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,751568,9191,173496,5897,94670,5000,78826,3743,578072,8735,440106,8055,137966,3230,363334,8761,128631,4839,95502,4686,33129,2521,234703,7223,220935,7123,13768,1651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,6903175,27402,1376362,17209,748848,12357,627514,12831,5526813,24929,4342025,24066,1184788,9944,5503300,25377,1624945,20619,1224868,18856,400077,7635,3878355,26442,3629765,25003,248590,7684,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1292792,11248,300468,7946,196095,6485,104373,4276,992324,11072,819522,9743,172802,3718,667793,12023,254612,7985,203060,7197,51552,3141,413181,11118,395371,10519,17810,1857,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,923617,8286,201512,6501,111828,5345,89684,4160,722105,8744,575175,7819,146930,3849,435192,8295,182870,6082,127898,5789,54972,3440,252322,7589,233571,7395,18751,1812,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,239884,4113,55706,3268,31153,2580,24553,2099,184178,4576,143136,4166,41042,1920,88881,3899,31284,2604,22807,2407,8477,1240,57597,3225,53972,3086,3625,892,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,107193,3924,45465,3173,31917,2895,13548,1638,61728,3067,46432,2891,15296,1277,145195,4932,75571,4187,60939,4167,14632,1537,69624,3683,64975,3490,4649,1045,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,4794130,25332,1224732,18705,622832,14910,601900,10912,3569398,25498,2542073,23068,1027325,12210,2240938,20709,788296,12103,583085,11464,205211,6696,1452642,18708,1345665,18830,106977,4724,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
