GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001MA,B14007A_001EA,B14007A_002MA,B14007A_002EA,B14007A_003EA,B14007A_003MA,B14007A_004EA,B14007A_004MA,B14007A_005MA,B14007A_005EA,B14007A_006EA,B14007A_006MA,B14007A_007MA,B14007A_007EA,B14007A_008MA,B14007A_008EA,B14007A_009EA,B14007A_009MA,B14007A_010MA,B14007A_010EA,B14007A_011EA,B14007A_011MA,B14007A_012MA,B14007A_012EA,B14007A_013EA,B14007A_013MA,B14007A_014EA,B14007A_014MA,B14007A_015MA,B14007A_015EA,B14007A_016EA,B14007A_016MA,B14007A_017EA,B14007A_017MA,B14007A_018MA,B14007A_018EA,B14007A_019MA,B14007A_019EA,state
0400000US01,3215556,6899,780676,9909,41963,3225,42981,3586,37432,3202,38890,3205,39727,3339,39815,2891,42310,3521,41873,2867,46050,3654,38654,3026,40807,2544,42025,2597,37715,2271,38484,2897,180120,7562,31830,3056,2434880,10643,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,463525,2777,116210,3977,5769,1060,5643,1263,5566,1159,4735,1014,5615,1384,6168,1078,4868,1110,5281,1219,5683,1244,6538,1382,7231,1343,5308,1083,5534,1073,7525,1351,26316,2955,8430,1602,347315,4509,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4902570,23483,1285406,13501,61607,4357,64824,4963,59042,4362,67796,4177,64530,4883,69013,4538,68303,4046,64574,4455,65694,4669,67703,4623,65970,4384,68972,4574,64194,4118,66780,4317,308041,8998,58363,5099,3617164,21564,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2208558,6176,545878,8108,36948,3387,28860,2206,27249,2301,28186,2591,28824,2798,27814,2488,30473,2818,30134,2571,27774,2212,26513,2292,31348,2458,27557,1985,24783,2137,28382,2657,122126,5665,18907,2494,1662680,7981,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22498789,66459,6158200,38300,341223,9161,299353,8082,290596,7666,284710,9302,294635,9039,298868,9407,303320,9717,292916,9459,298165,7417,302867,10022,313972,9110,326155,9276,329090,7709,359722,10268,1522220,21231,300388,9528,16340589,44951,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4056065,16776,1069419,13301,73212,4474,52141,3105,51972,3809,56415,3898,55767,3851,52770,3468,54768,3855,53045,3412,48647,3092,48117,3568,50484,3506,50947,3078,49656,2958,55540,2925,249695,8268,66243,4566,2986646,14236,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2719840,10246,690943,7394,43926,2583,29282,2803,31370,2526,32847,2565,34410,2882,30893,2586,37238,2891,34438,2488,32219,2645,34163,2582,37874,2889,37965,2381,39205,2335,38794,2674,149614,5726,46705,4402,2028897,9305,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,616285,4534,147007,4068,9063,1514,8017,1376,4858,1178,6698,1018,7435,1281,7747,1322,6182,1170,7492,1444,7304,1433,5996,1257,8704,1455,8879,1283,7941,1220,6315,1313,36387,3113,7989,1470,469278,5010,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,236423,3837,59192,3016,3170,728,1895,627,1359,562,1300,532,970,453,1664,643,774,394,1267,382,783,349,1158,436,929,656,525,265,1339,852,727,412,24408,2202,16924,1894,177231,3586,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14000540,31592,3156267,22352,192851,6836,151475,7325,145706,5757,140569,6994,154377,6688,148729,5739,157786,6077,157788,7034,156256,7903,166203,7216,156627,6692,153360,5520,160473,5887,166573,7507,800649,15968,146845,6745,10844273,29179,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
