GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001MA,C01001I_001EA,C01001I_002MA,C01001I_002EA,C01001I_003EA,C01001I_003MA,C01001I_004EA,C01001I_004MA,C01001I_005MA,C01001I_005EA,C01001I_006EA,C01001I_006MA,C01001I_007MA,C01001I_007EA,C01001I_008MA,C01001I_008EA,C01001I_009MA,C01001I_009EA,state
0400000US01,182795,2389,98816,3262,33094,2595,63813,1702,1909,660,83979,3457,34121,2804,47539,1652,2319,791,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40705,1527,21763,1656,7587,700,13779,1529,397,250,18942,866,7345,637,10995,514,602,223,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1908914,-555555555,958177,1355,360566,1278,554758,396,42853,508,950737,1354,347995,1280,547765,660,54977,489,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182674,1776,97770,2638,38161,1932,58308,2191,1301,549,84904,2680,34782,1986,47936,1767,2186,706,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14089411,-555555555,7120073,1924,2439899,1576,4360344,1500,319830,992,6969338,1925,2337711,1578,4193727,1085,437900,1325,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1047700,-555555555,534464,2201,194910,2003,314886,1671,24668,720,513236,2204,182585,1981,300904,1474,29747,822,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481901,-555555555,239045,932,81052,655,149057,655,8936,468,242856,932,79966,655,150086,847,12804,406,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,73842,-555555555,38170,799,14190,775,22890,422,1090,329,35672,799,13170,775,21094,522,1408,372,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55256,-555555555,28823,477,6535,477,21239,-555555555,1049,-555555555,26433,477,5723,477,18990,-555555555,1720,-555555555,District of Columbia,*****,null,null,null,null,null,null,*****,*****,null,null,null,null,null,*****,null,*****,null,11
0400000US12,4253197,-555555555,2103194,4246,569715,3095,1350074,4193,183405,1490,2150003,4244,540099,3610,1351449,1710,258455,1545,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,856924,750,459242,4878,162140,3448,288953,2714,8149,1382,397682,4823,154624,3836,231545,2897,11513,1288,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,121001,-555555555,61039,655,23035,654,34817,544,3187,544,59962,655,22117,655,34233,338,3612,336,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,177326,-555555555,93655,1827,38371,1579,52529,1036,2755,614,83671,1827,35069,1462,44981,1342,3621,676,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2037851,1698,1050982,2229,372093,1824,641567,1686,37322,744,986869,2163,354434,1669,585643,1714,46792,878,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
