GEO_ID,C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,NAME,C27001G_001MA,C27001G_001EA,C27001G_002MA,C27001G_002EA,C27001G_003EA,C27001G_003MA,C27001G_004MA,C27001G_004EA,C27001G_005MA,C27001G_005EA,C27001G_006MA,C27001G_006EA,C27001G_007EA,C27001G_007MA,C27001G_008MA,C27001G_008EA,C27001G_009MA,C27001G_009EA,C27001G_010MA,C27001G_010EA,state
0400000US01,63876,4371,31579,3631,29920,3571,1659,629,28101,2579,19301,2203,8800,1711,4196,837,4196,837,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48798,4248,24301,3095,20813,2909,3488,1332,23455,2448,15253,1977,8202,1711,1042,407,1042,407,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167933,10037,87716,7497,79972,6932,7744,2481,73730,5116,56901,4140,16829,2832,6487,1088,6420,1090,67,112,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48593,4174,23712,2830,22231,2703,1481,707,22138,2469,15202,2172,6936,1457,2743,674,2743,674,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1548628,32093,693037,20250,658821,19523,34216,4046,777907,18288,598288,15085,179619,9186,77684,4344,76251,4265,1433,649,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,168093,8544,83006,5490,77317,5389,5689,1277,79501,5265,61538,4431,17963,2449,5586,1030,5546,1030,40,67,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,89314,6287,46549,3937,45055,4040,1494,962,40110,3634,32679,3102,7431,1737,2655,711,2655,711,0,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22909,3453,12089,2510,11306,2268,783,1081,9650,1566,8648,1569,1002,506,1170,558,1170,558,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11614,2001,3230,934,3178,932,52,87,7349,1337,7005,1325,344,274,1035,550,1035,550,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,400212,15997,176935,10453,160370,10400,16565,2944,198997,9081,138675,6831,60322,5561,24280,2620,23539,2605,741,524,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,176229,10438,94134,7375,84658,7411,9476,2037,75450,5504,52094,4362,23356,3845,6645,1734,6607,1732,38,66,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317024,11437,127572,5249,123605,5254,3967,1482,169590,8168,151260,7163,18330,2336,19862,2238,19781,2246,81,132,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35371,3752,16611,2308,14934,2268,1677,785,17026,2255,11956,1797,5070,1490,1734,738,1734,738,0,267,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
