GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001EA,C17016_001MA,C17016_002MA,C17016_002EA,C17016_003MA,C17016_003EA,C17016_004EA,C17016_004MA,C17016_005MA,C17016_005EA,C17016_006EA,C17016_006MA,C17016_007MA,C17016_007EA,C17016_008MA,C17016_008EA,C17016_009EA,C17016_009MA,state
0400000US01,1227884,13886,180849,6757,27210,3128,62019,4295,91620,4925,1047035,12901,580283,10317,169870,6810,296882,7324,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,896,530,6103,1094,5278,1045,158582,4656,88051,4716,43235,2836,27296,2637,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,31249,3359,66525,4174,96465,6302,1354189,11236,709870,10961,259353,8607,384966,8456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,20655,2465,38184,3550,48404,3440,654118,7896,354617,7391,116609,5574,182892,4883,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,162579,6248,357581,10065,483145,11481,7504551,26422,4050686,26694,1635419,19334,1818446,16448,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,19112,2584,50090,4142,49244,3741,1140439,10316,662445,8196,250321,6966,227673,6408,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,7791,1634,23314,2532,32590,3360,827075,9311,461322,9131,181195,6305,184558,5490,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,2331,795,5949,1407,9601,1576,203352,5101,112902,4487,37889,2744,52561,2909,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,1001,592,3535,917,9749,1440,87234,3887,54610,3457,13963,1730,18661,1729,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,82152,5117,185469,6766,281146,7613,4008163,23287,2047957,21146,742147,13907,1218059,15735,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2385969,17984,325880,9256,56560,4559,116117,6479,153203,7261,2060089,17879,1216199,15435,363456,8917,480434,8869,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303075,5409,22324,2366,3583,1085,7806,1420,10935,1776,280751,5326,151548,4340,53832,3043,75371,3521,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,401806,7285,46538,2990,7552,1306,21216,2179,17770,2565,355268,7116,186764,5581,81934,5061,86570,3856,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3133813,17339,314986,8610,51894,3774,120505,5484,142587,5447,2818827,14565,1571854,13999,584194,10907,662779,10530,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1656386,11547,181892,6598,26355,2589,74883,4619,80654,4935,1474494,11123,827821,11029,291725,7093,354948,6105,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,793768,7580,65423,3399,10798,1601,31196,2679,23429,2161,728345,7976,438713,7057,142640,5002,146992,3663,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,721592,9016,68317,4100,12552,1674,30103,2822,25662,2157,653275,9369,395312,8895,125990,4767,131973,3688,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1126685,9960,163415,6061,19534,2174,53611,4089,90270,4629,963270,10364,516486,10336,172515,6723,274269,6890,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1129117,11989,163646,5973,34768,3171,53131,3245,75747,4556,965471,10427,545787,9837,163035,5888,256649,7018,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,345328,4830,30399,2206,2378,616,12206,1492,15815,1903,314929,4967,165124,4168,71066,3545,78739,2921,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1431958,12327,94931,5235,13794,2403,33450,2854,47687,3044,1337027,12969,841152,11175,235733,7158,260142,6665,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1590257,14005,131047,6613,10741,1897,47637,3991,72669,4988,1459210,13611,805058,12230,335690,8243,318462,6942,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2508780,17418,302858,7772,37123,2980,114068,5791,151667,6060,2205922,15946,1096114,11990,469888,9397,639920,9678,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1353758,11075,101698,3976,13893,1631,47152,2973,40653,2792,1252060,10165,714063,8972,285399,6520,252598,5193,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,746115,9375,132450,6296,27959,3263,36319,2797,68172,4121,613665,9726,341917,8638,98657,5372,173091,5027,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1524078,14162,161889,5873,25152,2980,64819,4096,71918,4220,1362189,13252,767725,11161,257301,7417,337163,6765,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,255199,5113,25541,2588,3349,883,11570,1777,10622,1593,229658,4980,119858,4679,54429,2939,55371,2569,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,468407,6176,41208,3862,9568,1666,18445,2265,13195,2007,427199,5991,267063,5835,83024,3996,77112,3256,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,639686,9203,71187,4686,11674,1767,26703,3350,32810,3169,568499,9295,303602,7075,123119,6220,141778,4960,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,344057,6102,18142,2094,1256,536,7224,1662,9662,1705,325915,5818,186941,5479,72197,3505,66777,2890,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2185732,12750,170117,6629,26852,2556,53520,3754,89745,4930,2015615,12335,1154665,10608,393195,9128,467755,8739,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
