GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001EA,B27015_001MA,B27015_002EA,B27015_002MA,B27015_003EA,B27015_003MA,B27015_004EA,B27015_004MA,B27015_005EA,B27015_005MA,B27015_006EA,B27015_006MA,B27015_007EA,B27015_007MA,B27015_008EA,B27015_008MA,B27015_009EA,B27015_009MA,B27015_010EA,B27015_010MA,B27015_011EA,B27015_011MA,B27015_012MA,B27015_012EA,B27015_013EA,B27015_013MA,B27015_014EA,B27015_014MA,B27015_015EA,B27015_015MA,B27015_016MA,B27015_016EA,B27015_017EA,B27015_017MA,B27015_018EA,B27015_018MA,B27015_019MA,B27015_019EA,B27015_020EA,B27015_020MA,B27015_021EA,B27015_021MA,B27015_022EA,B27015_022MA,B27015_023MA,B27015_023EA,B27015_024MA,B27015_024EA,B27015_025MA,B27015_025EA,B27015_026EA,B27015_026MA,state
0400000US01,4657018,1635,1197996,25353,911352,20136,382648,13678,681831,17086,286644,12046,1247089,29981,1020955,25615,756061,21197,460876,15886,226134,11054,859296,28043,764469,26102,679652,25233,193908,9234,94827,7995,545413,22802,505058,20755,478607,19310,82104,6479,40355,5637,807224,20074,774250,18388,743827,18515,101475,5456,32974,4352,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,674410,1872,78865,5806,53688,4856,17807,3100,41951,4299,25177,2906,126064,7198,93786,6112,60431,4887,46492,4504,32278,2966,133033,8629,101107,7656,83460,6692,27760,4064,31926,4273,99718,9311,83673,8335,75754,7951,15928,2795,16045,3130,236730,10090,211031,10231,201747,10134,28169,2892,25699,3835,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6260750,2001,1297376,33833,981607,28056,335832,12679,780738,24914,315769,14135,1637671,34912,1281355,33383,831271,23533,689486,23579,356316,16614,1262441,35795,1056168,30821,876850,26668,339566,15000,206273,15807,793808,29100,703843,25701,634554,24325,149314,9657,89965,7779,1269454,35470,1180861,32260,1106190,29957,181258,9860,88593,8991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2836652,1331,739407,17607,544507,14457,203671,8342,430350,12960,194900,8209,823757,17038,653932,15497,436134,12825,343913,11431,169825,7836,543855,17355,467592,15476,398470,14014,137122,7282,76263,7441,320094,14940,292867,13557,266534,13026,57480,4891,27227,4767,409539,18408,381009,16291,357537,15558,57395,4288,28530,4487,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36450556,4633,6062858,62300,4481208,48525,1604590,28376,3419604,43472,1581650,30432,7965835,78107,5843582,66458,3496700,46516,3119216,50211,2122253,33814,6646501,78809,5251798,63727,4149773,53724,1676824,35440,1394703,32142,4890527,80131,4129593,67769,3597338,57485,925053,23518,760934,24163,10884835,99207,9974635,86082,9283223,78674,1423666,24732,910200,28494,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4913531,2211,819220,22226,582262,18121,279456,12146,395731,14562,236958,12852,1110676,25578,855377,21585,629111,18149,363358,13778,255299,13830,930415,21912,776208,17719,687040,16461,186828,10175,154207,10746,710307,18064,644632,16133,604618,15881,96912,6407,65675,6891,1342913,24289,1272670,23486,1226547,23526,130659,8022,70243,7288,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3455108,989,464882,18244,392700,15094,154284,8830,315225,13288,72182,6525,604851,21699,516738,17471,348303,13200,276993,13637,88113,7814,579461,20909,515993,20397,429063,17882,161305,9991,63468,5864,509206,19962,469747,18901,433041,17783,86176,5662,39459,6109,1296708,22923,1244444,22380,1192972,20917,146158,7717,52264,4868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,872492,820,134301,9669,116622,8685,48171,4129,90280,8179,17679,3029,184846,10727,158267,9813,107540,7967,86066,7859,26579,4736,174167,9158,157186,8285,131545,8000,50582,4912,16981,2685,136214,9881,125663,8928,114774,8434,29034,4484,10551,3179,242964,10835,229897,10342,215668,10727,34812,3701,13067,3377,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,563104,401,116816,8033,107306,7586,44178,5376,83018,6845,9510,2197,97215,7034,88127,6762,56495,4951,49328,5507,9088,1976,81796,7033,72425,6335,59106,6143,25349,3779,9371,2157,66596,7332,60806,6687,50283,5504,16343,4195,5790,1893,200681,8027,190540,7231,180974,6961,26898,3324,10141,2403,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18382694,4218,3939515,47675,2759044,33812,1121939,22386,2101902,31587,1180471,33135,4936051,58209,3593174,48318,2460055,43844,1853866,26656,1342877,32007,3659788,62287,2923384,54251,2428908,48074,955385,21285,736404,25094,2292179,53652,1968566,43101,1778255,39023,452121,15739,323613,20192,3555161,54978,3234538,49616,3018422,47086,573100,16411,320623,16568,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
